text	tokenized	tok_nostem	preprocessed	label
[PERSON]'s been used to the pretty islands .	['person', 'been', 'use', 'to', 'the', 'pretti', 'island']	['persons', 'been', 'used', 'to', 'the', 'pretty', 'islands']	person been use to the pretti island	8
Can do , sir .	['can', 'do', 'sir']	['can', 'do', 'sir']	can do sir	8
Can I ask you something ?	['can', 'i', 'ask', 'you', 'someth']	['can', 'i', 'ask', 'you', 'something']	can i ask you someth	8
Can I have your gun , please ?	['can', 'i', 'have', 'your', 'gun', 'pleas']	['can', 'i', 'have', 'your', 'gun', 'please']	can i have your gun pleas	8
Can I just have a second before we start ?	['can', 'i', 'just', 'have', 'a', 'second', 'befor', 'we', 'start']	['can', 'i', 'just', 'have', 'a', 'second', 'before', 'we', 'start']	can i just have a second befor we start	8
Can you explain that to me ?	['can', 'you', 'explain', 'that', 'to', 'me']	['can', 'you', 'explain', 'that', 'to', 'me']	can you explain that to me	8
Can you get up now , pal ?	['can', 'you', 'get', 'up', 'now', 'pal']	['can', 'you', 'get', 'up', 'now', 'pal']	can you get up now pal	8
Can you help me out with this crazy wiring on the socket ?	['can', 'you', 'help', 'me', 'out', 'with', 'this', 'crazi', 'wire', 'on', 'the', 'socket']	['can', 'you', 'help', 'me', 'out', 'with', 'this', 'crazy', 'wiring', 'on', 'the', 'socket']	can you help me out with this crazi wire on the socket	8
Can you keep a secret , hmm ?	['can', 'you', 'keep', 'a', 'secret', 'hmm']	['can', 'you', 'keep', 'a', 'secret', 'hmm']	can you keep a secret hmm	8
Can you share with me ?	['can', 'you', 'share', 'with', 'me']	['can', 'you', 'share', 'with', 'me']	can you share with me	8
Can't you find me a key ?	['cant', 'you', 'find', 'me', 'a', 'key']	['cant', 'you', 'find', 'me', 'a', 'key']	cant you find me a key	8
Captain , there ain't no man on earth I'd rather serve under .	['captain', 'there', 'aint', 'no', 'man', 'on', 'earth', 'id', 'rather', 'serv', 'under']	['captain', 'there', 'aint', 'no', 'man', 'on', 'earth', 'id', 'rather', 'serve', 'under']	captain there aint no man on earth id rather serv under	8
Carol , I want you to transcribe these notes for my report .	['carol', 'i', 'want', 'you', 'to', 'transcrib', 'these', 'note', 'for', 'my', 'report']	['carol', 'i', 'want', 'you', 'to', 'transcribe', 'these', 'notes', 'for', 'my', 'report']	carol i want you to transcrib these note for my report	8
Carry on , men .	['carri', 'on', 'men']	['carry', 'on', 'men']	carri on men	8, 2
Certainly you would give any information you had on a case ... To your investigating staff ? Certainly .	['certain', 'you', 'would', 'give', 'ani', 'inform', 'you', 'had', 'on', 'a', 'case', 'to', 'your', 'investig', 'staff', 'certain']	['certainly', 'you', 'would', 'give', 'any', 'information', 'you', 'had', 'on', 'a', 'case', 'to', 'your', 'investigating', 'staff', 'certainly']	certain you would give ani inform you had on a case to your investig staff certain	8
Charming , all of you .	['charm', 'all', 'of', 'you']	['charming', 'all', 'of', 'you']	charm all of you	8
Check every floor .	['check', 'everi', 'floor']	['check', 'every', 'floor']	check everi floor	8
[PERSON] , you sure have a nose for talent , you know how to find them and train them .	['person', 'you', 'sure', 'have', 'a', 'nose', 'for', 'talent', 'you', 'know', 'how', 'to', 'find', 'them', 'and', 'train', 'them']	['person', 'you', 'sure', 'have', 'a', 'nose', 'for', 'talent', 'you', 'know', 'how', 'to', 'find', 'them', 'and', 'train', 'them']	person you sure have a nose for talent you know how to find them and train them	8
CinCPac wants it all to arrive on time and intact .	['cincpac', 'want', 'it', 'all', 'to', 'arriv', 'on', 'time', 'and', 'intact']	['cincpac', 'wants', 'it', 'all', 'to', 'arrive', 'on', 'time', 'and', 'intact']	cincpac want it all to arriv on time and intact	8, 2
Close your eyes .	['close', 'your', 'eye']	['close', 'your', 'eyes']	close your eye	8
Coates , [PERSON] , take the first sentry duty .	['coat', 'person', 'take', 'the', 'first', 'sentri', 'duti']	['coates', 'person', 'take', 'the', 'first', 'sentry', 'duty']	coat person take the first sentri duti	8
Come in and I'll get you a nice , cold glass of water .	['come', 'in', 'and', 'ill', 'get', 'you', 'a', 'nice', 'cold', 'glass', 'of', 'water']	['come', 'in', 'and', 'ill', 'get', 'you', 'a', 'nice', 'cold', 'glass', 'of', 'water']	come in and ill get you a nice cold glass of water	8
Come in out of the rain .	['come', 'in', 'out', 'of', 'the', 'rain']	['come', 'in', 'out', 'of', 'the', 'rain']	come in out of the rain	8
Come on now , let's go home .	['come', 'on', 'now', 'let', 'go', 'home']	['come', 'on', 'now', 'lets', 'go', 'home']	come on now let go home	8
Come on , boy .	['come', 'on', 'boy']	['come', 'on', 'boy']	come on boy	8, 2
Come on , stranger , hop in .	['come', 'on', 'stranger', 'hop', 'in']	['come', 'on', 'stranger', 'hop', 'in']	come on stranger hop in	8
Come on , tell me the truth .	['come', 'on', 'tell', 'me', 'the', 'truth']	['come', 'on', 'tell', 'me', 'the', 'truth']	come on tell me the truth	8
Come on ! Try it out .	['come', 'on', 'tri', 'it', 'out']	['come', 'on', 'try', 'it', 'out']	come on tri it out	8, 2
Come right in .	['come', 'right', 'in']	['come', 'right', 'in']	come right in	8
Come with me .	['come', 'with', 'me']	['come', 'with', 'me']	come with me	8, 2
Come , my child .	['come', 'my', 'child']	['come', 'my', 'child']	come my child	8
Congratulations , [PERSON] .	['congratul', 'person']	['congratulations', 'person']	congratul person	8
Consequently , you've been selected to hold the key position in the coming ' festivities .	['consequ', 'youv', 'been', 'select', 'to', 'hold', 'the', 'key', 'posit', 'in', 'the', 'come', 'festiv']	['consequently', 'youve', 'been', 'selected', 'to', 'hold', 'the', 'key', 'position', 'in', 'the', 'coming', 'festivities']	consequ youv been select to hold the key posit in the come festiv	8
Considering the candidates who answer to the high qualifications of senators , one name shone out like a beacon .	['consid', 'the', 'candid', 'who', 'answer', 'to', 'the', 'high', 'qualif', 'of', 'senat', 'one', 'name', 'shone', 'out', 'like', 'a', 'beacon']	['considering', 'the', 'candidates', 'who', 'answer', 'to', 'the', 'high', 'qualifications', 'of', 'senators', 'one', 'name', 'shone', 'out', 'like', 'a', 'beacon']	consid the candid who answer to the high qualif of senat one name shone out like a beacon	8
Consuella is right .	['consuella', 'is', 'right']	['consuella', 'is', 'right']	consuella is right	8
Continue , [PERSON] .	['continu', 'person']	['continue', 'person']	continu person	8
Could I get a level from you , please ?	['could', 'i', 'get', 'a', 'level', 'from', 'you', 'pleas']	['could', 'i', 'get', 'a', 'level', 'from', 'you', 'please']	could i get a level from you pleas	8, 2
Could I talk to you just for a second ? Sure .	['could', 'i', 'talk', 'to', 'you', 'just', 'for', 'a', 'second', 'sure']	['could', 'i', 'talk', 'to', 'you', 'just', 'for', 'a', 'second', 'sure']	could i talk to you just for a second sure	8, 2
Could you do it for me today , please ?	['could', 'you', 'do', 'it', 'for', 'me', 'today', 'pleas']	['could', 'you', 'do', 'it', 'for', 'me', 'today', 'please']	could you do it for me today pleas	8
Could you give me the number of the sorority house ?	['could', 'you', 'give', 'me', 'the', 'number', 'of', 'the', 'soror', 'hous']	['could', 'you', 'give', 'me', 'the', 'number', 'of', 'the', 'sorority', 'house']	could you give me the number of the soror hous	8
Could you show me where they are ?	['could', 'you', 'show', 'me', 'where', 'they', 'are']	['could', 'you', 'show', 'me', 'where', 'they', 'are']	could you show me where they are	8
Could you use some help , Mr. [PERSON] ?	['could', 'you', 'use', 'some', 'help', 'mr', 'person']	['could', 'you', 'use', 'some', 'help', 'mr', 'person']	could you use some help mr person	8
Couldn't agree with you more , Mr. [PERSON] .	['couldnt', 'agre', 'with', 'you', 'more', 'mr', 'person']	['couldnt', 'agree', 'with', 'you', 'more', 'mr', 'person']	couldnt agre with you more mr person	8
Darling , you'll be just fine !	['darl', 'youll', 'be', 'just', 'fine']	['darling', 'youll', 'be', 'just', 'fine']	darl youll be just fine	8, 2
[PERSON] , you can have the Giants tickets .	['person', 'you', 'can', 'have', 'the', 'giant', 'ticket']	['person', 'you', 'can', 'have', 'the', 'giants', 'tickets']	person you can have the giant ticket	8
Decker won't tell anyone .	['decker', 'wont', 'tell', 'anyon']	['decker', 'wont', 'tell', 'anyone']	decker wont tell anyon	8
Deeply grateful .	['deepli', 'grate']	['deeply', 'grateful']	deepli grate	8
[PERSON] , thanks ever so much .	['person', 'thank', 'ever', 'so', 'much']	['person', 'thanks', 'ever', 'so', 'much']	person thank ever so much	8
Did the kids get to eat all right ?	['did', 'the', 'kid', 'get', 'to', 'eat', 'all', 'right']	['did', 'the', 'kids', 'get', 'to', 'eat', 'all', 'right']	did the kid get to eat all right	8
Did you ask God to be with you and keep you strong ?	['did', 'you', 'ask', 'god', 'to', 'be', 'with', 'you', 'and', 'keep', 'you', 'strong']	['did', 'you', 'ask', 'god', 'to', 'be', 'with', 'you', 'and', 'keep', 'you', 'strong']	did you ask god to be with you and keep you strong	8
Did you follow through of what we discussed ?	['did', 'you', 'follow', 'through', 'of', 'what', 'we', 'discuss']	['did', 'you', 'follow', 'through', 'of', 'what', 'we', 'discussed']	did you follow through of what we discuss	8, 2
Did you oblige him ?	['did', 'you', 'oblig', 'him']	['did', 'you', 'oblige', 'him']	did you oblig him	8
Dig that hat , daddy - o.	['dig', 'that', 'hat', 'daddi', 'o']	['dig', 'that', 'hat', 'daddy', 'o']	dig that hat daddi o	8
Director of Central Intelligence would give to Carters the president - elect all of the information he had on the potential existence of extraterrestrial life , and the issue of whether or not any of the UFO vehicles might be vehicles from another star system .	['director', 'of', 'central', 'intellig', 'would', 'give', 'to', 'carter', 'the', 'presid', 'elect', 'all', 'of', 'the', 'inform', 'he', 'had', 'on', 'the', 'potenti', 'exist', 'of', 'extraterrestri', 'life', 'and', 'the', 'issu', 'of', 'whether', 'or', 'not', 'ani', 'of', 'the', 'ufo', 'vehicl', 'might', 'be', 'vehicl', 'from', 'anoth', 'star', 'system']	['director', 'of', 'central', 'intelligence', 'would', 'give', 'to', 'carters', 'the', 'president', 'elect', 'all', 'of', 'the', 'information', 'he', 'had', 'on', 'the', 'potential', 'existence', 'of', 'extraterrestrial', 'life', 'and', 'the', 'issue', 'of', 'whether', 'or', 'not', 'any', 'of', 'the', 'ufo', 'vehicles', 'might', 'be', 'vehicles', 'from', 'another', 'star', 'system']	director of central intellig would give to carter the presid elect all of the inform he had on the potenti exist of extraterrestri life and the issu of whether or not ani of the ufo vehicl might be vehicl from anoth star system	8
Do as he says , everyone .	['do', 'as', 'he', 'say', 'everyon']	['do', 'as', 'he', 'says', 'everyone']	do as he say everyon	8
Do not be afraid .	['do', 'not', 'be', 'afraid']	['do', 'not', 'be', 'afraid']	do not be afraid	8, 2
Do not worry .	['do', 'not', 'worri']	['do', 'not', 'worry']	do not worri	8
Do we have a deal ?	['do', 'we', 'have', 'a', 'deal']	['do', 'we', 'have', 'a', 'deal']	do we have a deal	8
Do we look like people that are capable of committing a crime ?	['do', 'we', 'look', 'like', 'peopl', 'that', 'are', 'capabl', 'of', 'commit', 'a', 'crime']	['do', 'we', 'look', 'like', 'people', 'that', 'are', 'capable', 'of', 'committing', 'a', 'crime']	do we look like peopl that are capabl of commit a crime	8
Do you approvechamos ?	['do', 'you', 'approvechamo']	['do', 'you', 'approvechamos']	do you approvechamo	8
Do you know something else , my friend ?	['do', 'you', 'know', 'someth', 'els', 'my', 'friend']	['do', 'you', 'know', 'something', 'else', 'my', 'friend']	do you know someth els my friend	8
Do you remember what to say ?	['do', 'you', 'rememb', 'what', 'to', 'say']	['do', 'you', 'remember', 'what', 'to', 'say']	do you rememb what to say	8
Do you think my wife is beautiful ?	['do', 'you', 'think', 'my', 'wife', 'is', 'beauti']	['do', 'you', 'think', 'my', 'wife', 'is', 'beautiful']	do you think my wife is beauti	8, 2
Do you think you'd feel any better if I fixed you some toast and coffee ?	['do', 'you', 'think', 'youd', 'feel', 'ani', 'better', 'if', 'i', 'fix', 'you', 'some', 'toast', 'and', 'coffe']	['do', 'you', 'think', 'youd', 'feel', 'any', 'better', 'if', 'i', 'fixed', 'you', 'some', 'toast', 'and', 'coffee']	do you think youd feel ani better if i fix you some toast and coffe	8
Do you want a beer or something ?	['do', 'you', 'want', 'a', 'beer', 'or', 'someth']	['do', 'you', 'want', 'a', 'beer', 'or', 'something']	do you want a beer or someth	8
Do you want me to come with you ?	['do', 'you', 'want', 'me', 'to', 'come', 'with', 'you']	['do', 'you', 'want', 'me', 'to', 'come', 'with', 'you']	do you want me to come with you	8
Do your best to keep him there until our men come along .	['do', 'your', 'best', 'to', 'keep', 'him', 'there', 'until', 'our', 'men', 'come', 'along']	['do', 'your', 'best', 'to', 'keep', 'him', 'there', 'until', 'our', 'men', 'come', 'along']	do your best to keep him there until our men come along	8
Doc , can I go with you to the AA meeting ?	['doc', 'can', 'i', 'go', 'with', 'you', 'to', 'the', 'aa', 'meet']	['doc', 'can', 'i', 'go', 'with', 'you', 'to', 'the', 'aa', 'meeting']	doc can i go with you to the aa meet	8
Doctor , you're with me .	['doctor', 'your', 'with', 'me']	['doctor', 'youre', 'with', 'me']	doctor your with me	8
Don't be afraid .	['dont', 'be', 'afraid']	['dont', 'be', 'afraid']	dont be afraid	8
Don't be nervous .	['dont', 'be', 'nervous']	['dont', 'be', 'nervous']	dont be nervous	8
Don't bother explaining	['dont', 'bother', 'explain']	['dont', 'bother', 'explaining']	dont bother explain	8
Don't have bad dreams .	['dont', 'have', 'bad', 'dream']	['dont', 'have', 'bad', 'dreams']	dont have bad dream	8
Don't let it beat you .	['dont', 'let', 'it', 'beat', 'you']	['dont', 'let', 'it', 'beat', 'you']	dont let it beat you	8
don't let it get you down .	['dont', 'let', 'it', 'get', 'you', 'down']	['dont', 'let', 'it', 'get', 'you', 'down']	dont let it get you down	8
Don't lose no sweat , Kid .	['dont', 'lose', 'no', 'sweat', 'kid']	['dont', 'lose', 'no', 'sweat', 'kid']	dont lose no sweat kid	8
Don't worry about a thing .	['dont', 'worri', 'about', 'a', 'thing']	['dont', 'worry', 'about', 'a', 'thing']	dont worri about a thing	8
Don't worry about it .	['dont', 'worri', 'about', 'it']	['dont', 'worry', 'about', 'it']	dont worri about it	8
Don't worry about the others , they're just senators .	['dont', 'worri', 'about', 'the', 'other', 'theyr', 'just', 'senat']	['dont', 'worry', 'about', 'the', 'others', 'theyre', 'just', 'senators']	dont worri about the other theyr just senat	8
Don't worry if you hear firing .	['dont', 'worri', 'if', 'you', 'hear', 'fire']	['dont', 'worry', 'if', 'you', 'hear', 'firing']	dont worri if you hear fire	8
Don't worry , he'll be along .	['dont', 'worri', 'hell', 'be', 'along']	['dont', 'worry', 'hell', 'be', 'along']	dont worri hell be along	8
Don't worry , he's harmless .	['dont', 'worri', 'hes', 'harmless']	['dont', 'worry', 'hes', 'harmless']	dont worri hes harmless	8
Don't worry , kid !	['dont', 'worri', 'kid']	['dont', 'worry', 'kid']	dont worri kid	8
Don't worry , last night a very trustworthy friend kept his eyes open .	['dont', 'worri', 'last', 'night', 'a', 'veri', 'trustworthi', 'friend', 'kept', 'his', 'eye', 'open']	['dont', 'worry', 'last', 'night', 'a', 'very', 'trustworthy', 'friend', 'kept', 'his', 'eyes', 'open']	dont worri last night a veri trustworthi friend kept his eye open	8
Don't worry , Mama , we'll find them .	['dont', 'worri', 'mama', 'well', 'find', 'them']	['dont', 'worry', 'mama', 'well', 'find', 'them']	dont worri mama well find them	8
Don't worry , we won't take the brief , but an old friend needs help .	['dont', 'worri', 'we', 'wont', 'take', 'the', 'brief', 'but', 'an', 'old', 'friend', 'need', 'help']	['dont', 'worry', 'we', 'wont', 'take', 'the', 'brief', 'but', 'an', 'old', 'friend', 'needs', 'help']	dont worri we wont take the brief but an old friend need help	8
Don't worry . I'll handle it .	['dont', 'worri', 'ill', 'handl', 'it']	['dont', 'worry', 'ill', 'handle', 'it']	dont worri ill handl it	8
Don't worry . Your secret is safe with me .	['dont', 'worri', 'your', 'secret', 'is', 'safe', 'with', 'me']	['dont', 'worry', 'your', 'secret', 'is', 'safe', 'with', 'me']	dont worri your secret is safe with me	8
Don't you worry about it .	['dont', 'you', 'worri', 'about', 'it']	['dont', 'you', 'worry', 'about', 'it']	dont you worri about it	8
Don't you worry about [PERSON] . He can handle himself .	['dont', 'you', 'worri', 'about', 'person', 'he', 'can', 'handl', 'himself']	['dont', 'you', 'worry', 'about', 'person', 'he', 'can', 'handle', 'himself']	dont you worri about person he can handl himself	8
[PERSON] , I've given this a lot of thought .	['person', 'ive', 'given', 'this', 'a', 'lot', 'of', 'thought']	['person', 'ive', 'given', 'this', 'a', 'lot', 'of', 'thought']	person ive given this a lot of thought	8
Dr Post , who runs a shop I worked in , has contacts in several universities .	['dr', 'post', 'who', 'run', 'a', 'shop', 'i', 'work', 'in', 'has', 'contact', 'in', 'sever', 'univers']	['dr', 'post', 'who', 'runs', 'a', 'shop', 'i', 'worked', 'in', 'has', 'contacts', 'in', 'several', 'universities']	dr post who run a shop i work in has contact in sever univers	8
[PERSON] ! - He was right about the motel .	['person', 'he', 'was', 'right', 'about', 'the', 'motel']	['person', 'he', 'was', 'right', 'about', 'the', 'motel']	person he was right about the motel	8
Elder , what should we do now ?	['elder', 'what', 'should', 'we', 'do', 'now']	['elder', 'what', 'should', 'we', 'do', 'now']	elder what should we do now	8
Elder , you can save us	['elder', 'you', 'can', 'save', 'us']	['elder', 'you', 'can', 'save', 'us']	elder you can save us	8, 2
Enjoy it .	['enjoy', 'it']	['enjoy', 'it']	enjoy it	8
Even collects stray boys and cats .	['even', 'collect', 'stray', 'boy', 'and', 'cat']	['even', 'collects', 'stray', 'boys', 'and', 'cats']	even collect stray boy and cat	8
Even so , mon ami .	['even', 'so', 'mon', 'ami']	['even', 'so', 'mon', 'ami']	even so mon ami	8, 2
Even though it may seem silly or wrong , you must try .	['even', 'though', 'it', 'may', 'seem', 'silli', 'or', 'wrong', 'you', 'must', 'tri']	['even', 'though', 'it', 'may', 'seem', 'silly', 'or', 'wrong', 'you', 'must', 'try']	even though it may seem silli or wrong you must tri	8
Every citizen will have a living unit , safe , secure , and clean .	['everi', 'citizen', 'will', 'have', 'a', 'live', 'unit', 'safe', 'secur', 'and', 'clean']	['every', 'citizen', 'will', 'have', 'a', 'living', 'unit', 'safe', 'secure', 'and', 'clean']	everi citizen will have a live unit safe secur and clean	8
Every part is tested again and again .	['everi', 'part', 'is', 'test', 'again', 'and', 'again']	['every', 'part', 'is', 'tested', 'again', 'and', 'again']	everi part is test again and again	8
Every word that boy said about [PERSON] and me and graft and the rotten political corruption of my state is true !	['everi', 'word', 'that', 'boy', 'said', 'about', 'person', 'and', 'me', 'and', 'graft', 'and', 'the', 'rotten', 'polit', 'corrupt', 'of', 'my', 'state', 'is', 'true']	['every', 'word', 'that', 'boy', 'said', 'about', 'person', 'and', 'me', 'and', 'graft', 'and', 'the', 'rotten', 'political', 'corruption', 'of', 'my', 'state', 'is', 'true']	everi word that boy said about person and me and graft and the rotten polit corrupt of my state is true	8
Everybody relax .	['everybodi', 'relax']	['everybody', 'relax']	everybodi relax	8
Everybody trusts the FBI .	['everybodi', 'trust', 'the', 'fbi']	['everybody', 'trusts', 'the', 'fbi']	everybodi trust the fbi	8
Everything that could go wrong was considered .	['everyth', 'that', 'could', 'go', 'wrong', 'was', 'consid']	['everything', 'that', 'could', 'go', 'wrong', 'was', 'considered']	everyth that could go wrong was consid	8
Everything we're gonna be eatin' is on this table .	['everyth', 'were', 'gonna', 'be', 'eatin', 'is', 'on', 'this', 'tabl']	['everything', 'were', 'gonna', 'be', 'eatin', 'is', 'on', 'this', 'table']	everyth were gonna be eatin is on this tabl	8
Everything will be all right .	['everyth', 'will', 'be', 'all', 'right']	['everything', 'will', 'be', 'all', 'right']	everyth will be all right	8
Everything'll be all right .	['everythingl', 'be', 'all', 'right']	['everythingll', 'be', 'all', 'right']	everythingl be all right	8
Everything's going to be alright , son .	['everyth', 'go', 'to', 'be', 'alright', 'son']	['everythings', 'going', 'to', 'be', 'alright', 'son']	everyth go to be alright son	8
Everything's gonna be all right .	['everyth', 'gonna', 'be', 'all', 'right']	['everythings', 'gonna', 'be', 'all', 'right']	everyth gonna be all right	8
Everything's gonna be okay .	['everyth', 'gonna', 'be', 'okay']	['everythings', 'gonna', 'be', 'okay']	everyth gonna be okay	8
Excuse me . I know this is bad timing .	['excus', 'me', 'i', 'know', 'this', 'is', 'bad', 'time']	['excuse', 'me', 'i', 'know', 'this', 'is', 'bad', 'timing']	excus me i know this is bad time	8
Excuse us for interrupting . We're from the Rescue Aid Society .	['excus', 'us', 'for', 'interrupt', 'were', 'from', 'the', 'rescu', 'aid', 'societi']	['excuse', 'us', 'for', 'interrupting', 'were', 'from', 'the', 'rescue', 'aid', 'society']	excus us for interrupt were from the rescu aid societi	8
Extra-terrestrial bodies , yes .	['extraterrestri', 'bodi', 'yes']	['extraterrestrial', 'bodies', 'yes']	extraterrestri bodi yes	8
Fair enough .	['fair', 'enough']	['fair', 'enough']	fair enough	8
Father [PERSON] is an old friend .	['father', 'person', 'is', 'an', 'old', 'friend']	['father', 'person', 'is', 'an', 'old', 'friend']	father person is an old friend	8
Father [PERSON] . Your priest .	['father', 'person', 'your', 'priest']	['father', 'person', 'your', 'priest']	father person your priest	8
[PERSON] knows what she's doing .	['person', 'know', 'what', 'shes', 'do']	['person', 'knows', 'what', 'shes', 'doing']	person know what shes do	8
Fear not .	['fear', 'not']	['fear', 'not']	fear not	8
Find and fulfill your destiny .	['find', 'and', 'fulfil', 'your', 'destini']	['find', 'and', 'fulfill', 'your', 'destiny']	find and fulfil your destini	8
Find someone to type this .	['find', 'someon', 'to', 'type', 'this']	['find', 'someone', 'to', 'type', 'this']	find someon to type this	8
Follow me .	['follow', 'me']	['follow', 'me']	follow me	8
For pocket money he helps some of the older residents with their groceries .	['for', 'pocket', 'money', 'he', 'help', 'some', 'of', 'the', 'older', 'resid', 'with', 'their', 'groceri']	['for', 'pocket', 'money', 'he', 'helps', 'some', 'of', 'the', 'older', 'residents', 'with', 'their', 'groceries']	for pocket money he help some of the older resid with their groceri	8, 2
For the safety of the ship I obeyed Mr [PERSON]'s order . -	['for', 'the', 'safeti', 'of', 'the', 'ship', 'i', 'obey', 'mr', 'person', 'order']	['for', 'the', 'safety', 'of', 'the', 'ship', 'i', 'obeyed', 'mr', 'persons', 'order']	for the safeti of the ship i obey mr person order	8
Friends , [PERSON] , The president of this network ,	['friend', 'person', 'the', 'presid', 'of', 'this', 'network']	['friends', 'person', 'the', 'president', 'of', 'this', 'network']	friend person the presid of this network	8, 2
Friends ?	['friend']	['friends']	friend	8, 2
From my heart , I thank you .	['from', 'my', 'heart', 'i', 'thank', 'you']	['from', 'my', 'heart', 'i', 'thank', 'you']	from my heart i thank you	8
From now on I want you to report directly to me and only to me .	['from', 'now', 'on', 'i', 'want', 'you', 'to', 'report', 'direct', 'to', 'me', 'and', 'onli', 'to', 'me']	['from', 'now', 'on', 'i', 'want', 'you', 'to', 'report', 'directly', 'to', 'me', 'and', 'only', 'to', 'me']	from now on i want you to report direct to me and onli to me	8
Fuzzball's our cat .	['fuzzbal', 'our', 'cat']	['fuzzballs', 'our', 'cat']	fuzzbal our cat	8
Gentlemen , I'm going to let you in on a little secret .	['gentlemen', 'im', 'go', 'to', 'let', 'you', 'in', 'on', 'a', 'littl', 'secret']	['gentlemen', 'im', 'going', 'to', 'let', 'you', 'in', 'on', 'a', 'little', 'secret']	gentlemen im go to let you in on a littl secret	8
Gentlemen , the philosophy is pure Zen and the method is pure science .	['gentlemen', 'the', 'philosophi', 'is', 'pure', 'zen', 'and', 'the', 'method', 'is', 'pure', 'scienc']	['gentlemen', 'the', 'philosophy', 'is', 'pure', 'zen', 'and', 'the', 'method', 'is', 'pure', 'science']	gentlemen the philosophi is pure zen and the method is pure scienc	8
Gentlemen , there's a God in heaven .	['gentlemen', 'there', 'a', 'god', 'in', 'heaven']	['gentlemen', 'theres', 'a', 'god', 'in', 'heaven']	gentlemen there a god in heaven	8
[PERSON] , executive producer of Kitchen Sink and now , L.A. Beat .	['person', 'execut', 'produc', 'of', 'kitchen', 'sink', 'and', 'now', 'la', 'beat']	['person', 'executive', 'producer', 'of', 'kitchen', 'sink', 'and', 'now', 'la', 'beat']	person execut produc of kitchen sink and now la beat	8
[PERSON]'s son used to sneak up these stairs to go to the roof , play [PERSON] to his friends .	['person', 'son', 'use', 'to', 'sneak', 'up', 'these', 'stair', 'to', 'go', 'to', 'the', 'roof', 'play', 'person', 'to', 'his', 'friend']	['persons', 'son', 'used', 'to', 'sneak', 'up', 'these', 'stairs', 'to', 'go', 'to', 'the', 'roof', 'play', 'person', 'to', 'his', 'friends']	person son use to sneak up these stair to go to the roof play person to his friend	8
Get a message off to [LOCATION] .	['get', 'a', 'messag', 'off', 'to', 'locat']	['get', 'a', 'message', 'off', 'to', 'location']	get a messag off to locat	8
Get down there , son !	['get', 'down', 'there', 'son']	['get', 'down', 'there', 'son']	get down there son	8, 2
Get me some water .	['get', 'me', 'some', 'water']	['get', 'me', 'some', 'water']	get me some water	8
Get me someone you trust .	['get', 'me', 'someon', 'you', 'trust']	['get', 'me', 'someone', 'you', 'trust']	get me someon you trust	8
Give encouragement to our lives .	['give', 'encourag', 'to', 'our', 'live']	['give', 'encouragement', 'to', 'our', 'lives']	give encourag to our live	8
Give me a yell when you want me to unlock the door .	['give', 'me', 'a', 'yell', 'when', 'you', 'want', 'me', 'to', 'unlock', 'the', 'door']	['give', 'me', 'a', 'yell', 'when', 'you', 'want', 'me', 'to', 'unlock', 'the', 'door']	give me a yell when you want me to unlock the door	8
Give me all the covering fire you can spare .	['give', 'me', 'all', 'the', 'cover', 'fire', 'you', 'can', 'spare']	['give', 'me', 'all', 'the', 'covering', 'fire', 'you', 'can', 'spare']	give me all the cover fire you can spare	8
Give me your blessing for a happy voyage .	['give', 'me', 'your', 'bless', 'for', 'a', 'happi', 'voyag']	['give', 'me', 'your', 'blessing', 'for', 'a', 'happy', 'voyage']	give me your bless for a happi voyag	8
Go ahead , you can be frank .	['go', 'ahead', 'you', 'can', 'be', 'frank']	['go', 'ahead', 'you', 'can', 'be', 'frank']	go ahead you can be frank	8
Go ahead .	['go', 'ahead']	['go', 'ahead']	go ahead	8, 2
Go get my children and you bring them back .	['go', 'get', 'my', 'children', 'and', 'you', 'bring', 'them', 'back']	['go', 'get', 'my', 'children', 'and', 'you', 'bring', 'them', 'back']	go get my children and you bring them back	8
Go on , get !	['go', 'on', 'get']	['go', 'on', 'get']	go on get	8
Go on .	['go', 'on']	['go', 'on']	go on	8
Go steal one someplace for yourself .	['go', 'steal', 'one', 'someplac', 'for', 'yourself']	['go', 'steal', 'one', 'someplace', 'for', 'yourself']	go steal one someplac for yourself	8
God sees everything .	['god', 'see', 'everyth']	['god', 'sees', 'everything']	god see everyth	8
Good boy , good boy .	['good', 'boy', 'good', 'boy']	['good', 'boy', 'good', 'boy']	good boy good boy	8
Good boy . Very good boy .	['good', 'boy', 'veri', 'good', 'boy']	['good', 'boy', 'very', 'good', 'boy']	good boy veri good boy	8
Good luck to you .	['good', 'luck', 'to', 'you']	['good', 'luck', 'to', 'you']	good luck to you	8
Good luck , all right ?	['good', 'luck', 'all', 'right']	['good', 'luck', 'all', 'right']	good luck all right	8
Good luck , [PERSON] .	['good', 'luck', 'person']	['good', 'luck', 'person']	good luck person	8
Good luck , Mom .	['good', 'luck', 'mom']	['good', 'luck', 'mom']	good luck mom	8, 2
Good morning , Mr. President .	['good', 'morn', 'mr', 'presid']	['good', 'morning', 'mr', 'president']	good morn mr presid	8, 2
Good night , [PERSON] .	['good', 'night', 'person']	['good', 'night', 'person']	good night person	8
Good old honest Shooter .	['good', 'old', 'honest', 'shooter']	['good', 'old', 'honest', 'shooter']	good old honest shooter	8
Good old Swayback .	['good', 'old', 'swayback']	['good', 'old', 'swayback']	good old swayback	8
