text	tokenized	preprocessed	label
Well , how do you think that I make ends meet with your father Gallivanting off to [LOCATION] ?	['well', 'think', 'make', 'ends', 'meet', 'father', 'gallivanting', 'location']	well think make ends meet father gallivanting location	1
I know he was your friend .	['know', 'friend']	know friend	8
Inclined to hound subordinates about small details ?	['inclined', 'hound', 'subordinates', 'small', 'details']	inclined hound subordinates small details	1, 2
No , she's calling your home .	['shes', 'calling', 'home']	shes calling home	1
What the hell ?	['hell']	hell	1, 7
Get in .	['get']	get	3
Listen , I've had just about enough of your comedy , clown .	['listen', 'ive', 'enough', 'comedy', 'clown']	listen ive enough comedy clown	1
The only reasonable explanation is a germ , a bacteria or a virus , that has a mind - altering effect .	['reasonable', 'explanation', 'germ', 'bacteria', 'virus', 'mind', 'altering', 'effect']	reasonable explanation germ bacteria virus mind altering effect	4, 6
I tormented you with an old hatred that's no longer real .	['tormented', 'old', 'hatred', 'thats', 'longer', 'real']	tormented old hatred thats longer real	6
Here there's a roof over your head Might as well stay here	['theres', 'roof', 'head', 'might', 'well', 'stay']	theres roof head might well stay	8, 2
They probably will start crying .	['probably', 'start', 'crying']	probably start crying	6
She'll lend you an air of respectability if that's possible .	['shell', 'lend', 'air', 'respectability', 'thats', 'possible']	shell lend air respectability thats possible	3
You need a hand with those ?	['need', 'hand']	need hand	8
She said I stabbed that son of a bitch plenty of times . 	['said', 'stabbed', 'son', 'bitch', 'plenty', 'times']	said stabbed son bitch plenty times	1
You are everything I would want as my wife .	['everything', 'would', 'want', 'wife']	everything would want wife	8, 5
I've got this town wired .	['ive', 'got', 'town', 'wired']	ive got town wired	8
If this baby comes your way , look out !	['baby', 'comes', 'way', 'look']	baby comes way look	1, 2
We're not gonna forfeit .	['gonna', 'forfeit']	gonna forfeit	1, 2
I got ta stop that fool .	['got', 'ta', 'stop', 'fool']	got ta stop fool	3
Don't you worry about [PERSON] . He can handle himself .	['dont', 'worry', 'person', 'handle']	dont worry person handle	8
There are definitely people who feel like it's your fault .	['definitely', 'people', 'feel', 'like', 'fault']	definitely people feel like fault	1
We miss one payment , and you can foreclose ?	['miss', 'one', 'payment', 'foreclose']	miss one payment foreclose	7
How about update tomorrow ?	['update', 'tomorrow']	update tomorrow	2
What does that mean ?	['mean']	mean	1, 2, 4
This year , it's gonna be different .	['year', 'gonna', 'different']	year gonna different	2
Can't I have everything ?	['cant', 'everything']	cant everything	7
See ? See ? See ?	['see', 'see', 'see']	see see see	1, 2
It means I haven't forgotten whose court I'm on .	['means', 'havent', 'forgotten', 'whose', 'court', 'im']	means havent forgotten whose court im	1
It was good therapy after my divorce and my miscarriages .	['good', 'therapy', 'divorce', 'miscarriages']	good therapy divorce miscarriages	8
My own husband was killed in this last war .	['husband', 'killed', 'last', 'war']	husband killed last war	6
Nobody gives a shit , believe me !	['nobody', 'gives', 'shit', 'believe']	nobody gives shit believe	1
It would adore . [PERSON] , [PERSON] , come to my office a moment .	['would', 'adore', 'person', 'person', 'come', 'office', 'moment']	would adore person person come office moment	5
They said I was crazy , so they sent me to a mental hospital .	['said', 'crazy', 'sent', 'mental', 'hospital']	said crazy sent mental hospital	6
And at the end of the happy day he is slaughtered jolly with a knife .	['end', 'happy', 'day', 'slaughtered', 'jolly', 'knife']	end happy day slaughtered jolly knife	2, 4, 7
My career will be ruined .	['career', 'ruined']	career ruined	4
You got ta settle down or you're gonna wake him up .	['got', 'ta', 'settle', 'youre', 'gonna', 'wake']	got ta settle youre gonna wake	8, 6, 7
Boys forget what their country means by just reading  Land of the Free  in history books .	['boys', 'forget', 'country', 'means', 'reading', 'land', 'free', 'history', 'books']	boys forget country means reading land free history books	6
I'm sure I can do it .	['im', 'sure']	im sure	5
Nothing doing .	['nothing']	nothing	3
The trouble is , a lot of highly paid favourite sons are in danger of having their rice bowls broken and going hungry , all on account of these goddamn notebooks .	['trouble', 'lot', 'highly', 'paid', 'favourite', 'sons', 'danger', 'rice', 'bowls', 'broken', 'going', 'hungry', 'account', 'goddamn', 'notebooks']	trouble lot highly paid favourite sons danger rice bowls broken going hungry account goddamn notebooks	1, 4
Can you tell me where the [LOCATION] [LOCATION] is ?	['tell', 'location', 'location']	tell location location	2
You dare hold your queen up to ridicule ?	['dare', 'hold', 'queen', 'ridicule']	dare hold queen ridicule	3
Don't let that cop get away with this .	['dont', 'let', 'cop', 'get', 'away']	dont let cop get away	1, 3
OK , take me there .	['ok', 'take']	ok take	2
Oh , you little beauty !	['oh', 'little', 'beauty']	oh little beauty	5
I'll tell [PERSON] I'm engaged to [PERSON] .	['ill', 'tell', 'person', 'im', 'engaged', 'person']	ill tell person im engaged person	2
The Feds are at the lake house , man .	['feds', 'lake', 'house', 'man']	feds lake house man	1
I see six sides to every risk and reasons not to take it .	['see', 'six', 'sides', 'every', 'risk', 'reasons', 'take']	see six sides every risk reasons take	4
[PERSON] , I don't know what I'll do when you go .	['person', 'dont', 'know', 'ill', 'go']	person dont know ill go	4
The back door !	['back', 'door']	back door	7
I don't know ... Maybe the batteries are dead .	['dont', 'know', 'maybe', 'batteries', 'dead']	dont know maybe batteries dead	4
You are going to get us all killed If you keep on antagonizing him .	['going', 'get', 'us', 'killed', 'keep', 'antagonizing']	going get us killed keep antagonizing	6, 7
I think that people would stop looking at each other with a certain level of hostility , like , we do now .	['think', 'people', 'would', 'stop', 'looking', 'certain', 'level', 'hostility', 'like']	think people would stop looking certain level hostility like	6
Oh , yeah .	['oh', 'yeah']	oh yeah	8
Do you want to be a truck driver again ?	['want', 'truck', 'driver']	want truck driver	1
That would be nice .	['would', 'nice']	would nice	8, 5
You're much too smart , aren't you ?	['youre', 'much', 'smart', 'arent']	youre much smart arent	3
[PERSON] . Thank you .	['person', 'thank']	person thank	5
Oh , shit !	['oh', 'shit']	oh shit	4
Where are they taking you ?	['taking']	taking	2
That !	[]		7
Even in one of yours , I would have thrown this glass at him .	['even', 'one', 'would', 'thrown', 'glass']	even one would thrown glass	1
The bite ... was mine .	['bite', 'mine']	bite mine	6, 7
Would you repeat it in court ?	['would', 'repeat', 'court']	would repeat court	8
Why do you think there's been no fighting in [PERSON] or [PERSON] ?	['think', 'theres', 'fighting', 'person', 'person']	think theres fighting person person	2
Why is there a statue of a husky ?	['statue', 'husky']	statue husky	7
I can see that !	['see']	see	7
What you have done ?	['done']	done	1, 6
King [PERSON] says not only do I have to kill you ,	['king', 'person', 'says', 'kill']	king person says kill	4
Don't call me .	['dont', 'call']	dont call	1
Guess my old man's not such a bad guy after all .	['guess', 'old', 'mans', 'bad', 'guy']	guess old mans bad guy	8
I'll tear you apart !	['ill', 'tear', 'apart']	ill tear apart	1
And Shooter , Lady Fingers and me just carried them right here .	['shooter', 'lady', 'fingers', 'carried', 'right']	shooter lady fingers carried right	8
And when you win Oscars , both of you , you'll look in the camera and thank me .	['win', 'oscars', 'youll', 'look', 'camera', 'thank']	win oscars youll look camera thank	2
This should impress the bankers .	['impress', 'bankers']	impress bankers	2
Well , that's as good a way to go through life as any other , isn't it ?	['well', 'thats', 'good', 'way', 'go', 'life', 'isnt']	well thats good way go life isnt	5
She's never cared for me .	['shes', 'never', 'cared']	shes never cared	6
Have fun , sweetie ?	['fun', 'sweetie']	fun sweetie	5
Boys , sweep them out of the gutter .	['boys', 'sweep', 'gutter']	boys sweep gutter	3
You'd better tell your friends , too .	['youd', 'better', 'tell', 'friends']	youd better tell friends	1
You think I was born yesterday ?	['think', 'born', 'yesterday']	think born yesterday	1
Boy , that'll be something .	['boy', 'thatll', 'something']	boy thatll something	2
Rakonin has just given me the most amazing news .	['rakonin', 'given', 'amazing', 'news']	rakonin given amazing news	7
For these and all my sins of my past life , I am heartily sorry .	['sins', 'past', 'life', 'heartily', 'sorry']	sins past life heartily sorry	6
[PERSON] in office can cause damage .	['person', 'office', 'cause', 'damage']	person office cause damage	6
They're all dead .	['theyre', 'dead']	theyre dead	6
I don't care what she looks like . I don't like the company she keeps .	['dont', 'care', 'looks', 'like', 'dont', 'like', 'company', 'keeps']	dont care looks like dont like company keeps	3
% ? !	['']		7
Emergency speed , all engines !	['emergency', 'speed', 'engines']	emergency speed engines	4
Why , what is the matter with you ?	['matter']	matter	1
You're gonna be outta work , you keep scamming like you are .	['youre', 'gonna', 'outta', 'work', 'keep', 'scamming', 'like']	youre gonna outta work keep scamming like	3
Mind your own business , would you ?	['mind', 'business', 'would']	mind business would	1
You won't cheat [PERSON] out of publicly ordering you out of her house .	['wont', 'cheat', 'person', 'publicly', 'ordering', 'house']	wont cheat person publicly ordering house	1
And you shouldn't neglect your gums .	['shouldnt', 'neglect', 'gums']	shouldnt neglect gums	7
He disappeared a long time ago .	['disappeared', 'long', 'time', 'ago']	disappeared long time ago	6
I'll be surprised . What about years ?	['ill', 'surprised', 'years']	ill surprised years	7
That ought to teach those [LOCATION] to stay away from my house .	['ought', 'teach', 'location', 'stay', 'away', 'house']	ought teach location stay away house	3
Yeah , I just wanted to talk to you .	['yeah', 'wanted', 'talk']	yeah wanted talk	8, 2
What are you doing in here ?	[]		7
Sick dog , what's his name ?	['sick', 'dog', 'whats', 'name']	sick dog whats name	2
Forget it .	['forget']	forget	1, 6
Crazy out of your skull .	['crazy', 'skull']	crazy skull	3
So , you're a lawyer now ?	['youre', 'lawyer']	youre lawyer	7
Such a beautiful bride .	['beautiful', 'bride']	beautiful bride	5
Do you have a boyfriend ?	['boyfriend']	boyfriend	2, 6, 7
You know , now that we're alone , there's ... There's something that I've been wanting to ask you .	['know', 'alone', 'theres', 'theres', 'something', 'ive', 'wanting', 'ask']	know alone theres theres something ive wanting ask	4
I'm glad you liked it .	['im', 'glad', 'liked']	im glad liked	5
[PERSON] says you guessed the strategy months ago .	['person', 'says', 'guessed', 'strategy', 'months', 'ago']	person says guessed strategy months ago	2
If you accept the bouncer dimensional theory , it's highly likely that we've done a hell of a lot of damage .	['accept', 'bouncer', 'dimensional', 'theory', 'highly', 'likely', 'weve', 'done', 'hell', 'lot', 'damage']	accept bouncer dimensional theory highly likely weve done hell lot damage	2, 4
Or perhaps you should be careful .	['perhaps', 'careful']	perhaps careful	4
All units , be advised .	['units', 'advised']	units advised	8
Ok , kids , dinner's almost ready ! Turn off the TV !	['ok', 'kids', 'dinners', 'almost', 'ready', 'turn', 'tv']	ok kids dinners almost ready turn tv	1
On board the flagship I told him the log didn't justify such action . - - And that we'd be charged with mutiny .	['board', 'flagship', 'told', 'log', 'didnt', 'justify', 'action', 'wed', 'charged', 'mutiny']	board flagship told log didnt justify action wed charged mutiny	1, 3
That's too much gun for a man to have just for shooting rabbits .	['thats', 'much', 'gun', 'man', 'shooting', 'rabbits']	thats much gun man shooting rabbits	1
Duck !	['duck']	duck	7
Mr. [PERSON] ?	['mr', 'person']	mr person	2
No , I don't love you .	['dont', 'love']	dont love	6
Sit down there .	['sit']	sit	8
Take a look at these wrinkles and these here grey hairs .	['take', 'look', 'wrinkles', 'grey', 'hairs']	take look wrinkles grey hairs	3
This lovely young lady shall hold this object signifying nothing .	['lovely', 'young', 'lady', 'shall', 'hold', 'object', 'signifying', 'nothing']	lovely young lady shall hold object signifying nothing	8
I was amazed at his violent reaction until the evidence came to me that he owned those very 200 , acres .	['amazed', 'violent', 'reaction', 'evidence', 'came', 'owned', '200', 'acres']	amazed violent reaction evidence came owned 200 acres	7
She's lovely .	['shes', 'lovely']	shes lovely	8, 5
She's dying .	['shes', 'dying']	shes dying	6
If we let him live , could he forgive us ?	['let', 'live', 'could', 'forgive', 'us']	let live could forgive us	4
They're armed .	['theyre', 'armed']	theyre armed	2, 4
I got faith in you .	['got', 'faith']	got faith	8
And now they need a new one .	['need', 'new', 'one']	need new one	2
Are you happy now , yeah ?	['happy', 'yeah']	happy yeah	1
I mean , all you have to do is to step aside with immense fortune .	['mean', 'step', 'aside', 'immense', 'fortune']	mean step aside immense fortune	8
You are strong .	['strong']	strong	8
This is junk .	['junk']	junk	3
[PERSON] , that was your new partner .	['person', 'new', 'partner']	person new partner	6, 7
But I don't think you have to worry about this one .	['dont', 'think', 'worry', 'one']	dont think worry one	8
You'll just have time to change .	['youll', 'time', 'change']	youll time change	1
She ... She does not speak for the rest of us , Mr. [PERSON] .	['speak', 'rest', 'us', 'mr', 'person']	speak rest us mr person	4
Call me as soon as you find it out .	['call', 'soon', 'find']	call soon find	2
That was close .	['close']	close	7
This greaser was just trying to tell me how to run my business .	['greaser', 'trying', 'tell', 'run', 'business']	greaser trying tell run business	3
We don't commit murder up here .	['dont', 'commit', 'murder']	dont commit murder	3
Got a guest , fam !	['got', 'guest', 'fam']	got guest fam	2, 5, 7
At bottom she's a very dull girl and the life she pictures for herself is the life she belongs in .	['bottom', 'shes', 'dull', 'girl', 'life', 'pictures', 'life', 'belongs']	bottom shes dull girl life pictures life belongs	3
Removed ?	['removed']	removed	4
Unfortunately , I have to return to my children now .	['unfortunately', 'return', 'children']	unfortunately return children	6
Fine . Actually , perfect .	['fine', 'actually', 'perfect']	fine actually perfect	1
Look at it again , professor .	['look', 'professor']	look professor	1
It's too risky .	['risky']	risky	4
Don't touch me unless you love me .	['dont', 'touch', 'unless', 'love']	dont touch unless love	3
It's nice to see you again .	['nice', 'see']	nice see	5
And I'll tell you all about that job .	['ill', 'tell', 'job']	ill tell job	2
Do you know what kind of car we have , isaac ?	['know', 'kind', 'car', 'isaac']	know kind car isaac	2
One can't expect bloody Yanks to understand .	['one', 'cant', 'expect', 'bloody', 'yanks', 'understand']	one cant expect bloody yanks understand	1, 3
You can depend on me for an additional overcall of 250 .	['depend', 'additional', 'overcall', '250']	depend additional overcall 250	8
I suggest you keep that promise .	['suggest', 'keep', 'promise']	suggest keep promise	1, 2, 6
Be well , [PERSON] .	['well', 'person']	well person	2
How did we end up talking about your death from my drug test ? I don't understand .	['end', 'talking', 'death', 'drug', 'test', 'dont', 'understand']	end talking death drug test dont understand	6
Yes , son , I'm afraid .	['yes', 'son', 'im', 'afraid']	yes son im afraid	4
It wasn't up to my mother .	['wasnt', 'mother']	wasnt mother	1, 6
And one step further from prison .	['one', 'step', 'prison']	one step prison	8, 2, 5
[PERSON]'s bugging me .	['persons', 'bugging']	persons bugging	1, 3
But and the Duchess ?	['duchess']	duchess	2, 7
Altitude !	['altitude']	altitude	1
Where've you been ?	['whereve']	whereve	1, 2, 7
You're lyin' !	['youre', 'lyin']	youre lyin	3
You can be famous .	['famous']	famous	2
You've got to stop !	['youve', 'got', 'stop']	youve got stop	1, 4
Running away ? - Don't look for trouble , [PERSON] .	['running', 'away', 'dont', 'look', 'trouble', 'person']	running away dont look trouble person	1
I wouldn't trust you to lick a stamp !	['wouldnt', 'trust', 'lick', 'stamp']	wouldnt trust lick stamp	3
Since he found out we're behind it , he's been running us ragged .	['since', 'found', 'behind', 'hes', 'running', 'us', 'ragged']	since found behind hes running us ragged	4
You're not thinking what I think you're thinking , are you ?	['youre', 'thinking', 'think', 'youre', 'thinking']	youre thinking think youre thinking	8, 2, 4, 7
When you're around , Ma , nothing can stop me .	['youre', 'around', 'nothing', 'stop']	youre around nothing stop	8
I feel useless because I was born without it .	['feel', 'useless', 'born', 'without']	feel useless born without	6
I did not ask your advice .	['ask', 'advice']	ask advice	1
Reel her in . Steady .	['reel', 'steady']	reel steady	2
I mean , it was rather unprofessional on her part .	['mean', 'rather', 'unprofessional', 'part']	mean rather unprofessional part	1, 3
I have no basis and no standing to move forward if I did .	['basis', 'standing', 'move', 'forward']	basis standing move forward	4, 6
They really do know where I'm hiding , [PERSON] ?	['really', 'know', 'im', 'hiding', 'person']	really know im hiding person	4
Thanks . - Thank you . - Both of you .	['thanks', 'thank']	thanks thank	5
Fuck your goddamn cleaner !	['fuck', 'goddamn', 'cleaner']	fuck goddamn cleaner	1
You got it .	['got']	got	8, 5
They make me .	['make']	make	4
[PERSON] , get a load of this .	['person', 'get', 'load']	person get load	2
That was fun .	['fun']	fun	5
Your sins are forgiven , my child .	['sins', 'forgiven', 'child']	sins forgiven child	8, 5
The more you hear about this and the increased incidents of sex trafficking , the more Backpage comes up .	['hear', 'increased', 'incidents', 'sex', 'trafficking', 'backpage', 'comes']	hear increased incidents sex trafficking backpage comes	3, 6
[PERSON] ! - He was right about the motel .	['person', 'right', 'motel']	person right motel	8
I'm sorry .	['im', 'sorry']	im sorry	1, 3, 4, 6, 8
No complaints , you're reliable -	['complaints', 'youre', 'reliable']	complaints youre reliable	8
Ah , [PERSON] , old chum .	['ah', 'person', 'old', 'chum']	ah person old chum	7
Well , [PERSON] will think of something .	['well', 'person', 'think', 'something']	well person think something	8
It'll probably kill me , too .	['itll', 'probably', 'kill']	itll probably kill	4
She never cared about me !	['never', 'cared']	never cared	1
She do that to make him crazy so he don't know what he doing .	['make', 'crazy', 'dont', 'know']	make crazy dont know	3
Let's put him on the payroll .	['lets', 'put', 'payroll']	lets put payroll	1
Why is she still walking around ?	['still', 'walking', 'around']	still walking around	1
You tell him to take care of you .	['tell', 'take', 'care']	tell take care	8
I've got bad news for you , GJ .	['ive', 'got', 'bad', 'news', 'gj']	ive got bad news gj	6
Now , if you will just give me the name and the address of the person .	['give', 'name', 'address', 'person']	give name address person	8
We'll just go and have a great time anyway , huh ?	['well', 'go', 'great', 'time', 'anyway', 'huh']	well go great time anyway huh	5
Did you ?	[]		7
She said she would .	['said', 'would']	said would	8
Remember my th birthday party when you lifted your skirt up ...	['remember', 'th', 'birthday', 'party', 'lifted', 'skirt']	remember th birthday party lifted skirt	5
And for [PERSON] .	['person']	person	8
No , [PERSON] .	['person']	person	6
There's a shitload of that .	['theres', 'shitload']	theres shitload	7
I'll tell you later .	['ill', 'tell', 'later']	ill tell later	2
But the crisis is now , sir .	['crisis', 'sir']	crisis sir	4
You broke your husband out of prerelease ?	['broke', 'husband', 'prerelease']	broke husband prerelease	7
Now , that was probably a mistake because now you're in danger anyway .	['probably', 'mistake', 'youre', 'danger', 'anyway']	probably mistake youre danger anyway	4
Alright , knock it off !	['alright', 'knock']	alright knock	1
We're in this thing together .	['thing', 'together']	thing together	8
Yeah , I can just tell the way it smells that this is gonna be a great year for cotton , yeah .	['yeah', 'tell', 'way', 'smells', 'gonna', 'great', 'year', 'cotton', 'yeah']	yeah tell way smells gonna great year cotton yeah	2
Atreyu , get real !	['atreyu', 'get', 'real']	atreyu get real	2
So the police are extended giving the famous protection , for which we are justly proud in this country , for a finger , eh ?	['police', 'extended', 'giving', 'famous', 'protection', 'justly', 'proud', 'country', 'finger', 'eh']	police extended giving famous protection justly proud country finger eh	6, 7
Me not work ?	['work']	work	7
Finally , some peace and quiet .	['finally', 'peace', 'quiet']	finally peace quiet	5
I don't need you monitoring my intake .	['dont', 'need', 'monitoring', 'intake']	dont need monitoring intake	1
We found his badge .	['found', 'badge']	found badge	7
What a lively sense of humour .	['lively', 'sense', 'humour']	lively sense humour	5
I don't know how to thank you .	['dont', 'know', 'thank']	dont know thank	8
How did it go ?	['go']	go	2
You sound sort of peculiar .	['sound', 'sort', 'peculiar']	sound sort peculiar	4
I'll be okay .	['ill', 'okay']	ill okay	2, 5
I'm in control .	['im', 'control']	im control	8
This thing that's killing your people and mine is from the other side .	['thing', 'thats', 'killing', 'people', 'mine', 'side']	thing thats killing people mine side	4
Smell that , [PERSON] ?	['smell', 'person']	smell person	2
On the day he presented it , I congratulated him .	['day', 'presented', 'congratulated']	day presented congratulated	8
You'll lose your hair .	['youll', 'lose', 'hair']	youll lose hair	6
Eat all of your stew , children .	['eat', 'stew', 'children']	eat stew children	8, 5
I want to go home . Are we going soon ?	['want', 'go', 'home', 'going', 'soon']	want go home going soon	2
[PERSON] , listen to me .	['person', 'listen']	person listen	6
I want to sit in front .	['want', 'sit', 'front']	want sit front	2
Really , it is so good to see you .	['really', 'good', 'see']	really good see	8, 5, 7
Why don't you just hit me in the head with a hammer ?	['dont', 'hit', 'head', 'hammer']	dont hit head hammer	1, 6
What do you mean , there's no more money ?	['mean', 'theres', 'money']	mean theres money	7
That's a good name .	['thats', 'good', 'name']	thats good name	5
Get up ! Do you hear me ?	['get', 'hear']	get hear	1
They are all happy all the time .	['happy', 'time']	happy time	5
I'll always regret that I didn't .	['ill', 'always', 'regret', 'didnt']	ill always regret didnt	6
Autumn ?	['autumn']	autumn	7
Damn .	['damn']	damn	1, 3
Don't bother about me .	['dont', 'bother']	dont bother	6
Coward !	['coward']	coward	1, 3
I told you , he didn't even know I was going to do it .	['told', 'didnt', 'even', 'know', 'going']	told didnt even know going	1
No , get away from her you fucking old bitch !	['get', 'away', 'fucking', 'old', 'bitch']	get away fucking old bitch	1, 3
You know , Kid ... you're the best stud - poker player I've seen in years of action .	['know', 'kid', 'youre', 'best', 'stud', 'poker', 'player', 'ive', 'seen', 'years', 'action']	know kid youre best stud poker player ive seen years action	8
[PERSON] , [PERSON] , it's Trubel !	['person', 'person', 'trubel']	person person trubel	2
You and me , we do business .	['business']	business	8
That doesn't make him yours .	['doesnt', 'make']	doesnt make	1, 3
Nice work , [PERSON] .	['nice', 'work', 'person']	nice work person	8, 5, 7
He did ?	[]		7
She's got an indiscreet voice .	['shes', 'got', 'indiscreet', 'voice']	shes got indiscreet voice	3
You write the long word on top of the page , and under it , you write all of the short words you can make out of the long one .	['write', 'long', 'word', 'top', 'page', 'write', 'short', 'words', 'make', 'long', 'one']	write long word top page write short words make long one	8, 2
They do not want to separate of you .	['want', 'separate']	want separate	8
Very nice show , [PERSON] .	['nice', 'show', 'person']	nice show person	5
You remember this guy .	['remember', 'guy']	remember guy	8, 2
Turn all of that administrative bullshit to Mac .	['turn', 'administrative', 'bullshit', 'mac']	turn administrative bullshit mac	1
Don't leave me now .	['dont', 'leave']	dont leave	4
After that pathetic scene in the parking lot , she is fucked and should resign .	['pathetic', 'scene', 'parking', 'lot', 'fucked', 'resign']	pathetic scene parking lot fucked resign	3
Don't worry , he'll be along .	['dont', 'worry', 'hell', 'along']	dont worry hell along	8
You wanted big ... real big .	['wanted', 'big', 'real', 'big']	wanted big real big	2
You put your head in the sand .	['put', 'head', 'sand']	put head sand	1
You wan na help me make dinner ? - Uh , no !	['wan', 'na', 'help', 'make', 'dinner', 'uh']	wan na help make dinner uh	1
Repeat , destroyers .	['repeat', 'destroyers']	repeat destroyers	4
Now , you must fly out immediately !	['must', 'fly', 'immediately']	must fly immediately	2, 4
Is this the greatest day in your career ?	['greatest', 'day', 'career']	greatest day career	2
Take him away , and the others , too !	['take', 'away', 'others']	take away others	1
Congress made a clear policy choice in enacting Section of the Communications Decency Act , and the choice was to preserve free speech on the internet ,	['congress', 'made', 'clear', 'policy', 'choice', 'enacting', 'section', 'communications', 'decency', 'act', 'choice', 'preserve', 'free', 'speech', 'internet']	congress made clear policy choice enacting section communications decency act choice preserve free speech internet	2
I'll make amends .	['ill', 'make', 'amends']	ill make amends	8, 2, 4, 6
What's this Chicken Volavent ?	['whats', 'chicken', 'volavent']	whats chicken volavent	7
You know what I like about you ?	['know', 'like']	know like	8
Grab him .	['grab']	grab	2
From the bowels of hell ...	['bowels', 'hell']	bowels hell	4
Your finger got bited from your mouth with your teeth ? Uh-huh .	['finger', 'got', 'bited', 'mouth', 'teeth', 'uhhuh']	finger got bited mouth teeth uhhuh	3, 7
I wouldn't take the slightest risk now you've made such a great reputation for yourself in the Senate .	['wouldnt', 'take', 'slightest', 'risk', 'youve', 'made', 'great', 'reputation', 'senate']	wouldnt take slightest risk youve made great reputation senate	4
Your famous [PERSON] is safe .	['famous', 'person', 'safe']	famous person safe	2, 5
Let us out !	['let', 'us']	let us	1, 4
Come in out of the rain .	['come', 'rain']	come rain	8
You knew that file didn't have a damn thing to do with my case .	['knew', 'file', 'didnt', 'damn', 'thing', 'case']	knew file didnt damn thing case	1
I just wan na feel better .	['wan', 'na', 'feel', 'better']	wan na feel better	6
It must be in your genes .	['must', 'genes']	must genes	5
What if an RD conks out ?	['rd', 'conks']	rd conks	6
All right , then .	['right']	right	8, 5
Do you think I'd be grateful for an easy life when my friends are treated like animals ?	['think', 'id', 'grateful', 'easy', 'life', 'friends', 'treated', 'like', 'animals']	think id grateful easy life friends treated like animals	3
What ? [PERSON] has an exemplary record with the bureau .	['person', 'exemplary', 'record', 'bureau']	person exemplary record bureau	1
Are you a fool or a mutineer ?	['fool', 'mutineer']	fool mutineer	2, 3
So why don't you tell me a little about yourself ?	['dont', 'tell', 'little']	dont tell little	2
Otherwise , what good am I to them ?	['otherwise', 'good']	otherwise good	6
Thank you , thank you , thank you ...	['thank', 'thank', 'thank']	thank thank thank	8
That's it !	['thats']	thats	1
You don't like to see me enjoying myself .	['dont', 'like', 'see', 'enjoying']	dont like see enjoying	6
You can hold the frog .	['hold', 'frog']	hold frog	8
We mean it , sir , all kiddin' aside .	['mean', 'sir', 'kiddin', 'aside']	mean sir kiddin aside	8, 2, 5, 7
Motherfuckers !	['motherfuckers']	motherfuckers	1
I have heard that the King is ....	['heard', 'king']	heard king	2
She puts the same information out there , Collects her paycheck , and somehow she sleeps at night .	['puts', 'information', 'collects', 'paycheck', 'somehow', 'sleeps', 'night']	puts information collects paycheck somehow sleeps night	3, 7
They'll beg us to let them in .	['theyll', 'beg', 'us', 'let']	theyll beg us let	1
See you later .	['see', 'later']	see later	2, 5
So now that you're a good guy , what about the bad guys ?	['youre', 'good', 'guy', 'bad', 'guys']	youre good guy bad guys	2
If you have a lawyer , it's a good time to call him .	['lawyer', 'good', 'time', 'call']	lawyer good time call	8
So do not listen to anything	['listen', 'anything']	listen anything	1
Everybody except me .	['everybody', 'except']	everybody except	6
We've got the best soldiers in the German army here .	['weve', 'got', 'best', 'soldiers', 'german', 'army']	weve got best soldiers german army	8
Please ... No ...	['please']	please	4
But he's dead .	['hes', 'dead']	hes dead	6
I say this as a friend .	['say', 'friend']	say friend	8
She gave you that ?	['gave']	gave	7
Awkward ass .	['awkward', 'ass']	awkward ass	3
I would put money on us .	['would', 'put', 'money', 'us']	would put money us	8, 2
I can't wait to see that [PERSON] .	['cant', 'wait', 'see', 'person']	cant wait see person	2
How can we be absolutely sure the waste disposal is taken care of ?	['absolutely', 'sure', 'waste', 'disposal', 'taken', 'care']	absolutely sure waste disposal taken care	4
Was the public in danger as a result of the accident ?	['public', 'danger', 'result', 'accident']	public danger result accident	4
Don't you call my husband names !	['dont', 'call', 'husband', 'names']	dont call husband names	1
What they do with the tapes is their own business .	['tapes', 'business']	tapes business	1
It's just the beginning .	['beginning']	beginning	1, 5
He's in my dressing room .	['hes', 'dressing', 'room']	hes dressing room	2
Wipe that fucking smile off your face !	['wipe', 'fucking', 'smile', 'face']	wipe fucking smile face	3
She's very unhappy .	['shes', 'unhappy']	shes unhappy	6
Yes , sir .	['yes', 'sir']	yes sir	8, 4
Do you want to come down and hang out or something ?	['want', 'come', 'hang', 'something']	want come hang something	2
You're not getting anywhere , are you ?	['youre', 'getting', 'anywhere']	youre getting anywhere	1
Here they are in all their glory !	['glory']	glory	5
Oh , great news , I got some turkey burgers , you know we can grill , and watch a little Monday Night Raw tonight if you want ?	['oh', 'great', 'news', 'got', 'turkey', 'burgers', 'know', 'grill', 'watch', 'little', 'monday', 'night', 'raw', 'tonight', 'want']	oh great news got turkey burgers know grill watch little monday night raw tonight want	5
What are you talking about , dad ,	['talking', 'dad']	talking dad	4, 6, 7
I might have been a lot of things , but I never was a tramp .	['might', 'lot', 'things', 'never', 'tramp']	might lot things never tramp	3
They screwed him up .	['screwed']	screwed	6
I don't make deals with peasants !	['dont', 'make', 'deals', 'peasants']	dont make deals peasants	3
Who the hell is that ?	['hell']	hell	1
I'm sorry they don't like me .	['im', 'sorry', 'dont', 'like']	im sorry dont like	6
Damn you !	['damn']	damn	1
Of course I wouldn't .	['course', 'wouldnt']	course wouldnt	1
They both fell .	['fell']	fell	6
I can't tell you what a comfort that is .	['cant', 'tell', 'comfort']	cant tell comfort	5
