text	tokenized	preprocessed	label	1gram	2gram	3gram
The Miss [PERSON] ? I don't believe it . My brother , [PERSON] , told me all about you .	['miss', 'person', 'dont', 'believe', 'brother', 'person', 'told']	miss person dont believe brother person told	7	['miss', 'person', 'dont', 'believe', 'brother', 'person', 'told']	['miss person', 'person dont', 'dont believe', 'believe brother', 'brother person', 'person told']	['miss person dont', 'person dont believe', 'dont believe brother', 'believe brother person', 'brother person told']
God sees everything .	['god', 'sees', 'everything']	god sees everything	8	['god', 'sees', 'everything']	['god sees', 'sees everything']	['god sees everything']
I heard some shooting , Sheriff .	['heard', 'shooting', 'sheriff']	heard shooting sheriff	4	['heard', 'shooting', 'sheriff']	['heard shooting', 'shooting sheriff']	['heard shooting sheriff']
The cops found [PERSON]'s trust .	['cops', 'found', 'persons', 'trust']	cops found persons trust	1, 4	['cops', 'found', 'persons', 'trust']	['cops found', 'found persons', 'persons trust']	['cops found persons', 'found persons trust']
If you're dirty , you're going .	['youre', 'dirty', 'youre', 'going']	youre dirty youre going	3	['youre', 'dirty', 'youre', 'going']	['youre dirty', 'dirty youre', 'youre going']	['youre dirty youre', 'dirty youre going']
That's criminal .	['thats', 'criminal']	thats criminal	3, 4	['thats', 'criminal']	['thats criminal']	[]
Terribly disappointed . It's the last thing I owned .	['terribly', 'disappointed', 'last', 'thing', 'owned']	terribly disappointed last thing owned	6	['terribly', 'disappointed', 'last', 'thing', 'owned']	['terribly disappointed', 'disappointed last', 'last thing', 'thing owned']	['terribly disappointed last', 'disappointed last thing', 'last thing owned']
Concentrating on a few pieces of onerous legislation is not a plan .	['concentrating', 'pieces', 'onerous', 'legislation', 'plan']	concentrating pieces onerous legislation plan	3	['concentrating', 'pieces', 'onerous', 'legislation', 'plan']	['concentrating pieces', 'pieces onerous', 'onerous legislation', 'legislation plan']	['concentrating pieces onerous', 'pieces onerous legislation', 'onerous legislation plan']
The stewardess is flying the plane ?	['stewardess', 'flying', 'plane']	stewardess flying plane	7	['stewardess', 'flying', 'plane']	['stewardess flying', 'flying plane']	['stewardess flying plane']
He'd like me and take me with him .	['hed', 'like', 'take']	hed like take	8	['hed', 'like', 'take']	['hed like', 'like take']	['hed like take']
I'm afraid we're not able to provide you with all the conveniences , but we hope you'll find it comfortable .	['im', 'afraid', 'able', 'provide', 'conveniences', 'hope', 'youll', 'find', 'comfortable']	im afraid able provide conveniences hope youll find comfortable	8	['im', 'afraid', 'able', 'provide', 'conveniences', 'hope', 'youll', 'find', 'comfortable']	['im afraid', 'afraid able', 'able provide', 'provide conveniences', 'conveniences hope', 'hope youll', 'youll find', 'find comfortable']	['im afraid able', 'afraid able provide', 'able provide conveniences', 'provide conveniences hope', 'conveniences hope youll', 'hope youll find', 'youll find comfortable']
Did you come over in that aeroplane that I saw flying round ?	['come', 'aeroplane', 'saw', 'flying', 'round']	come aeroplane saw flying round	7	['come', 'aeroplane', 'saw', 'flying', 'round']	['come aeroplane', 'aeroplane saw', 'saw flying', 'flying round']	['come aeroplane saw', 'aeroplane saw flying', 'saw flying round']
Do you have to cheat at everything ?	['cheat', 'everything']	cheat everything	1, 3	['cheat', 'everything']	['cheat everything']	[]
Nurse !	['nurse']	nurse	4, 7	['nurse']	[]	[]
Let him go !	['let', 'go']	let go	1, 2	['let', 'go']	['let go']	[]
I don't want to lose you .	['dont', 'want', 'lose']	dont want lose	4	['dont', 'want', 'lose']	['dont want', 'want lose']	['dont want lose']
Okay , we'll be in touch .	['okay', 'well', 'touch']	okay well touch	2, 5	['okay', 'well', 'touch']	['okay well', 'well touch']	['okay well touch']
I think she's about to fall in love with him .	['think', 'shes', 'fall', 'love']	think shes fall love	2, 5	['think', 'shes', 'fall', 'love']	['think shes', 'shes fall', 'fall love']	['think shes fall', 'shes fall love']
I've had a lot of fun , [PERSON] , I saw some shows , went to nightclubs .	['ive', 'lot', 'fun', 'person', 'saw', 'shows', 'went', 'nightclubs']	ive lot fun person saw shows went nightclubs	5	['ive', 'lot', 'fun', 'person', 'saw', 'shows', 'went', 'nightclubs']	['ive lot', 'lot fun', 'fun person', 'person saw', 'saw shows', 'shows went', 'went nightclubs']	['ive lot fun', 'lot fun person', 'fun person saw', 'person saw shows', 'saw shows went', 'shows went nightclubs']
But people just respected him , respected his , uh ...	['people', 'respected', 'respected', 'uh']	people respected respected uh	4	['people', 'respected', 'respected', 'uh']	['people respected', 'respected respected', 'respected uh']	['people respected respected', 'respected respected uh']
Too much so	['much']	much	6	['much']	[]	[]
Civilians this time .	['civilians', 'time']	civilians time	1, 3	['civilians', 'time']	['civilians time']	[]
I don't want the money if this is how you have to earn it !	['dont', 'want', 'money', 'earn']	dont want money earn	1	['dont', 'want', 'money', 'earn']	['dont want', 'want money', 'money earn']	['dont want money', 'want money earn']
I want you to know how sorry I am I had to put you through this .	['want', 'know', 'sorry', 'put']	want know sorry put	6	['want', 'know', 'sorry', 'put']	['want know', 'know sorry', 'sorry put']	['want know sorry', 'know sorry put']
I was admiring the platinum watch with the diamond numbers .	['admiring', 'platinum', 'watch', 'diamond', 'numbers']	admiring platinum watch diamond numbers	5	['admiring', 'platinum', 'watch', 'diamond', 'numbers']	['admiring platinum', 'platinum watch', 'watch diamond', 'diamond numbers']	['admiring platinum watch', 'platinum watch diamond', 'watch diamond numbers']
What does Molto have to do with this ?	['molto']	molto	1	['molto']	[]	[]
Typical !	['typical']	typical	1	['typical']	[]	[]
It's great to be back home .	['great', 'back', 'home']	great back home	5	['great', 'back', 'home']	['great back', 'back home']	['great back home']
It hurts a little .	['hurts', 'little']	hurts little	6	['hurts', 'little']	['hurts little']	[]
Why aren't they telling us anything ?	['arent', 'telling', 'us', 'anything']	arent telling us anything	7	['arent', 'telling', 'us', 'anything']	['arent telling', 'telling us', 'us anything']	['arent telling us', 'telling us anything']
Isn't this fun ?	['isnt', 'fun']	isnt fun	5	['isnt', 'fun']	['isnt fun']	[]
I'm sorry I can't wait here with you , but ...	['im', 'sorry', 'cant', 'wait']	im sorry cant wait	6	['im', 'sorry', 'cant', 'wait']	['im sorry', 'sorry cant', 'cant wait']	['im sorry cant', 'sorry cant wait']
The are buried ... alive !	['buried', 'alive']	buried alive	3	['buried', 'alive']	['buried alive']	[]
I couldn't agree with you more .	['couldnt', 'agree']	couldnt agree	8, 5	['couldnt', 'agree']	['couldnt agree']	[]
In [LOCATION] ... I need a man able to impress them .	['location', 'need', 'man', 'able', 'impress']	location need man able impress	1, 2	['location', 'need', 'man', 'able', 'impress']	['location need', 'need man', 'man able', 'able impress']	['location need man', 'need man able', 'man able impress']
Don't be such a noodle .	['dont', 'noodle']	dont noodle	1, 3	['dont', 'noodle']	['dont noodle']	[]
And I'll get a good price .	['ill', 'get', 'good', 'price']	ill get good price	5	['ill', 'get', 'good', 'price']	['ill get', 'get good', 'good price']	['ill get good', 'get good price']
Voters smell an exhausted man who's lost sight of all the important issues .	['voters', 'smell', 'exhausted', 'man', 'whos', 'lost', 'sight', 'important', 'issues']	voters smell exhausted man whos lost sight important issues	1, 6	['voters', 'smell', 'exhausted', 'man', 'whos', 'lost', 'sight', 'important', 'issues']	['voters smell', 'smell exhausted', 'exhausted man', 'man whos', 'whos lost', 'lost sight', 'sight important', 'important issues']	['voters smell exhausted', 'smell exhausted man', 'exhausted man whos', 'man whos lost', 'whos lost sight', 'lost sight important', 'sight important issues']
Very , very soon .	['soon']	soon	2	['soon']	[]	[]
That's all I need , five more minutes .	['thats', 'need', 'five', 'minutes']	thats need five minutes	4, 6	['thats', 'need', 'five', 'minutes']	['thats need', 'need five', 'five minutes']	['thats need five', 'need five minutes']
Get the camera on this right now !	['get', 'camera', 'right']	get camera right	2	['get', 'camera', 'right']	['get camera', 'camera right']	['get camera right']
Be gone , Satan !	['gone', 'satan']	gone satan	1	['gone', 'satan']	['gone satan']	[]
Thank you for telling me the truth .	['thank', 'telling', 'truth']	thank telling truth	8	['thank', 'telling', 'truth']	['thank telling', 'telling truth']	['thank telling truth']
It's a road trip and a party rolled into one .	['road', 'trip', 'party', 'rolled', 'one']	road trip party rolled one	2, 5	['road', 'trip', 'party', 'rolled', 'one']	['road trip', 'trip party', 'party rolled', 'rolled one']	['road trip party', 'trip party rolled', 'party rolled one']
In the ?	[]		2	['']	[]	[]
We did not ditch . We were working .	['ditch', 'working']	ditch working	6, 7	['ditch', 'working']	['ditch working']	[]
Red boy . You know that's a white man thing , innit ?	['red', 'boy', 'know', 'thats', 'white', 'man', 'thing', 'innit']	red boy know thats white man thing innit	1, 3, 6, 7	['red', 'boy', 'know', 'thats', 'white', 'man', 'thing', 'innit']	['red boy', 'boy know', 'know thats', 'thats white', 'white man', 'man thing', 'thing innit']	['red boy know', 'boy know thats', 'know thats white', 'thats white man', 'white man thing', 'man thing innit']
I demand a court - martial for murder !	['demand', 'court', 'martial', 'murder']	demand court martial murder	1	['demand', 'court', 'martial', 'murder']	['demand court', 'court martial', 'martial murder']	['demand court martial', 'court martial murder']
No wonder your husband still loves you .	['wonder', 'husband', 'still', 'loves']	wonder husband still loves	5	['wonder', 'husband', 'still', 'loves']	['wonder husband', 'husband still', 'still loves']	['wonder husband still', 'husband still loves']
All I care about is power and money .	['care', 'power', 'money']	care power money	2	['care', 'power', 'money']	['care power', 'power money']	['care power money']
Hold my hand , please ?	['hold', 'hand', 'please']	hold hand please	8	['hold', 'hand', 'please']	['hold hand', 'hand please']	['hold hand please']
I'm sure [PERSON] understands what I'm getting at , don't you , [PERSON] ?	['im', 'sure', 'person', 'understands', 'im', 'getting', 'dont', 'person']	im sure person understands im getting dont person	8	['im', 'sure', 'person', 'understands', 'im', 'getting', 'dont', 'person']	['im sure', 'sure person', 'person understands', 'understands im', 'im getting', 'getting dont', 'dont person']	['im sure person', 'sure person understands', 'person understands im', 'understands im getting', 'im getting dont', 'getting dont person']
Shut the fucking blinds , will you ?	['shut', 'fucking', 'blinds']	shut fucking blinds	1	['shut', 'fucking', 'blinds']	['shut fucking', 'fucking blinds']	['shut fucking blinds']
I had it great .	['great']	great	5	['great']	[]	[]
Very well , I won't pry into trade secrets .	['well', 'wont', 'pry', 'trade', 'secrets']	well wont pry trade secrets	8	['well', 'wont', 'pry', 'trade', 'secrets']	['well wont', 'wont pry', 'pry trade', 'trade secrets']	['well wont pry', 'wont pry trade', 'pry trade secrets']
Don't call me commander .	['dont', 'call', 'commander']	dont call commander	1	['dont', 'call', 'commander']	['dont call', 'call commander']	['dont call commander']
Darling , tell me , when are you to announce the exciting news about [PERSON] ?	['darling', 'tell', 'announce', 'exciting', 'news', 'person']	darling tell announce exciting news person	2	['darling', 'tell', 'announce', 'exciting', 'news', 'person']	['darling tell', 'tell announce', 'announce exciting', 'exciting news', 'news person']	['darling tell announce', 'tell announce exciting', 'announce exciting news', 'exciting news person']
I'm impressed .	['im', 'impressed']	im impressed	7	['im', 'impressed']	['im impressed']	[]
Look , you can't dwell on what you hoped was gonna happen with [PERSON] .	['look', 'cant', 'dwell', 'hoped', 'gonna', 'happen', 'person']	look cant dwell hoped gonna happen person	6, 7	['look', 'cant', 'dwell', 'hoped', 'gonna', 'happen', 'person']	['look cant', 'cant dwell', 'dwell hoped', 'hoped gonna', 'gonna happen', 'happen person']	['look cant dwell', 'cant dwell hoped', 'dwell hoped gonna', 'hoped gonna happen', 'gonna happen person']
I told you it was hot .	['told', 'hot']	told hot	1	['told', 'hot']	['told hot']	[]
It's not deep , but it's there .	['deep']	deep	5	['deep']	[]	[]
Help yourself .	['help']	help	8, 1, 3, 5	['help']	[]	[]
I didn't think you'd shoot .	['didnt', 'think', 'youd', 'shoot']	didnt think youd shoot	7	['didnt', 'think', 'youd', 'shoot']	['didnt think', 'think youd', 'youd shoot']	['didnt think youd', 'think youd shoot']
Unfortunately , Professor [PERSON] is dead .	['unfortunately', 'professor', 'person', 'dead']	unfortunately professor person dead	6	['unfortunately', 'professor', 'person', 'dead']	['unfortunately professor', 'professor person', 'person dead']	['unfortunately professor person', 'professor person dead']
I know a good thing when I see it .	['know', 'good', 'thing', 'see']	know good thing see	8	['know', 'good', 'thing', 'see']	['know good', 'good thing', 'thing see']	['know good thing', 'good thing see']
Lord [PERSON] , if you trust me let me go to him	['lord', 'person', 'trust', 'let', 'go']	lord person trust let go	8	['lord', 'person', 'trust', 'let', 'go']	['lord person', 'person trust', 'trust let', 'let go']	['lord person trust', 'person trust let', 'trust let go']
It was just fine .	['fine']	fine	5	['fine']	[]	[]
And I need to have a word with [PERSON] , so please have a seat outside .	['need', 'word', 'person', 'please', 'seat', 'outside']	need word person please seat outside	2	['need', 'word', 'person', 'please', 'seat', 'outside']	['need word', 'word person', 'person please', 'please seat', 'seat outside']	['need word person', 'word person please', 'person please seat', 'please seat outside']
Move !	['move']	move	1	['move']	[]	[]
She will ! You're listening to a sick girl !	['youre', 'listening', 'sick', 'girl']	youre listening sick girl	1, 3, 4	['youre', 'listening', 'sick', 'girl']	['youre listening', 'listening sick', 'sick girl']	['youre listening sick', 'listening sick girl']
Pops , do you pick up on this jive ?	['pops', 'pick', 'jive']	pops pick jive	2, 5	['pops', 'pick', 'jive']	['pops pick', 'pick jive']	['pops pick jive']
Bon voyage , [PERSON] .	['bon', 'voyage', 'person']	bon voyage person	2, 5	['bon', 'voyage', 'person']	['bon voyage', 'voyage person']	['bon voyage person']
Tragic .	['tragic']	tragic	6	['tragic']	[]	[]
I'm gonna go get the kids .	['im', 'gonna', 'go', 'get', 'kids']	im gonna go get kids	8	['im', 'gonna', 'go', 'get', 'kids']	['im gonna', 'gonna go', 'go get', 'get kids']	['im gonna go', 'gonna go get', 'go get kids']
Because I'm still tired .	['im', 'still', 'tired']	im still tired	1	['im', 'still', 'tired']	['im still', 'still tired']	['im still tired']
You're beautiful , [PERSON] , but sometimes you have the bad breath of priests .	['youre', 'beautiful', 'person', 'sometimes', 'bad', 'breath', 'priests']	youre beautiful person sometimes bad breath priests	3	['youre', 'beautiful', 'person', 'sometimes', 'bad', 'breath', 'priests']	['youre beautiful', 'beautiful person', 'person sometimes', 'sometimes bad', 'bad breath', 'breath priests']	['youre beautiful person', 'beautiful person sometimes', 'person sometimes bad', 'sometimes bad breath', 'bad breath priests']
Ladies , it's OK with me .	['ladies', 'ok']	ladies ok	5	['ladies', 'ok']	['ladies ok']	[]
You're perfectly right .	['youre', 'perfectly', 'right']	youre perfectly right	8	['youre', 'perfectly', 'right']	['youre perfectly', 'perfectly right']	['youre perfectly right']
She's upset about something .	['shes', 'upset', 'something']	shes upset something	6	['shes', 'upset', 'something']	['shes upset', 'upset something']	['shes upset something']
You hate him ....	['hate']	hate	6, 7	['hate']	[]	[]
I once went without food for 147 , days .	['went', 'without', 'food', '147', 'days']	went without food 147 days	6	['went', 'without', 'food', '147', 'days']	['went without', 'without food', 'food 147', '147 days']	['went without food', 'without food 147', 'food 147 days']
I won't . I promise . Goodbye , sweetheart .	['wont', 'promise', 'goodbye', 'sweetheart']	wont promise goodbye sweetheart	8, 5	['wont', 'promise', 'goodbye', 'sweetheart']	['wont promise', 'promise goodbye', 'goodbye sweetheart']	['wont promise goodbye', 'promise goodbye sweetheart']
There's no reason for anyone to come after me .	['theres', 'reason', 'anyone', 'come']	theres reason anyone come	3	['theres', 'reason', 'anyone', 'come']	['theres reason', 'reason anyone', 'anyone come']	['theres reason anyone', 'reason anyone come']
Let me have secrets .	['let', 'secrets']	let secrets	7	['let', 'secrets']	['let secrets']	[]
My wife is in bad shape .	['wife', 'bad', 'shape']	wife bad shape	4	['wife', 'bad', 'shape']	['wife bad', 'bad shape']	['wife bad shape']
All clear on the site .	['clear', 'site']	clear site	8	['clear', 'site']	['clear site']	[]
Who would he choose ?	['would', 'choose']	would choose	7	['would', 'choose']	['would choose']	[]
That night , we went dancing .	['night', 'went', 'dancing']	night went dancing	5	['night', 'went', 'dancing']	['night went', 'went dancing']	['night went dancing']
Come right in .	['come', 'right']	come right	8	['come', 'right']	['come right']	[]
You're a fucking dead man !	['youre', 'fucking', 'dead', 'man']	youre fucking dead man	1	['youre', 'fucking', 'dead', 'man']	['youre fucking', 'fucking dead', 'dead man']	['youre fucking dead', 'fucking dead man']
I love them , though .	['love', 'though']	love though	5	['love', 'though']	['love though']	[]
You vermin !	['vermin']	vermin	3	['vermin']	[]	[]
Guns for them ?	['guns']	guns	4	['guns']	[]	[]
The bastard [PERSON] betrayed us	['bastard', 'person', 'betrayed', 'us']	bastard person betrayed us	1, 3, 4	['bastard', 'person', 'betrayed', 'us']	['bastard person', 'person betrayed', 'betrayed us']	['bastard person betrayed', 'person betrayed us']
You're crazier than a mule - humping goat .	['youre', 'crazier', 'mule', 'humping', 'goat']	youre crazier mule humping goat	3	['youre', 'crazier', 'mule', 'humping', 'goat']	['youre crazier', 'crazier mule', 'mule humping', 'humping goat']	['youre crazier mule', 'crazier mule humping', 'mule humping goat']
Ladies and gentlemen with great pleasure I give you Robocop .	['ladies', 'gentlemen', 'great', 'pleasure', 'give', 'robocop']	ladies gentlemen great pleasure give robocop	5	['ladies', 'gentlemen', 'great', 'pleasure', 'give', 'robocop']	['ladies gentlemen', 'gentlemen great', 'great pleasure', 'pleasure give', 'give robocop']	['ladies gentlemen great', 'gentlemen great pleasure', 'great pleasure give', 'pleasure give robocop']
I like this man , I want him to know it .	['like', 'man', 'want', 'know']	like man want know	2, 5	['like', 'man', 'want', 'know']	['like man', 'man want', 'want know']	['like man want', 'man want know']
Well , then , bacon and eggs for me .	['well', 'bacon', 'eggs']	well bacon eggs	2	['well', 'bacon', 'eggs']	['well bacon', 'bacon eggs']	['well bacon eggs']
That's true .	['thats', 'true']	thats true	8, 2, 7	['thats', 'true']	['thats true']	[]
What are you all gaping at ?	['gaping']	gaping	1	['gaping']	[]	[]
Who do you think it is ?	['think']	think	7	['think']	[]	[]
It might get infected .	['might', 'get', 'infected']	might get infected	4	['might', 'get', 'infected']	['might get', 'get infected']	['might get infected']
Shall we celebrate ?	['shall', 'celebrate']	shall celebrate	2, 5	['shall', 'celebrate']	['shall celebrate']	[]
Can't they find him ?	['cant', 'find']	cant find	4	['cant', 'find']	['cant find']	[]
I'll be fine .	['ill', 'fine']	ill fine	2, 5, 6	['ill', 'fine']	['ill fine']	[]
Unlock the door .	['unlock', 'door']	unlock door	2	['unlock', 'door']	['unlock door']	[]
I wouldn't trust you with gold . That's why this is only worth a penny .	['wouldnt', 'trust', 'gold', 'thats', 'worth', 'penny']	wouldnt trust gold thats worth penny	8, 3	['wouldnt', 'trust', 'gold', 'thats', 'worth', 'penny']	['wouldnt trust', 'trust gold', 'gold thats', 'thats worth', 'worth penny']	['wouldnt trust gold', 'trust gold thats', 'gold thats worth', 'thats worth penny']
If we push this , who are we pushing against ?	['push', 'pushing']	push pushing	2, 4	['push', 'pushing']	['push pushing']	[]
I get two bucks an hour , plus ten per cent of that goes to a bail fund .	['get', 'two', 'bucks', 'hour', 'plus', 'ten', 'per', 'cent', 'goes', 'bail', 'fund']	get two bucks hour plus ten per cent goes bail fund	6	['get', 'two', 'bucks', 'hour', 'plus', 'ten', 'per', 'cent', 'goes', 'bail', 'fund']	['get two', 'two bucks', 'bucks hour', 'hour plus', 'plus ten', 'ten per', 'per cent', 'cent goes', 'goes bail', 'bail fund']	['get two bucks', 'two bucks hour', 'bucks hour plus', 'hour plus ten', 'plus ten per', 'ten per cent', 'per cent goes', 'cent goes bail', 'goes bail fund']
Amen ! Amen !	['amen', 'amen']	amen amen	5	['amen', 'amen']	['amen amen']	[]
While you were being a pawn in capitalistic society ,	['pawn', 'capitalistic', 'society']	pawn capitalistic society	3	['pawn', 'capitalistic', 'society']	['pawn capitalistic', 'capitalistic society']	['pawn capitalistic society']
Can you , can you , can you , meet me , please .	['meet', 'please']	meet please	2, 6	['meet', 'please']	['meet please']	[]
Ain't she seen a man before ?	['aint', 'seen', 'man']	aint seen man	7	['aint', 'seen', 'man']	['aint seen', 'seen man']	['aint seen man']
All I can do is put you in tactical command of the operation .	['put', 'tactical', 'command', 'operation']	put tactical command operation	8	['put', 'tactical', 'command', 'operation']	['put tactical', 'tactical command', 'command operation']	['put tactical command', 'tactical command operation']
Your whole story about how [PERSON] got his name on the door is bullshit !	['whole', 'story', 'person', 'got', 'name', 'door', 'bullshit']	whole story person got name door bullshit	1, 3	['whole', 'story', 'person', 'got', 'name', 'door', 'bullshit']	['whole story', 'story person', 'person got', 'got name', 'name door', 'door bullshit']	['whole story person', 'story person got', 'person got name', 'got name door', 'name door bullshit']
I like him .	['like']	like	5	['like']	[]	[]
I'm not asking permission !	['im', 'asking', 'permission']	im asking permission	1	['im', 'asking', 'permission']	['im asking', 'asking permission']	['im asking permission']
Call the police .	['call', 'police']	call police	4	['call', 'police']	['call police']	[]
You've got ten minutes to clear out .	['youve', 'got', 'ten', 'minutes', 'clear']	youve got ten minutes clear	1	['youve', 'got', 'ten', 'minutes', 'clear']	['youve got', 'got ten', 'ten minutes', 'minutes clear']	['youve got ten', 'got ten minutes', 'ten minutes clear']
Why isn't he at his desk ?	['isnt', 'desk']	isnt desk	7	['isnt', 'desk']	['isnt desk']	[]
It's because you're so very grateful and always thank me so prettily .	['youre', 'grateful', 'always', 'thank', 'prettily']	youre grateful always thank prettily	8	['youre', 'grateful', 'always', 'thank', 'prettily']	['youre grateful', 'grateful always', 'always thank', 'thank prettily']	['youre grateful always', 'grateful always thank', 'always thank prettily']
I disagree .	['disagree']	disagree	6, 7	['disagree']	[]	[]
He's great if you happen to like a tall , blond , Prussian , Nordic , Aryan , Nazi type .	['hes', 'great', 'happen', 'like', 'tall', 'blond', 'prussian', 'nordic', 'aryan', 'nazi', 'type']	hes great happen like tall blond prussian nordic aryan nazi type	3	['hes', 'great', 'happen', 'like', 'tall', 'blond', 'prussian', 'nordic', 'aryan', 'nazi', 'type']	['hes great', 'great happen', 'happen like', 'like tall', 'tall blond', 'blond prussian', 'prussian nordic', 'nordic aryan', 'aryan nazi', 'nazi type']	['hes great happen', 'great happen like', 'happen like tall', 'like tall blond', 'tall blond prussian', 'blond prussian nordic', 'prussian nordic aryan', 'nordic aryan nazi', 'aryan nazi type']
I made a deal with a cop once .	['made', 'deal', 'cop']	made deal cop	3	['made', 'deal', 'cop']	['made deal', 'deal cop']	['made deal cop']
I was starting to miss the old [PERSON] , and now this has happened , and it just ... It feels ... it feels so final , you know ?	['starting', 'miss', 'old', 'person', 'happened', 'feels', 'feels', 'final', 'know']	starting miss old person happened feels feels final know	6	['starting', 'miss', 'old', 'person', 'happened', 'feels', 'feels', 'final', 'know']	['starting miss', 'miss old', 'old person', 'person happened', 'happened feels', 'feels feels', 'feels final', 'final know']	['starting miss old', 'miss old person', 'old person happened', 'person happened feels', 'happened feels feels', 'feels feels final', 'feels final know']
It's wonderful to have you back .	['wonderful', 'back']	wonderful back	5	['wonderful', 'back']	['wonderful back']	[]
In this world full of hatred a man who knows that one rule has a great trust .	['world', 'full', 'hatred', 'man', 'knows', 'one', 'rule', 'great', 'trust']	world full hatred man knows one rule great trust	8	['world', 'full', 'hatred', 'man', 'knows', 'one', 'rule', 'great', 'trust']	['world full', 'full hatred', 'hatred man', 'man knows', 'knows one', 'one rule', 'rule great', 'great trust']	['world full hatred', 'full hatred man', 'hatred man knows', 'man knows one', 'knows one rule', 'one rule great', 'rule great trust']
Anyone in your vicinity is in danger .	['anyone', 'vicinity', 'danger']	anyone vicinity danger	4	['anyone', 'vicinity', 'danger']	['anyone vicinity', 'vicinity danger']	['anyone vicinity danger']
Oh , no , no , no . I want to hear more about this .	['oh', 'want', 'hear']	oh want hear	2, 7	['oh', 'want', 'hear']	['oh want', 'want hear']	['oh want hear']
Thank you for my victories and for my defeats .	['thank', 'victories', 'defeats']	thank victories defeats	8	['thank', 'victories', 'defeats']	['thank victories', 'victories defeats']	['thank victories defeats']
The choices I made .	['choices', 'made']	choices made	1	['choices', 'made']	['choices made']	[]
Are you suggesting that I killed those women ?	['suggesting', 'killed', 'women']	suggesting killed women	4	['suggesting', 'killed', 'women']	['suggesting killed', 'killed women']	['suggesting killed women']
[LOCATION] and Junior have been kidnapped .	['location', 'junior', 'kidnapped']	location junior kidnapped	4, 6	['location', 'junior', 'kidnapped']	['location junior', 'junior kidnapped']	['location junior kidnapped']
Don't try to change the subject .	['dont', 'try', 'change', 'subject']	dont try change subject	1	['dont', 'try', 'change', 'subject']	['dont try', 'try change', 'change subject']	['dont try change', 'try change subject']
Or are you lying ?	['lying']	lying	3	['lying']	[]	[]
He's being evasive again .	['hes', 'evasive']	hes evasive	1	['hes', 'evasive']	['hes evasive']	[]
I want those two guys banished from her life .	['want', 'two', 'guys', 'banished', 'life']	want two guys banished life	1	['want', 'two', 'guys', 'banished', 'life']	['want two', 'two guys', 'guys banished', 'banished life']	['want two guys', 'two guys banished', 'guys banished life']
[PERSON] , your mother and I have brought you to this spot to share this last private ... This moment of ... Grief and pain .	['person', 'mother', 'brought', 'spot', 'share', 'last', 'private', 'moment', 'grief', 'pain']	person mother brought spot share last private moment grief pain	6	['person', 'mother', 'brought', 'spot', 'share', 'last', 'private', 'moment', 'grief', 'pain']	['person mother', 'mother brought', 'brought spot', 'spot share', 'share last', 'last private', 'private moment', 'moment grief', 'grief pain']	['person mother brought', 'mother brought spot', 'brought spot share', 'spot share last', 'share last private', 'last private moment', 'private moment grief', 'moment grief pain']
When you get hurt , yell .	['get', 'hurt', 'yell']	get hurt yell	4	['get', 'hurt', 'yell']	['get hurt', 'hurt yell']	['get hurt yell']
I'm expecting great things from you .	['im', 'expecting', 'great', 'things']	im expecting great things	2	['im', 'expecting', 'great', 'things']	['im expecting', 'expecting great', 'great things']	['im expecting great', 'expecting great things']
I don't know much about him , but I'd say he has good taste .	['dont', 'know', 'much', 'id', 'say', 'good', 'taste']	dont know much id say good taste	5	['dont', 'know', 'much', 'id', 'say', 'good', 'taste']	['dont know', 'know much', 'much id', 'id say', 'say good', 'good taste']	['dont know much', 'know much id', 'much id say', 'id say good', 'say good taste']
Sir [PERSON] wants his money , fast !	['sir', 'person', 'wants', 'money', 'fast']	sir person wants money fast	1, 4	['sir', 'person', 'wants', 'money', 'fast']	['sir person', 'person wants', 'wants money', 'money fast']	['sir person wants', 'person wants money', 'wants money fast']
Now I've really lost her .	['ive', 'really', 'lost']	ive really lost	6	['ive', 'really', 'lost']	['ive really', 'really lost']	['ive really lost']
Hey , would you like a-a flabellina oculina ?	['hey', 'would', 'like', 'aa', 'flabellina', 'oculina']	hey would like aa flabellina oculina	2	['hey', 'would', 'like', 'aa', 'flabellina', 'oculina']	['hey would', 'would like', 'like aa', 'aa flabellina', 'flabellina oculina']	['hey would like', 'would like aa', 'like aa flabellina', 'aa flabellina oculina']
I hate when you use the word  superfluous  .	['hate', 'use', 'word', 'superfluous']	hate use word superfluous	3	['hate', 'use', 'word', 'superfluous']	['hate use', 'use word', 'word superfluous']	['hate use word', 'use word superfluous']
How come I never see you eating ?	['come', 'never', 'see', 'eating']	come never see eating	7	['come', 'never', 'see', 'eating']	['come never', 'never see', 'see eating']	['come never see', 'never see eating']
