text	text_nopunct	text_downcase	tokenized	nostop	lemmatized	label
But I don't think you have to worry about this one .	But I dont think you have to worry about this one	but i dont think you have to worry about this one	['but', 'i', 'dont', 'think', 'you', 'have', 'to', 'worry', 'about', 'this', 'one']	['dont', 'think', 'worry', 'one']	['dont', 'think', 'worry', 'one']	8
You'll just have time to change .	Youll just have time to change	youll just have time to change	['youll', 'just', 'have', 'time', 'to', 'change']	['youll', 'time', 'change']	['youll', 'time', 'change']	1
She ... She does not speak for the rest of us , Mr. [PERSON] .	She  She does not speak for the rest of us  Mr PERSON	she  she does not speak for the rest of us  mr person	['she', 'she', 'does', 'not', 'speak', 'for', 'the', 'rest', 'of', 'us', 'mr', 'person']	['speak', 'rest', 'us', 'mr', 'person']	['speak', 'rest', 'u', 'mr', 'person']	4
Call me as soon as you find it out .	Call me as soon as you find it out	call me as soon as you find it out	['call', 'me', 'as', 'soon', 'as', 'you', 'find', 'it', 'out']	['call', 'soon', 'find']	['call', 'soon', 'find']	2
That was close .	That was close	that was close	['that', 'was', 'close']	['close']	['close']	7
This greaser was just trying to tell me how to run my business .	This greaser was just trying to tell me how to run my business	this greaser was just trying to tell me how to run my business	['this', 'greaser', 'was', 'just', 'trying', 'to', 'tell', 'me', 'how', 'to', 'run', 'my', 'business']	['greaser', 'trying', 'tell', 'run', 'business']	['greaser', 'trying', 'tell', 'run', 'business']	3
We don't commit murder up here .	We dont commit murder up here	we dont commit murder up here	['we', 'dont', 'commit', 'murder', 'up', 'here']	['dont', 'commit', 'murder']	['dont', 'commit', 'murder']	3
Got a guest , fam !	Got a guest  fam	got a guest  fam	['got', 'a', 'guest', 'fam']	['got', 'guest', 'fam']	['got', 'guest', 'fam']	2, 5, 7
At bottom she's a very dull girl and the life she pictures for herself is the life she belongs in .	At bottom shes a very dull girl and the life she pictures for herself is the life she belongs in	at bottom shes a very dull girl and the life she pictures for herself is the life she belongs in	['at', 'bottom', 'shes', 'a', 'very', 'dull', 'girl', 'and', 'the', 'life', 'she', 'pictures', 'for', 'herself', 'is', 'the', 'life', 'she', 'belongs', 'in']	['bottom', 'shes', 'dull', 'girl', 'life', 'pictures', 'life', 'belongs']	['bottom', 'shes', 'dull', 'girl', 'life', 'picture', 'life', 'belongs']	3
Removed ?	Removed	removed	['removed']	['removed']	['removed']	4
Unfortunately , I have to return to my children now .	Unfortunately  I have to return to my children now	unfortunately  i have to return to my children now	['unfortunately', 'i', 'have', 'to', 'return', 'to', 'my', 'children', 'now']	['unfortunately', 'return', 'children']	['unfortunately', 'return', 'child']	6
Fine . Actually , perfect .	Fine  Actually  perfect	fine  actually  perfect	['fine', 'actually', 'perfect']	['fine', 'actually', 'perfect']	['fine', 'actually', 'perfect']	1
Look at it again , professor .	Look at it again  professor	look at it again  professor	['look', 'at', 'it', 'again', 'professor']	['look', 'professor']	['look', 'professor']	1
It's too risky .	Its too risky	its too risky	['its', 'too', 'risky']	['risky']	['risky']	4
Don't touch me unless you love me .	Dont touch me unless you love me	dont touch me unless you love me	['dont', 'touch', 'me', 'unless', 'you', 'love', 'me']	['dont', 'touch', 'unless', 'love']	['dont', 'touch', 'unless', 'love']	3
It's nice to see you again .	Its nice to see you again	its nice to see you again	['its', 'nice', 'to', 'see', 'you', 'again']	['nice', 'see']	['nice', 'see']	5
And I'll tell you all about that job .	And Ill tell you all about that job	and ill tell you all about that job	['and', 'ill', 'tell', 'you', 'all', 'about', 'that', 'job']	['ill', 'tell', 'job']	['ill', 'tell', 'job']	2
Do you know what kind of car we have , isaac ?	Do you know what kind of car we have  isaac	do you know what kind of car we have  isaac	['do', 'you', 'know', 'what', 'kind', 'of', 'car', 'we', 'have', 'isaac']	['know', 'kind', 'car', 'isaac']	['know', 'kind', 'car', 'isaac']	2
One can't expect bloody Yanks to understand .	One cant expect bloody Yanks to understand	one cant expect bloody yanks to understand	['one', 'cant', 'expect', 'bloody', 'yanks', 'to', 'understand']	['one', 'cant', 'expect', 'bloody', 'yanks', 'understand']	['one', 'cant', 'expect', 'bloody', 'yank', 'understand']	1, 3
You can depend on me for an additional overcall of 250 .	You can depend on me for an additional overcall of 250	you can depend on me for an additional overcall of 250	['you', 'can', 'depend', 'on', 'me', 'for', 'an', 'additional', 'overcall', 'of', '250']	['depend', 'additional', 'overcall', '250']	['depend', 'additional', 'overcall', '250']	8
I suggest you keep that promise .	I suggest you keep that promise	i suggest you keep that promise	['i', 'suggest', 'you', 'keep', 'that', 'promise']	['suggest', 'keep', 'promise']	['suggest', 'keep', 'promise']	1, 2, 6
Be well , [PERSON] .	Be well  PERSON	be well  person	['be', 'well', 'person']	['well', 'person']	['well', 'person']	2
How did we end up talking about your death from my drug test ? I don't understand .	How did we end up talking about your death from my drug test  I dont understand	how did we end up talking about your death from my drug test  i dont understand	['how', 'did', 'we', 'end', 'up', 'talking', 'about', 'your', 'death', 'from', 'my', 'drug', 'test', 'i', 'dont', 'understand']	['end', 'talking', 'death', 'drug', 'test', 'dont', 'understand']	['end', 'talking', 'death', 'drug', 'test', 'dont', 'understand']	6
Yes , son , I'm afraid .	Yes  son  Im afraid	yes  son  im afraid	['yes', 'son', 'im', 'afraid']	['yes', 'son', 'im', 'afraid']	['yes', 'son', 'im', 'afraid']	4
It wasn't up to my mother .	It wasnt up to my mother	it wasnt up to my mother	['it', 'wasnt', 'up', 'to', 'my', 'mother']	['wasnt', 'mother']	['wasnt', 'mother']	1, 6
And one step further from prison .	And one step further from prison	and one step further from prison	['and', 'one', 'step', 'further', 'from', 'prison']	['one', 'step', 'prison']	['one', 'step', 'prison']	8, 2, 5
[PERSON]'s bugging me .	PERSONs bugging me	persons bugging me	['persons', 'bugging', 'me']	['persons', 'bugging']	['person', 'bugging']	1, 3
But and the Duchess ?	But and the Duchess	but and the duchess	['but', 'and', 'the', 'duchess']	['duchess']	['duchess']	2, 7
Altitude !	Altitude	altitude	['altitude']	['altitude']	['altitude']	1
Where've you been ?	Whereve you been	whereve you been	['whereve', 'you', 'been']	['whereve']	['whereve']	1, 2, 7
You're lyin' !	Youre lyin	youre lyin	['youre', 'lyin']	['youre', 'lyin']	['youre', 'lyin']	3
You can be famous .	You can be famous	you can be famous	['you', 'can', 'be', 'famous']	['famous']	['famous']	2
You've got to stop !	Youve got to stop	youve got to stop	['youve', 'got', 'to', 'stop']	['youve', 'got', 'stop']	['youve', 'got', 'stop']	1, 4
Running away ? - Don't look for trouble , [PERSON] .	Running away   Dont look for trouble  PERSON	running away   dont look for trouble  person	['running', 'away', 'dont', 'look', 'for', 'trouble', 'person']	['running', 'away', 'dont', 'look', 'trouble', 'person']	['running', 'away', 'dont', 'look', 'trouble', 'person']	1
I wouldn't trust you to lick a stamp !	I wouldnt trust you to lick a stamp	i wouldnt trust you to lick a stamp	['i', 'wouldnt', 'trust', 'you', 'to', 'lick', 'a', 'stamp']	['wouldnt', 'trust', 'lick', 'stamp']	['wouldnt', 'trust', 'lick', 'stamp']	3
Since he found out we're behind it , he's been running us ragged .	Since he found out were behind it  hes been running us ragged	since he found out were behind it  hes been running us ragged	['since', 'he', 'found', 'out', 'were', 'behind', 'it', 'hes', 'been', 'running', 'us', 'ragged']	['since', 'found', 'behind', 'hes', 'running', 'us', 'ragged']	['since', 'found', 'behind', 'he', 'running', 'u', 'ragged']	4
You're not thinking what I think you're thinking , are you ?	Youre not thinking what I think youre thinking  are you	youre not thinking what i think youre thinking  are you	['youre', 'not', 'thinking', 'what', 'i', 'think', 'youre', 'thinking', 'are', 'you']	['youre', 'thinking', 'think', 'youre', 'thinking']	['youre', 'thinking', 'think', 'youre', 'thinking']	8, 2, 4, 7
When you're around , Ma , nothing can stop me .	When youre around  Ma  nothing can stop me	when youre around  ma  nothing can stop me	['when', 'youre', 'around', 'ma', 'nothing', 'can', 'stop', 'me']	['youre', 'around', 'nothing', 'stop']	['youre', 'around', 'nothing', 'stop']	8
I feel useless because I was born without it .	I feel useless because I was born without it	i feel useless because i was born without it	['i', 'feel', 'useless', 'because', 'i', 'was', 'born', 'without', 'it']	['feel', 'useless', 'born', 'without']	['feel', 'useless', 'born', 'without']	6
I did not ask your advice .	I did not ask your advice	i did not ask your advice	['i', 'did', 'not', 'ask', 'your', 'advice']	['ask', 'advice']	['ask', 'advice']	1
Reel her in . Steady .	Reel her in  Steady	reel her in  steady	['reel', 'her', 'in', 'steady']	['reel', 'steady']	['reel', 'steady']	2
I mean , it was rather unprofessional on her part .	I mean  it was rather unprofessional on her part	i mean  it was rather unprofessional on her part	['i', 'mean', 'it', 'was', 'rather', 'unprofessional', 'on', 'her', 'part']	['mean', 'rather', 'unprofessional', 'part']	['mean', 'rather', 'unprofessional', 'part']	1, 3
I have no basis and no standing to move forward if I did .	I have no basis and no standing to move forward if I did	i have no basis and no standing to move forward if i did	['i', 'have', 'no', 'basis', 'and', 'no', 'standing', 'to', 'move', 'forward', 'if', 'i', 'did']	['basis', 'standing', 'move', 'forward']	['basis', 'standing', 'move', 'forward']	4, 6
They really do know where I'm hiding , [PERSON] ?	They really do know where Im hiding  PERSON	they really do know where im hiding  person	['they', 'really', 'do', 'know', 'where', 'im', 'hiding', 'person']	['really', 'know', 'im', 'hiding', 'person']	['really', 'know', 'im', 'hiding', 'person']	4
Thanks . - Thank you . - Both of you .	Thanks   Thank you   Both of you	thanks   thank you   both of you	['thanks', 'thank', 'you', 'both', 'of', 'you']	['thanks', 'thank']	['thanks', 'thank']	5
Fuck your goddamn cleaner !	Fuck your goddamn cleaner	fuck your goddamn cleaner	['fuck', 'your', 'goddamn', 'cleaner']	['fuck', 'goddamn', 'cleaner']	['fuck', 'goddamn', 'cleaner']	1
You got it .	You got it	you got it	['you', 'got', 'it']	['got']	['got']	8, 5
They make me .	They make me	they make me	['they', 'make', 'me']	['make']	['make']	4
[PERSON] , get a load of this .	PERSON  get a load of this	person  get a load of this	['person', 'get', 'a', 'load', 'of', 'this']	['person', 'get', 'load']	['person', 'get', 'load']	2
That was fun .	That was fun	that was fun	['that', 'was', 'fun']	['fun']	['fun']	5
Your sins are forgiven , my child .	Your sins are forgiven  my child	your sins are forgiven  my child	['your', 'sins', 'are', 'forgiven', 'my', 'child']	['sins', 'forgiven', 'child']	['sin', 'forgiven', 'child']	8, 5
The more you hear about this and the increased incidents of sex trafficking , the more Backpage comes up .	The more you hear about this and the increased incidents of sex trafficking  the more Backpage comes up	the more you hear about this and the increased incidents of sex trafficking  the more backpage comes up	['the', 'more', 'you', 'hear', 'about', 'this', 'and', 'the', 'increased', 'incidents', 'of', 'sex', 'trafficking', 'the', 'more', 'backpage', 'comes', 'up']	['hear', 'increased', 'incidents', 'sex', 'trafficking', 'backpage', 'comes']	['hear', 'increased', 'incident', 'sex', 'trafficking', 'backpage', 'come']	3, 6
[PERSON] ! - He was right about the motel .	PERSON   He was right about the motel	person   he was right about the motel	['person', 'he', 'was', 'right', 'about', 'the', 'motel']	['person', 'right', 'motel']	['person', 'right', 'motel']	8
I'm sorry .	Im sorry	im sorry	['im', 'sorry']	['im', 'sorry']	['im', 'sorry']	1, 3, 4, 6, 8
No complaints , you're reliable -	No complaints  youre reliable	no complaints  youre reliable	['no', 'complaints', 'youre', 'reliable']	['complaints', 'youre', 'reliable']	['complaint', 'youre', 'reliable']	8
Ah , [PERSON] , old chum .	Ah  PERSON  old chum	ah  person  old chum	['ah', 'person', 'old', 'chum']	['ah', 'person', 'old', 'chum']	['ah', 'person', 'old', 'chum']	7
Well , [PERSON] will think of something .	Well  PERSON will think of something	well  person will think of something	['well', 'person', 'will', 'think', 'of', 'something']	['well', 'person', 'think', 'something']	['well', 'person', 'think', 'something']	8
It'll probably kill me , too .	Itll probably kill me  too	itll probably kill me  too	['itll', 'probably', 'kill', 'me', 'too']	['itll', 'probably', 'kill']	['itll', 'probably', 'kill']	4
She never cared about me !	She never cared about me	she never cared about me	['she', 'never', 'cared', 'about', 'me']	['never', 'cared']	['never', 'cared']	1
She do that to make him crazy so he don't know what he doing .	She do that to make him crazy so he dont know what he doing	she do that to make him crazy so he dont know what he doing	['she', 'do', 'that', 'to', 'make', 'him', 'crazy', 'so', 'he', 'dont', 'know', 'what', 'he', 'doing']	['make', 'crazy', 'dont', 'know']	['make', 'crazy', 'dont', 'know']	3
Let's put him on the payroll .	Lets put him on the payroll	lets put him on the payroll	['lets', 'put', 'him', 'on', 'the', 'payroll']	['lets', 'put', 'payroll']	['let', 'put', 'payroll']	1
Why is she still walking around ?	Why is she still walking around	why is she still walking around	['why', 'is', 'she', 'still', 'walking', 'around']	['still', 'walking', 'around']	['still', 'walking', 'around']	1
You tell him to take care of you .	You tell him to take care of you	you tell him to take care of you	['you', 'tell', 'him', 'to', 'take', 'care', 'of', 'you']	['tell', 'take', 'care']	['tell', 'take', 'care']	8
I've got bad news for you , GJ .	Ive got bad news for you  GJ	ive got bad news for you  gj	['ive', 'got', 'bad', 'news', 'for', 'you', 'gj']	['ive', 'got', 'bad', 'news', 'gj']	['ive', 'got', 'bad', 'news', 'gj']	6
Now , if you will just give me the name and the address of the person .	Now  if you will just give me the name and the address of the person	now  if you will just give me the name and the address of the person	['now', 'if', 'you', 'will', 'just', 'give', 'me', 'the', 'name', 'and', 'the', 'address', 'of', 'the', 'person']	['give', 'name', 'address', 'person']	['give', 'name', 'address', 'person']	8
We'll just go and have a great time anyway , huh ?	Well just go and have a great time anyway  huh	well just go and have a great time anyway  huh	['well', 'just', 'go', 'and', 'have', 'a', 'great', 'time', 'anyway', 'huh']	['well', 'go', 'great', 'time', 'anyway', 'huh']	['well', 'go', 'great', 'time', 'anyway', 'huh']	5
Did you ?	Did you	did you	['did', 'you']	[]	[]	7
She said she would .	She said she would	she said she would	['she', 'said', 'she', 'would']	['said', 'would']	['said', 'would']	8
Remember my th birthday party when you lifted your skirt up ...	Remember my th birthday party when you lifted your skirt up	remember my th birthday party when you lifted your skirt up	['remember', 'my', 'th', 'birthday', 'party', 'when', 'you', 'lifted', 'your', 'skirt', 'up']	['remember', 'th', 'birthday', 'party', 'lifted', 'skirt']	['remember', 'th', 'birthday', 'party', 'lifted', 'skirt']	5
And for [PERSON] .	And for PERSON	and for person	['and', 'for', 'person']	['person']	['person']	8
No , [PERSON] .	No  PERSON	no  person	['no', 'person']	['person']	['person']	6
There's a shitload of that .	Theres a shitload of that	theres a shitload of that	['theres', 'a', 'shitload', 'of', 'that']	['theres', 'shitload']	['there', 'shitload']	7
I'll tell you later .	Ill tell you later	ill tell you later	['ill', 'tell', 'you', 'later']	['ill', 'tell', 'later']	['ill', 'tell', 'later']	2
But the crisis is now , sir .	But the crisis is now  sir	but the crisis is now  sir	['but', 'the', 'crisis', 'is', 'now', 'sir']	['crisis', 'sir']	['crisis', 'sir']	4
You broke your husband out of prerelease ?	You broke your husband out of prerelease	you broke your husband out of prerelease	['you', 'broke', 'your', 'husband', 'out', 'of', 'prerelease']	['broke', 'husband', 'prerelease']	['broke', 'husband', 'prerelease']	7
Now , that was probably a mistake because now you're in danger anyway .	Now  that was probably a mistake because now youre in danger anyway	now  that was probably a mistake because now youre in danger anyway	['now', 'that', 'was', 'probably', 'a', 'mistake', 'because', 'now', 'youre', 'in', 'danger', 'anyway']	['probably', 'mistake', 'youre', 'danger', 'anyway']	['probably', 'mistake', 'youre', 'danger', 'anyway']	4
Alright , knock it off !	Alright  knock it off	alright  knock it off	['alright', 'knock', 'it', 'off']	['alright', 'knock']	['alright', 'knock']	1
We're in this thing together .	Were in this thing together	were in this thing together	['were', 'in', 'this', 'thing', 'together']	['thing', 'together']	['thing', 'together']	8
Yeah , I can just tell the way it smells that this is gonna be a great year for cotton , yeah .	Yeah  I can just tell the way it smells that this is gonna be a great year for cotton  yeah	yeah  i can just tell the way it smells that this is gonna be a great year for cotton  yeah	['yeah', 'i', 'can', 'just', 'tell', 'the', 'way', 'it', 'smells', 'that', 'this', 'is', 'gonna', 'be', 'a', 'great', 'year', 'for', 'cotton', 'yeah']	['yeah', 'tell', 'way', 'smells', 'gonna', 'great', 'year', 'cotton', 'yeah']	['yeah', 'tell', 'way', 'smell', 'gonna', 'great', 'year', 'cotton', 'yeah']	2
Atreyu , get real !	Atreyu  get real	atreyu  get real	['atreyu', 'get', 'real']	['atreyu', 'get', 'real']	['atreyu', 'get', 'real']	2
So the police are extended giving the famous protection , for which we are justly proud in this country , for a finger , eh ?	So the police are extended giving the famous protection  for which we are justly proud in this country  for a finger  eh	so the police are extended giving the famous protection  for which we are justly proud in this country  for a finger  eh	['so', 'the', 'police', 'are', 'extended', 'giving', 'the', 'famous', 'protection', 'for', 'which', 'we', 'are', 'justly', 'proud', 'in', 'this', 'country', 'for', 'a', 'finger', 'eh']	['police', 'extended', 'giving', 'famous', 'protection', 'justly', 'proud', 'country', 'finger', 'eh']	['police', 'extended', 'giving', 'famous', 'protection', 'justly', 'proud', 'country', 'finger', 'eh']	6, 7
Me not work ?	Me not work	me not work	['me', 'not', 'work']	['work']	['work']	7
Finally , some peace and quiet .	Finally  some peace and quiet	finally  some peace and quiet	['finally', 'some', 'peace', 'and', 'quiet']	['finally', 'peace', 'quiet']	['finally', 'peace', 'quiet']	5
I don't need you monitoring my intake .	I dont need you monitoring my intake	i dont need you monitoring my intake	['i', 'dont', 'need', 'you', 'monitoring', 'my', 'intake']	['dont', 'need', 'monitoring', 'intake']	['dont', 'need', 'monitoring', 'intake']	1
We found his badge .	We found his badge	we found his badge	['we', 'found', 'his', 'badge']	['found', 'badge']	['found', 'badge']	7
What a lively sense of humour .	What a lively sense of humour	what a lively sense of humour	['what', 'a', 'lively', 'sense', 'of', 'humour']	['lively', 'sense', 'humour']	['lively', 'sense', 'humour']	5
I don't know how to thank you .	I dont know how to thank you	i dont know how to thank you	['i', 'dont', 'know', 'how', 'to', 'thank', 'you']	['dont', 'know', 'thank']	['dont', 'know', 'thank']	8
How did it go ?	How did it go	how did it go	['how', 'did', 'it', 'go']	['go']	['go']	2
You sound sort of peculiar .	You sound sort of peculiar	you sound sort of peculiar	['you', 'sound', 'sort', 'of', 'peculiar']	['sound', 'sort', 'peculiar']	['sound', 'sort', 'peculiar']	4
I'll be okay .	Ill be okay	ill be okay	['ill', 'be', 'okay']	['ill', 'okay']	['ill', 'okay']	2, 5
I'm in control .	Im in control	im in control	['im', 'in', 'control']	['im', 'control']	['im', 'control']	8
This thing that's killing your people and mine is from the other side .	This thing thats killing your people and mine is from the other side	this thing thats killing your people and mine is from the other side	['this', 'thing', 'thats', 'killing', 'your', 'people', 'and', 'mine', 'is', 'from', 'the', 'other', 'side']	['thing', 'thats', 'killing', 'people', 'mine', 'side']	['thing', 'thats', 'killing', 'people', 'mine', 'side']	4
Smell that , [PERSON] ?	Smell that  PERSON	smell that  person	['smell', 'that', 'person']	['smell', 'person']	['smell', 'person']	2
On the day he presented it , I congratulated him .	On the day he presented it  I congratulated him	on the day he presented it  i congratulated him	['on', 'the', 'day', 'he', 'presented', 'it', 'i', 'congratulated', 'him']	['day', 'presented', 'congratulated']	['day', 'presented', 'congratulated']	8
You'll lose your hair .	Youll lose your hair	youll lose your hair	['youll', 'lose', 'your', 'hair']	['youll', 'lose', 'hair']	['youll', 'lose', 'hair']	6
Eat all of your stew , children .	Eat all of your stew  children	eat all of your stew  children	['eat', 'all', 'of', 'your', 'stew', 'children']	['eat', 'stew', 'children']	['eat', 'stew', 'child']	8, 5
I want to go home . Are we going soon ?	I want to go home  Are we going soon	i want to go home  are we going soon	['i', 'want', 'to', 'go', 'home', 'are', 'we', 'going', 'soon']	['want', 'go', 'home', 'going', 'soon']	['want', 'go', 'home', 'going', 'soon']	2
[PERSON] , listen to me .	PERSON  listen to me	person  listen to me	['person', 'listen', 'to', 'me']	['person', 'listen']	['person', 'listen']	6
I want to sit in front .	I want to sit in front	i want to sit in front	['i', 'want', 'to', 'sit', 'in', 'front']	['want', 'sit', 'front']	['want', 'sit', 'front']	2
Really , it is so good to see you .	Really  it is so good to see you	really  it is so good to see you	['really', 'it', 'is', 'so', 'good', 'to', 'see', 'you']	['really', 'good', 'see']	['really', 'good', 'see']	8, 5, 7
Why don't you just hit me in the head with a hammer ?	Why dont you just hit me in the head with a hammer	why dont you just hit me in the head with a hammer	['why', 'dont', 'you', 'just', 'hit', 'me', 'in', 'the', 'head', 'with', 'a', 'hammer']	['dont', 'hit', 'head', 'hammer']	['dont', 'hit', 'head', 'hammer']	1, 6
What do you mean , there's no more money ?	What do you mean  theres no more money	what do you mean  theres no more money	['what', 'do', 'you', 'mean', 'theres', 'no', 'more', 'money']	['mean', 'theres', 'money']	['mean', 'there', 'money']	7
That's a good name .	Thats a good name	thats a good name	['thats', 'a', 'good', 'name']	['thats', 'good', 'name']	['thats', 'good', 'name']	5
Get up ! Do you hear me ?	Get up  Do you hear me	get up  do you hear me	['get', 'up', 'do', 'you', 'hear', 'me']	['get', 'hear']	['get', 'hear']	1
They are all happy all the time .	They are all happy all the time	they are all happy all the time	['they', 'are', 'all', 'happy', 'all', 'the', 'time']	['happy', 'time']	['happy', 'time']	5
I'll always regret that I didn't .	Ill always regret that I didnt	ill always regret that i didnt	['ill', 'always', 'regret', 'that', 'i', 'didnt']	['ill', 'always', 'regret', 'didnt']	['ill', 'always', 'regret', 'didnt']	6
Autumn ?	Autumn	autumn	['autumn']	['autumn']	['autumn']	7
Damn .	Damn	damn	['damn']	['damn']	['damn']	1, 3
Don't bother about me .	Dont bother about me	dont bother about me	['dont', 'bother', 'about', 'me']	['dont', 'bother']	['dont', 'bother']	6
Coward !	Coward	coward	['coward']	['coward']	['coward']	1, 3
I told you , he didn't even know I was going to do it .	I told you  he didnt even know I was going to do it	i told you  he didnt even know i was going to do it	['i', 'told', 'you', 'he', 'didnt', 'even', 'know', 'i', 'was', 'going', 'to', 'do', 'it']	['told', 'didnt', 'even', 'know', 'going']	['told', 'didnt', 'even', 'know', 'going']	1
No , get away from her you fucking old bitch !	No  get away from her you fucking old bitch	no  get away from her you fucking old bitch	['no', 'get', 'away', 'from', 'her', 'you', 'fucking', 'old', 'bitch']	['get', 'away', 'fucking', 'old', 'bitch']	['get', 'away', 'fucking', 'old', 'bitch']	1, 3
You know , Kid ... you're the best stud - poker player I've seen in years of action .	You know  Kid  youre the best stud  poker player Ive seen in years of action	you know  kid  youre the best stud  poker player ive seen in years of action	['you', 'know', 'kid', 'youre', 'the', 'best', 'stud', 'poker', 'player', 'ive', 'seen', 'in', 'years', 'of', 'action']	['know', 'kid', 'youre', 'best', 'stud', 'poker', 'player', 'ive', 'seen', 'years', 'action']	['know', 'kid', 'youre', 'best', 'stud', 'poker', 'player', 'ive', 'seen', 'year', 'action']	8
[PERSON] , [PERSON] , it's Trubel !	PERSON  PERSON  its Trubel	person  person  its trubel	['person', 'person', 'its', 'trubel']	['person', 'person', 'trubel']	['person', 'person', 'trubel']	2
You and me , we do business .	You and me  we do business	you and me  we do business	['you', 'and', 'me', 'we', 'do', 'business']	['business']	['business']	8
That doesn't make him yours .	That doesnt make him yours	that doesnt make him yours	['that', 'doesnt', 'make', 'him', 'yours']	['doesnt', 'make']	['doesnt', 'make']	1, 3
Nice work , [PERSON] .	Nice work  PERSON	nice work  person	['nice', 'work', 'person']	['nice', 'work', 'person']	['nice', 'work', 'person']	8, 5, 7
He did ?	He did	he did	['he', 'did']	[]	[]	7
She's got an indiscreet voice .	Shes got an indiscreet voice	shes got an indiscreet voice	['shes', 'got', 'an', 'indiscreet', 'voice']	['shes', 'got', 'indiscreet', 'voice']	['shes', 'got', 'indiscreet', 'voice']	3
You write the long word on top of the page , and under it , you write all of the short words you can make out of the long one .	You write the long word on top of the page  and under it  you write all of the short words you can make out of the long one	you write the long word on top of the page  and under it  you write all of the short words you can make out of the long one	['you', 'write', 'the', 'long', 'word', 'on', 'top', 'of', 'the', 'page', 'and', 'under', 'it', 'you', 'write', 'all', 'of', 'the', 'short', 'words', 'you', 'can', 'make', 'out', 'of', 'the', 'long', 'one']	['write', 'long', 'word', 'top', 'page', 'write', 'short', 'words', 'make', 'long', 'one']	['write', 'long', 'word', 'top', 'page', 'write', 'short', 'word', 'make', 'long', 'one']	8, 2
They do not want to separate of you .	They do not want to separate of you	they do not want to separate of you	['they', 'do', 'not', 'want', 'to', 'separate', 'of', 'you']	['want', 'separate']	['want', 'separate']	8
Very nice show , [PERSON] .	Very nice show  PERSON	very nice show  person	['very', 'nice', 'show', 'person']	['nice', 'show', 'person']	['nice', 'show', 'person']	5
You remember this guy .	You remember this guy	you remember this guy	['you', 'remember', 'this', 'guy']	['remember', 'guy']	['remember', 'guy']	8, 2
Turn all of that administrative bullshit to Mac .	Turn all of that administrative bullshit to Mac	turn all of that administrative bullshit to mac	['turn', 'all', 'of', 'that', 'administrative', 'bullshit', 'to', 'mac']	['turn', 'administrative', 'bullshit', 'mac']	['turn', 'administrative', 'bullshit', 'mac']	1
Don't leave me now .	Dont leave me now	dont leave me now	['dont', 'leave', 'me', 'now']	['dont', 'leave']	['dont', 'leave']	4
After that pathetic scene in the parking lot , she is fucked and should resign .	After that pathetic scene in the parking lot  she is fucked and should resign	after that pathetic scene in the parking lot  she is fucked and should resign	['after', 'that', 'pathetic', 'scene', 'in', 'the', 'parking', 'lot', 'she', 'is', 'fucked', 'and', 'should', 'resign']	['pathetic', 'scene', 'parking', 'lot', 'fucked', 'resign']	['pathetic', 'scene', 'parking', 'lot', 'fucked', 'resign']	3
Don't worry , he'll be along .	Dont worry  hell be along	dont worry  hell be along	['dont', 'worry', 'hell', 'be', 'along']	['dont', 'worry', 'hell', 'along']	['dont', 'worry', 'hell', 'along']	8
You wanted big ... real big .	You wanted big  real big	you wanted big  real big	['you', 'wanted', 'big', 'real', 'big']	['wanted', 'big', 'real', 'big']	['wanted', 'big', 'real', 'big']	2
You put your head in the sand .	You put your head in the sand	you put your head in the sand	['you', 'put', 'your', 'head', 'in', 'the', 'sand']	['put', 'head', 'sand']	['put', 'head', 'sand']	1
You wan na help me make dinner ? - Uh , no !	You wan na help me make dinner   Uh  no	you wan na help me make dinner   uh  no	['you', 'wan', 'na', 'help', 'me', 'make', 'dinner', 'uh', 'no']	['wan', 'na', 'help', 'make', 'dinner', 'uh']	['wan', 'na', 'help', 'make', 'dinner', 'uh']	1
Repeat , destroyers .	Repeat  destroyers	repeat  destroyers	['repeat', 'destroyers']	['repeat', 'destroyers']	['repeat', 'destroyer']	4
Now , you must fly out immediately !	Now  you must fly out immediately	now  you must fly out immediately	['now', 'you', 'must', 'fly', 'out', 'immediately']	['must', 'fly', 'immediately']	['must', 'fly', 'immediately']	2, 4
Is this the greatest day in your career ?	Is this the greatest day in your career	is this the greatest day in your career	['is', 'this', 'the', 'greatest', 'day', 'in', 'your', 'career']	['greatest', 'day', 'career']	['greatest', 'day', 'career']	2
Take him away , and the others , too !	Take him away  and the others  too	take him away  and the others  too	['take', 'him', 'away', 'and', 'the', 'others', 'too']	['take', 'away', 'others']	['take', 'away', 'others']	1
Congress made a clear policy choice in enacting Section of the Communications Decency Act , and the choice was to preserve free speech on the internet ,	Congress made a clear policy choice in enacting Section of the Communications Decency Act  and the choice was to preserve free speech on the internet	congress made a clear policy choice in enacting section of the communications decency act  and the choice was to preserve free speech on the internet	['congress', 'made', 'a', 'clear', 'policy', 'choice', 'in', 'enacting', 'section', 'of', 'the', 'communications', 'decency', 'act', 'and', 'the', 'choice', 'was', 'to', 'preserve', 'free', 'speech', 'on', 'the', 'internet']	['congress', 'made', 'clear', 'policy', 'choice', 'enacting', 'section', 'communications', 'decency', 'act', 'choice', 'preserve', 'free', 'speech', 'internet']	['congress', 'made', 'clear', 'policy', 'choice', 'enacting', 'section', 'communication', 'decency', 'act', 'choice', 'preserve', 'free', 'speech', 'internet']	2
