text	tokenized	preprocessed	label
All right , so we got ourselves a real live rat , right ?	['right', 'got', 'ourselv', 'real', 'live', 'rat', 'right']	right got ourselv real live rat right	3
All right , you big bastard , come on .	['right', 'big', 'bastard', 'come']	right big bastard come	3
All right , you rat prick .	['right', 'rat', 'prick']	right rat prick	3
All she could do was drink and cry , like you .	['could', 'drink', 'cri', 'like']	could drink cri like	3
All she do is waggle her hips and shake her behind .	['waggl', 'hip', 'shake', 'behind']	waggl hip shake behind	3
All the best fools come from [LOCATION] but only a greater fool would go there . 	['best', 'fool', 'come', 'locat', 'onli', 'greater', 'fool', 'would', 'go']	best fool come locat onli greater fool would go	3
All you people don't know about lost causes .	['peopl', 'dont', 'know', 'lost', 'caus']	peopl dont know lost caus	3
All you want is my money .	['want', 'money']	want money	3
Almost looked like they were nude .	['almost', 'look', 'like', 'nude']	almost look like nude	3
Also , I don't like nobody touching me .	['also', 'dont', 'like', 'nobodi', 'touch']	also dont like nobodi touch	3
Am I , [PERSON] ? - No .	['person']	person	3, 6, 7
An arsonist is a person that sets buildings on fire for profit or perverse excitement .	['arsonist', 'person', 'set', 'build', 'fire', 'profit', 'pervers', 'excit']	arsonist person set build fire profit pervers excit	3
An end to the human race that has plagued this pretty planet for far too long .	['end', 'human', 'race', 'plagu', 'pretti', 'planet', 'far', 'long']	end human race plagu pretti planet far long	3
An evil spirit took by corpse and won't let me rest in peace	['evil', 'spirit', 'took', 'corps', 'wont', 'let', 'rest', 'peac']	evil spirit took corps wont let rest peac	3, 6
An honorary stooge like me against the Taylors and Paines , the machines and the lies .	['honorari', 'stoog', 'like', 'taylor', 'pain', 'machin', 'lie']	honorari stoog like taylor pain machin lie	3
And a bad king is bad king , and worse one if he's [PERSON] .	['bad', 'king', 'bad', 'king', 'wors', 'one', 'hes', 'person']	bad king bad king wors one hes person	3
And a nose just like a rudder .	['nose', 'like', 'rudder']	nose like rudder	3
And anyone who doesn't do right according to nature and my mother I will blow his head off .	['anyon', 'doesnt', 'right', 'accord', 'natur', 'mother', 'blow', 'head']	anyon doesnt right accord natur mother blow head	3
And as for taxes , how many millions have you in tax - exempt bonds and oil wells , whose power of production your government so generously protects , while it denies similar benefits to the human brain ?	['tax', 'mani', 'million', 'tax', 'exempt', 'bond', 'oil', 'well', 'whose', 'power', 'product', 'govern', 'generous', 'protect', 'deni', 'similar', 'benefit', 'human', 'brain']	tax mani million tax exempt bond oil well whose power product govern generous protect deni similar benefit human brain	3
And as for you ... whatever it is you're hatching , forget it , or end up dead .	['whatev', 'hatch', 'forget', 'end', 'dead']	whatev hatch forget end dead	3
And as long as you terrorize me , I'm gonna fight you .	['long', 'terror', 'im', 'gonna', 'fight']	long terror im gonna fight	3
And dead fish .	['dead', 'fish']	dead fish	3
And every single one of those memories that you're so desperate to pry out of his damaged brain can turn him right back into it .	['everi', 'singl', 'one', 'memori', 'desper', 'pri', 'damag', 'brain', 'turn', 'right', 'back']	everi singl one memori desper pri damag brain turn right back	3, 4, 6
And given your background , I'm sure you can figure it out .	['given', 'background', 'im', 'sure', 'figur']	given background im sure figur	8, 3
And goddamn it , tuck up those pyjamas !	['goddamn', 'tuck', 'pyjama']	goddamn tuck pyjama	3
And he calls me an asshole !	['call', 'asshol']	call asshol	3
And he was isaac the dreamer . - ( yawns )	['isaac', 'dreamer', 'yawn']	isaac dreamer yawn	3, 5
And I don't like nobody touching my stuff !	['dont', 'like', 'nobodi', 'touch', 'stuff']	dont like nobodi touch stuff	3
And I don't need you to drop your suit because you have no case .	['dont', 'need', 'drop', 'suit', 'becaus', 'case']	dont need drop suit becaus case	3
And I don't want someone coming here when you do tell them after you hang up .	['dont', 'want', 'someon', 'come', 'tell', 'hang']	dont want someon come tell hang	3
And I feel sick about it .	['feel', 'sick']	feel sick	3
And I just disagreed with them , completely .	['disagre', 'complet']	disagre complet	3
And I refuse to assist you in the rape of the [LOCATION] .	['refus', 'assist', 'rape', 'locat']	refus assist rape locat	3
And if one more guy makes a pass at me , I'm going to sock him in the face .	['one', 'guy', 'make', 'pass', 'im', 'go', 'sock', 'face']	one guy make pass im go sock face	3
And if you don't understand plain English ... maybe there's something else you will understand .	['dont', 'understand', 'plain', 'english', 'mayb', 'someth', 'els', 'understand']	dont understand plain english mayb someth els understand	3
And m the tooth fairy . 	['tooth', 'fairi']	tooth fairi	3
And nice earrings for a streetwalker .	['nice', 'earring', 'streetwalk']	nice earring streetwalk	3, 7
And no promises on the sentence .	['promis', 'sentenc']	promis sentenc	3, 6
And none of us used to carry guns .	['none', 'us', 'use', 'carri', 'gun']	none us use carri gun	3, 6
And not for Mr [PERSON] , love him as I may .	['mr', 'person', 'love', 'may']	mr person love may	3
And shave off that dreadful moustache .	['shave', 'dread', 'moustach']	shave dread moustach	3
And sometimes I think some junkie nurse may be stepping on my medication .	['sometim', 'think', 'junki', 'nurs', 'may', 'step', 'medic']	sometim think junki nurs may step medic	3
And that you not only look like , but you are , a mess of worms .	['onli', 'look', 'like', 'mess', 'worm']	onli look like mess worm	3
And that , that caused me to do the most dumb - ass thing I've ever done in my life .	['caus', 'dumb', 'ass', 'thing', 'ive', 'ever', 'done', 'life']	caus dumb ass thing ive ever done life	3, 6
And the smell -- it lingers , you know .	['smell', 'linger', 'know']	smell linger know	3
And then one day I went into the barn ... and there he was .	['one', 'day', 'went', 'barn']	one day went barn	2, 3, 7
And there's a big difference between love and infatuation .	['big', 'differ', 'love', 'infatu']	big differ love infatu	3
And there's the black hand that did the dirty deed .	['black', 'hand', 'dirti', 'deed']	black hand dirti deed	3
And this smog doesn't help anyway .	['smog', 'doesnt', 'help', 'anyway']	smog doesnt help anyway	3
And those working in the [LOCATION] Project developing the atom bomb were told that any secrets that they disclose would result in ten years in prison , or an equivalent of a $ , fine .	['work', 'locat', 'project', 'develop', 'atom', 'bomb', 'told', 'ani', 'secret', 'disclos', 'would', 'result', 'ten', 'year', 'prison', 'equival', 'fine']	work locat project develop atom bomb told ani secret disclos would result ten year prison equival fine	3, 6
And we are no longer victims of this violent , convulsive act , which so debased women and betrayed men .	['longer', 'victim', 'violent', 'convuls', 'act', 'debas', 'women', 'betray', 'men']	longer victim violent convuls act debas women betray men	3
And we'd like you to explain it to the sister superior .	['wed', 'like', 'explain', 'sister', 'superior']	wed like explain sister superior	3
And what are you focused on now ?	['focus']	focus	2, 3
And what better than to sacrifice one of the beast's own servants whom we caught masquerading as a holy sister of the Mother Church ?	['better', 'sacrific', 'one', 'beast', 'servant', 'caught', 'masquerad', 'holi', 'sister', 'mother', 'church']	better sacrific one beast servant caught masquerad holi sister mother church	3
And what she did was she ... Brought her into a life of hell .	['brought', 'life', 'hell']	brought life hell	3, 6
And when I'm dead on the altar of my country , I hope your conscience irks you .	['im', 'dead', 'altar', 'countri', 'hope', 'conscienc', 'irk']	im dead altar countri hope conscienc irk	3
And without [PERSON] , it's better to let these people with the black suits and the Swiss haircuts worry about things you and I don't begin to understand .	['without', 'person', 'better', 'let', 'peopl', 'black', 'suit', 'swiss', 'haircut', 'worri', 'thing', 'dont', 'begin', 'understand']	without person better let peopl black suit swiss haircut worri thing dont begin understand	3
And you are the biggest liar of all !	['biggest', 'liar']	biggest liar	3
And you know how vain women are .	['know', 'vain', 'women']	know vain women	3
Another example of the pastoral beliefs you Anglicize .	['anoth', 'exampl', 'pastor', 'belief', 'anglic']	anoth exampl pastor belief anglic	3, 6
Another keen son of a bitch .	['anoth', 'keen', 'son', 'bitch']	anoth keen son bitch	3
Anybody connected with drugs deserves to die .	['anybodi', 'connect', 'drug', 'deserv', 'die']	anybodi connect drug deserv die	3
Anybody who takes money out of this bank is crazy .	['anybodi', 'take', 'money', 'bank', 'crazi']	anybodi take money bank crazi	3
Anybody would be ashamed of that .	['anybodi', 'would', 'asham']	anybodi would asham	3
Anything that man tells me will be a lie .	['anyth', 'man', 'tell', 'lie']	anyth man tell lie	3
Anyway , the president of this teamster local back east set up a phony welfare fund , right ?	['anyway', 'presid', 'teamster', 'local', 'back', 'east', 'set', 'phoni', 'welfar', 'fund', 'right']	anyway presid teamster local back east set phoni welfar fund right	3
Apparently any mother , even a bad one , is better than none .	['appar', 'ani', 'mother', 'even', 'bad', 'one', 'better', 'none']	appar ani mother even bad one better none	3
Apparently my birth was not considered a blessed event .	['appar', 'birth', 'consid', 'bless', 'event']	appar birth consid bless event	3, 6
Apparently , Prince [PERSON] thought that was a very important ...	['appar', 'princ', 'person', 'thought', 'veri', 'import']	appar princ person thought veri import	3
Are you a fool or a mutineer ?	['fool', 'mutin']	fool mutin	2, 3
Are you a human being , inspector ?	['human', 'inspector']	human inspector	3
Are you a scarecrow's son ?	['scarecrow', 'son']	scarecrow son	3
Are you confessing to this ? - Yes . I confess .	['confess', 'yes', 'confess']	confess yes confess	3, 6
Are you drunk ?	['drunk']	drunk	3
Are you gonna retire or not ?	['gonna', 'retir']	gonna retir	3
Are you nuts ?	['nut']	nut	3
Are you really that quiet ?	['realli', 'quiet']	realli quiet	3
Are you still here ?	['still']	still	3
Are you sure you want to escape from it ?	['sure', 'want', 'escap']	sure want escap	3, 7
Are you vulnerable to him in any way ?	['vulner', 'ani', 'way']	vulner ani way	3, 4
As a so called one percenter motorcycle club , [PERSON] are notoriously violent .	['call', 'one', 'percent', 'motorcycl', 'club', 'person', 'notori', 'violent']	call one percent motorcycl club person notori violent	3, 4
As I step into the rat catcher , the first thing I notice , besides the smell of rancid beer and stale piss , is the tension .	['step', 'rat', 'catcher', 'first', 'thing', 'notic', 'besid', 'smell', 'rancid', 'beer', 'stale', 'piss', 'tension']	step rat catcher first thing notic besid smell rancid beer stale piss tension	3
As if he isn't going to be hurt enough , she has to twist a knife in him too .	['isnt', 'go', 'hurt', 'enough', 'twist', 'knife']	isnt go hurt enough twist knife	3
As it happens , you are hardly in a position to have anything to say about it .	['happen', 'hard', 'posit', 'anyth', 'say']	happen hard posit anyth say	3
As you say , a foolish article .	['say', 'foolish', 'articl']	say foolish articl	3
At bottom she's a very dull girl and the life she pictures for herself is the life she belongs in .	['bottom', 'shes', 'veri', 'dull', 'girl', 'life', 'pictur', 'life', 'belong']	bottom shes veri dull girl life pictur life belong	3
At my age , corrected by an illiterate .	['age', 'correct', 'illiter']	age correct illiter	3
At the moment , no .	['moment']	moment	3
At this rate , we'll have to head home inside hours .	['rate', 'well', 'head', 'home', 'insid', 'hour']	rate well head home insid hour	2, 3
Aw , [PERSON] , now what ?	['aw', 'person']	aw person	3
Away from all the words , the monuments , the whole rotten show .	['away', 'word', 'monument', 'whole', 'rotten', 'show']	away word monument whole rotten show	3
Awkward ass .	['awkward', 'ass']	awkward ass	3
Bad dog !	['bad', 'dog']	bad dog	3
Bastards !	['bastard']	bastard	3
Bear in mind she's a foreigner , so prepare for hysterics , even a fainting spell .	['bear', 'mind', 'shes', 'foreign', 'prepar', 'hyster', 'even', 'faint', 'spell']	bear mind shes foreign prepar hyster even faint spell	3
Because I do not like my mother .	['becaus', 'like', 'mother']	becaus like mother	3
Because of this attempted prison break , [PERSON] would have to serve additional time .	['becaus', 'attempt', 'prison', 'break', 'person', 'would', 'serv', 'addit', 'time']	becaus attempt prison break person would serv addit time	3, 6, 7
Because we are food for worms , lads .	['becaus', 'food', 'worm', 'lad']	becaus food worm lad	3
Because we need to look just like them if we want to pass unnoticed .	['becaus', 'need', 'look', 'like', 'want', 'pass', 'unnot']	becaus need look like want pass unnot	2, 3, 4
Because you like power .	['becaus', 'like', 'power']	becaus like power	3
Because you talked me into this , that's why , you idiot !	['becaus', 'talk', 'whi', 'idiot']	becaus talk whi idiot	3
Before proceeding further , I'll remind the visitors in the gallery that they are here as our guests and should conduct themselves as such .	['befor', 'proceed', 'ill', 'remind', 'visitor', 'galleri', 'guest', 'conduct', 'themselv']	befor proceed ill remind visitor galleri guest conduct themselv	3
Besides , I really do repent . Really .	['besid', 'realli', 'repent', 'realli']	besid realli repent realli	3
Better have something to give me this time , officer .	['better', 'someth', 'give', 'time', 'offic']	better someth give time offic	2, 3
Better you than your mother .	['better', 'mother']	better mother	3
Bitch .	['bitch']	bitch	3
Black powder and worse ...	['black', 'powder', 'wors']	black powder wors	3
Bodies strung out , bodies with the skins ripped off , the hearts torn from the cadavers .	['bodi', 'strung', 'bodi', 'skin', 'rip', 'heart', 'torn', 'cadav']	bodi strung bodi skin rip heart torn cadav	3, 6
[PERSON] was my prisoner .	['person', 'prison']	person prison	3, 6
[PERSON] , listen to him .	['person', 'listen']	person listen	8, 3, 4, 6
Both those guys on the trailer are in it .	['guy', 'trailer']	guy trailer	3, 4
Bought in to fool people into thinking they were aliens , yeah .	['bought', 'fool', 'peopl', 'think', 'alien', 'yeah']	bought fool peopl think alien yeah	3
Boys , sweep them out of the gutter .	['boy', 'sweep', 'gutter']	boy sweep gutter	3
[PERSON] , you don't like this job any more than I do , do you ?	['person', 'dont', 'like', 'job', 'ani']	person dont like job ani	3
Burn them all away .	['burn', 'away']	burn away	3
But a little more of your stupid behavior and even the respectability of my house won't shield you .	['littl', 'stupid', 'behavior', 'even', 'respect', 'hous', 'wont', 'shield']	littl stupid behavior even respect hous wont shield	3
But for now , there is sufficient cowardice , sloth and mendacity down there on Earth to last forever .	['suffici', 'cowardic', 'sloth', 'mendac', 'earth', 'last', 'forev']	suffici cowardic sloth mendac earth last forev	3
But he became such a damn pest that I left [LOCATION] .	['becam', 'damn', 'pest', 'left', 'locat']	becam damn pest left locat	3
But he's talking about the illegal part of it .	['hes', 'talk', 'illeg', 'part']	hes talk illeg part	3
But I can't express myself monosyllabically enough for you to understand 'em all .	['cant', 'express', 'monosyllab', 'enough', 'understand', 'em']	cant express monosyllab enough understand em	3
But I had locked the briefcase of the [PERSON] in the morning following to her death .	['lock', 'briefcas', 'person', 'morn', 'follow', 'death']	lock briefcas person morn follow death	3
But I told you never to fight a street fighter fight .	['told', 'never', 'fight', 'street', 'fighter', 'fight']	told never fight street fighter fight	3, 6
But if [PERSON]'s an angel , why ain't he in Heaven ?	['person', 'angel', 'whi', 'aint', 'heaven']	person angel whi aint heaven	3, 4, 6, 7
But if we work hard together and if fortune smiles on us , we'll be able to make you into a human being .	['work', 'hard', 'togeth', 'fortun', 'smile', 'us', 'well', 'abl', 'make', 'human']	work hard togeth fortun smile us well abl make human	3
But the gun shoots death and purifies the earth of the filth of brutals .	['gun', 'shoot', 'death', 'purifi', 'earth', 'filth', 'brutal']	gun shoot death purifi earth filth brutal	3
But the hair is rotten here .	['hair', 'rotten']	hair rotten	3
But then you have to live with it .	['live']	live	3, 6
But when I'm lining up a deal , I don't want any dancehall woman listening in !	['im', 'line', 'deal', 'dont', 'want', 'ani', 'dancehal', 'woman', 'listen']	im line deal dont want ani dancehal woman listen	3
But you haven't had much respect for them .	['havent', 'much', 'respect']	havent much respect	3
But you needn't go on account of this idiot .	['neednt', 'go', 'account', 'idiot']	neednt go account idiot	3
But you're lying .	['lie']	lie	3
But your love does not match your lust for power .	['love', 'doe', 'match', 'lust', 'power']	love doe match lust power	3
But , God , people can be rude .	['god', 'peopl', 'rude']	god peopl rude	3
But , I , after spending years I found not a shred of evidence that we have alien visitors in our skies .	['spend', 'year', 'found', 'shred', 'evid', 'alien', 'visitor', 'sky']	spend year found shred evid alien visitor sky	3
But , in a democracy , we do not shoot unarmed suspects on sight for a murder in which their participation is still unproven .	['democraci', 'shoot', 'unarm', 'suspect', 'sight', 'murder', 'particip', 'still', 'unproven']	democraci shoot unarm suspect sight murder particip still unproven	3
But , [PERSON] , he dresses like the man that cremated Uncle [PERSON] .	['person', 'dress', 'like', 'man', 'cremat', 'uncl', 'person']	person dress like man cremat uncl person	3
But , of course , she's lying .	['cours', 'shes', 'lie']	cours shes lie	3
by getting blackout drunk .	['get', 'blackout', 'drunk']	get blackout drunk	3
By making a lot of idiotic loans ?	['make', 'lot', 'idiot', 'loan']	make lot idiot loan	3
By the time they take the mortgage payments out of my paycheck , there's not enough left to buy you a fuckin' box of tampons !	['time', 'take', 'mortgag', 'payment', 'paycheck', 'enough', 'left', 'buy', 'fuckin', 'box', 'tampon']	time take mortgag payment paycheck enough left buy fuckin box tampon	3
Can you imagine her traveling around the world with a camera bum who never has more than a week's salary in the bank ?	['imagin', 'travel', 'around', 'world', 'camera', 'bum', 'never', 'week', 'salari', 'bank']	imagin travel around world camera bum never week salari bank	3
Can't pay his bills .	['cant', 'pay', 'bill']	cant pay bill	3
Careful now , I have feelings like a real human being .	['care', 'feel', 'like', 'real', 'human']	care feel like real human	3
[PERSON] , this is intolerable !	['person', 'intoler']	person intoler	3
Certainly making a fool of yourself .	['certain', 'make', 'fool']	certain make fool	3
Champion of dumb animals , ladies in distress , lost kids and lost causes .	['champion', 'dumb', 'anim', 'ladi', 'distress', 'lost', 'kid', 'lost', 'caus']	champion dumb anim ladi distress lost kid lost caus	3
[PERSON] , she tore the fuckin' place apart .	['person', 'tore', 'fuckin', 'place', 'apart']	person tore fuckin place apart	3
Christ . What a dump .	['christ', 'dump']	christ dump	3
[PERSON] , I can't make it so soon ...	['person', 'cant', 'make', 'soon']	person cant make soon	3, 6
Coco sounds like she caught the old man cheating again .	['coco', 'sound', 'like', 'caught', 'old', 'man', 'cheat']	coco sound like caught old man cheat	3
Come here , you lazy , no - good son of mine !	['come', 'lazi', 'good', 'son', 'mine']	come lazi good son mine	3
Come on out , you bastards !	['come', 'bastard']	come bastard	3
Come on , [PERSON] . You can't have them .	['come', 'person', 'cant']	come person cant	3, 7
Come on , cut that shit out .	['come', 'cut', 'shit']	come cut shit	3
Come on , don't be a fool .	['come', 'dont', 'fool']	come dont fool	3
Come on , show yourself , you coward .	['come', 'show', 'coward']	come show coward	3
Come on , you flabby old goat , give it to me .	['come', 'flabbi', 'old', 'goat', 'give']	come flabbi old goat give	3
Come on ! No , no , I don't want to go to the women's gymnasium .	['come', 'dont', 'want', 'go', 'women', 'gymnasium']	come dont want go women gymnasium	3, 4, 6
Come on ! What's it mean , anyway ?	['come', 'mean', 'anyway']	come mean anyway	3
Come on ...	['come']	come	3
Concentrating on a few pieces of onerous legislation is not a plan .	['concentr', 'piec', 'oner', 'legisl', 'plan']	concentr piec oner legisl plan	3
Contempt for the law , that's what you've got .	['contempt', 'law', 'youv', 'got']	contempt law youv got	3
Cos whatever you got up there , I'm gonna find it out .	['cos', 'whatev', 'got', 'im', 'gonna', 'find']	cos whatev got im gonna find	2, 3
Course they gave him a big hunk of money for a settlement . Don't nobody know how much it was .	['cours', 'gave', 'big', 'hunk', 'money', 'settlement', 'dont', 'nobodi', 'know', 'much']	cours gave big hunk money settlement dont nobodi know much	3
Cowards !	['coward']	coward	3
Crazy out of your skull .	['crazi', 'skull']	crazi skull	3
Creeps .	['creep']	creep	3
Daddy . You want to name her daddy ?	['daddi', 'want', 'name', 'daddi']	daddi want name daddi	3, 7
Damn , I thought she had better taste than that .	['damn', 'thought', 'better', 'tast']	damn thought better tast	3
Damnedest thing I ever did see .	['damnedest', 'thing', 'ever', 'see']	damnedest thing ever see	3
Dear , a mere child .	['dear', 'mere', 'child']	dear mere child	3, 4
Despised him .	['despis']	despis	3
Did he in you ?	[]		2, 3
Did you come to see me for the same reason as the man with sweat on his face ?	['come', 'see', 'reason', 'man', 'sweat', 'face']	come see reason man sweat face	3
Did you spend every cent you ever made ?	['spend', 'everi', 'cent', 'ever', 'made']	spend everi cent ever made	3
Disappear .	['disappear']	disappear	3
Disgusting .	['disgust']	disgust	3
Do I have to bother with that shit ?	['bother', 'shit']	bother shit	3
Do some more rolling and tossing and thinking about it .	['roll', 'toss', 'think']	roll toss think	3
Do something please !	['someth', 'pleas']	someth pleas	3, 4
Do we have to sit with them ?	['sit']	sit	3, 4
Do what ?	[]		3, 7
Do you always lie ?	['alway', 'lie']	alway lie	3
Do you know what they say about girls who play ?	['know', 'say', 'girl', 'play']	know say girl play	3
Do you think I'd be grateful for an easy life when my friends are treated like animals ?	['think', 'id', 'grate', 'easi', 'life', 'friend', 'treat', 'like', 'anim']	think id grate easi life friend treat like anim	3
Do you think we'd better let it go at that ?	['think', 'wed', 'better', 'let', 'go']	think wed better let go	3
Do your friends put money in your pocket , [PERSON] ?	['friend', 'put', 'money', 'pocket', 'person']	friend put money pocket person	3
Does the clown work for [PERSON] too ?	['doe', 'clown', 'work', 'person']	doe clown work person	3
Doesn't the prestige of the Bolsheviks mean anything to you ?	['doesnt', 'prestig', 'bolshevik', 'mean', 'anyth']	doesnt prestig bolshevik mean anyth	3
Don't be a fool , woman .	['dont', 'fool', 'woman']	dont fool woman	3
Don't be a fool .	['dont', 'fool']	dont fool	3
Don't be so impolite in the future	['dont', 'impolit', 'futur']	dont impolit futur	3
Don't come back here  - that's a bit like saying :  Do not read this note  . 	['dont', 'come', 'back', 'bit', 'like', 'say', 'read', 'note']	dont come back bit like say read note	3
Don't do anything foolish .	['dont', 'anyth', 'foolish']	dont anyth foolish	3
Don't even , no . Don't look at me !	['dont', 'even', 'dont', 'look']	dont even dont look	3
Don't ever try to come in between , you smart - eyed slob .	['dont', 'ever', 'tri', 'come', 'smart', 'eye', 'slob']	dont ever tri come smart eye slob	3
Don't get too used to those long lunches .	['dont', 'get', 'use', 'long', 'lunch']	dont get use long lunch	3
Don't give me all that sally army stuff .	['dont', 'give', 'salli', 'armi', 'stuff']	dont give salli armi stuff	3
Don't I know you from somewhere ?	['dont', 'know', 'somewher']	dont know somewher	3
Don't lie to me , you pepper gut .	['dont', 'lie', 'pepper', 'gut']	dont lie pepper gut	3
Don't mind my saying so , but why don't you do something about your hair ?	['dont', 'mind', 'say', 'whi', 'dont', 'someth', 'hair']	dont mind say whi dont someth hair	3
Don't talk rot , [PERSON] .	['dont', 'talk', 'rot', 'person']	dont talk rot person	3
Don't touch me unless you love me .	['dont', 'touch', 'unless', 'love']	dont touch unless love	3
Don't touch me !	['dont', 'touch']	dont touch	3
Don't you call my husband ...	['dont', 'call', 'husband']	dont call husband	3
Don't you consider this a public responsibility to respond now ?	['dont', 'consid', 'public', 'respons', 'respond']	dont consid public respons respond	3, 7
Don't you find that kind of disturbing ?	['dont', 'find', 'kind', 'disturb']	dont find kind disturb	3, 4
Don't you have any principles ?	['dont', 'ani', 'principl']	dont ani principl	3
Don't you have any respect for yourself ?	['dont', 'ani', 'respect']	dont ani respect	3
Don't you realize that Americans dislike having their children stolen ?	['dont', 'realiz', 'american', 'dislik', 'children', 'stolen']	dont realiz american dislik children stolen	3
[PERSON] , you of all people should understand by now that to me , they're the same thing .	['person', 'peopl', 'understand', 'theyr', 'thing']	person peopl understand theyr thing	3
Dopehead mothers . Garbage blood .	['dopehead', 'mother', 'garbag', 'blood']	dopehead mother garbag blood	3
Dressing is common courtesy , [PERSON] .	['dress', 'common', 'courtesi', 'person']	dress common courtesi person	3
Easterner speaks with forked tongue .	['eastern', 'speak', 'fork', 'tongu']	eastern speak fork tongu	3
Eighteen years on the force , six on Narcotics , four on Safe and Loft and the guy's never fired a gun .	['eighteen', 'year', 'forc', 'six', 'narcot', 'four', 'safe', 'loft', 'guy', 'never', 'fire', 'gun']	eighteen year forc six narcot four safe loft guy never fire gun	3, 6, 7
Either you're a fool or an inhuman woman .	['either', 'fool', 'inhuman', 'woman']	either fool inhuman woman	3
Enough to spread you out like a crazy woman's quilt .	['enough', 'spread', 'like', 'crazi', 'woman', 'quilt']	enough spread like crazi woman quilt	3
Er , you were arrested for being carried by a motor vehicle taken without consent , and resisting arrest .	['er', 'arrest', 'carri', 'motor', 'vehicl', 'taken', 'without', 'consent', 'resist', 'arrest']	er arrest carri motor vehicl taken without consent resist arrest	3
Erm ... I was just coming to that .	['erm', 'come']	erm come	3
Escort him out of the building .	['escort', 'build']	escort build	3
Essex , when will you realize how vital it is not to make enemies at court ?	['essex', 'realiz', 'vital', 'make', 'enemi', 'court']	essex realiz vital make enemi court	3
Even before [PERSON] you refuse to reveal your true appearance !	['even', 'befor', 'person', 'refus', 'reveal', 'true', 'appear']	even befor person refus reveal true appear	3
Even if this room gets filled with lies like these and the Taylors and all their armies come marching into this place .	['even', 'room', 'get', 'fill', 'lie', 'like', 'taylor', 'armi', 'come', 'march', 'place']	even room get fill lie like taylor armi come march place	3
Even so drunk , your brain is the greatest this side the [LOCATION] .	['even', 'drunk', 'brain', 'greatest', 'side', 'locat']	even drunk brain greatest side locat	3
even though it continues to dominate the market for sex ads .	['even', 'though', 'continu', 'domin', 'market', 'sex', 'ad']	even though continu domin market sex ad	3
Ever since they lost our luggage you have been sourcastic with me , and irritable , and insensitive and intolerant !	['ever', 'sinc', 'lost', 'luggag', 'sourcast', 'irrit', 'insensit', 'intoler']	ever sinc lost luggag sourcast irrit insensit intoler	3
Every day , you give this azupep a dollar for sweeping our sidewalk .	['everi', 'day', 'give', 'azupep', 'dollar', 'sweep', 'sidewalk']	everi day give azupep dollar sweep sidewalk	3
Every little sin and misdemeanour , raked over and over .	['everi', 'littl', 'sin', 'misdemeanour', 'rake']	everi littl sin misdemeanour rake	3
Every spring , the toilets explode .	['everi', 'spring', 'toilet', 'explod']	everi spring toilet explod	3
Every sucker for himself , I guess .	['everi', 'sucker', 'guess']	everi sucker guess	3
Every time it rains , it gets all yucky .	['everi', 'time', 'rain', 'get', 'yucki']	everi time rain get yucki	3
Everybody's a screwball in some way .	['everybodi', 'screwbal', 'way']	everybodi screwbal way	2, 3, 5, 6, 8
Everything seems to have a bite to it , and I'm smelling like an old sheepherder .	['everyth', 'seem', 'bite', 'im', 'smell', 'like', 'old', 'sheepherd']	everyth seem bite im smell like old sheepherd	3
Everything these days is pictures .	['everyth', 'day', 'pictur']	everyth day pictur	3
Everything you've got !	['everyth', 'youv', 'got']	everyth youv got	3
Everything's funny to you , ain't it , needle nose ?	['everyth', 'funni', 'aint', 'needl', 'nose']	everyth funni aint needl nose	3
Except when you're throwin' up in the back of [PERSON]'s Chevelle .	['except', 'throwin', 'back', 'person', 'chevell']	except throwin back person chevell	3
[GAY SLUR] everywhere .	['gay', 'slur', 'everywher']	gay slur everywher	3
Filth making filth , making filth .	['filth', 'make', 'filth', 'make', 'filth']	filth make filth make filth	3
Find out where he hides them deeds and all the stuff he's been stealin' .	['find', 'hide', 'deed', 'stuff', 'hes', 'stealin']	find hide deed stuff hes stealin	3
Find out which of the creeps she put away is out on parole .	['find', 'creep', 'put', 'away', 'parol']	find creep put away parol	3
First they denied , and then they equivocated ...	['first', 'deni', 'equivoc']	first deni equivoc	3
For a celebrated bounder , that is an awful admission .	['celebr', 'bounder', 'aw', 'admiss']	celebr bounder aw admiss	3
For a moment , I thought you were a man .	['moment', 'thought', 'man']	moment thought man	3
For being the biggest dickhead I ever went out with .	['biggest', 'dickhead', 'ever', 'went']	biggest dickhead ever went	3
For far too long .	['far', 'long']	far long	3
For four years , and now it's over . For four years , I've invited the guests and bought the favors and provided the entertainment and cleaned up the dirt and paid off the waiters and paid off the cops and paid off the papers and paid off the guests .	['four', 'year', 'four', 'year', 'ive', 'invit', 'guest', 'bought', 'favor', 'provid', 'entertain', 'clean', 'dirt', 'paid', 'waiter', 'paid', 'cop', 'paid', 'paper', 'paid', 'guest']	four year four year ive invit guest bought favor provid entertain clean dirt paid waiter paid cop paid paper paid guest	3, 6
For the hospital , for the seriously sick .	['hospit', 'serious', 'sick']	hospit serious sick	3
For three months , we've been listening to that sad sack spout his unhinged tirades , day in and day out , because we were promised % of the ransom .	['three', 'month', 'weve', 'listen', 'sad', 'sack', 'spout', 'unhing', 'tirad', 'day', 'day', 'becaus', 'promis', 'ransom']	three month weve listen sad sack spout unhing tirad day day becaus promis ransom	3
For you to become a murderer ?	['becom', 'murder']	becom murder	3, 6, 7
Found hair in your comb .	['found', 'hair', 'comb']	found hair comb	3
