text	label
She tried to kill me because I told her about Nately .	4
Shut up , you fuckhead !	1
[PERSON] , open your fucking eyes !	1
I've been aching to mention it to you .	2
Why don't you back the hell off of her ?	1
And that's the most gorgeous thing I ever saw .	5
That's fine .	8
You're not tired .	8
The boy's doing so poor these days , why not take him along and air him ?	6
I'll take care of you .	8
I'm delighted .	5
Because it was my misery .	6
Here he comes .	2, 4
I hate you !	1
Oh , [PERSON] , I'm frightened .	4
My mother and dad'll help us , I'm sure they will .	8
I used to drive a tank when I was in the army , but look at me now !	1
You don't park here either .	1
We tried that route , but we gave up .	6
No , no , no , I don't mean that .	7
Most people will feel good riddance .	2
It's time .	5
I don't want to .	1, 6
Sometimes I think you don't even know I live here .	6
Good British plugs .	8, 2, 5
You won't stay here , and I can't go with you .	6
Don't show it to me .	1
Mayii : I had long since lost track Of the child [PERSON] .	6
Now come on !	1
Would you like to dance ?	2
As things are , there's no need for you to go through the Customs .	8
This is so embarrassing .	3
You had a shot in Public Domain where you looked at the camera , into me and I loved you .	5
[PERSON] , what's happenin' here ?	7
I'm going after her .	4
I'm burning .	4
All right , I will !	1
Shouldn't we be going ?	1
Stop , you !	1
What's going on ? We need to talk . That's all .	1, 3
What's the matter with your arm ?	2, 7
I'm doing everything in my power not to fire you .	8, 1, 3
I'd be so happy if that were really true , [PERSON] .	6
Listen , I've always returned favors , haven't I , [PERSON] ?	6
Designed to make your life a more annoying place to be .	1
Um , I found someone else to -- to take your room ,	3
Oh , come on , it's just a joke .	7
You are in trouble !	1
Sorry , pal .	6
And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .	1
And a right good one .	5
People with money like uniforms .	1, 3
But , you see , if this thing here controls you , it's gonna burn you and everythin' else around you up . That's right .	4
In the interest of the West's greatest horse , the bronco and myself , who grows them , I'm putting up an extra $ 1,000 , to the bronco rider who wins !	2
Get me some punch .	2
Why are you so good to us ?	7
We're in trouble now .	4
Why don't you tell the voters what you really plan on doing with this town ?	1
[PERSON] , what the fuck took you so long ?	1
But I couldn't help noticing , despite the habit , that you're quite young .	7
I smell blood .	4
That stuff will knock your socks off .	2
Well ... I guess that means that you and I have gone From being friends to being enemies .	3, 6, 7
I'll never eat fish again .	3
Let's have it .	1, 2
It was fine . You've been away all this time ?	7
How about the three of you shaking hands ?	8
Just give me five minutes .	2
Make yourself comfortable .	8
I'm a little low on maple syrup , but I got plenty of raspberry jam , which , you know , a lot of people prefer .	2, 5
Was it you ?	1, 7
Oh , how I have longed to hold this child .	5
The solutions to [LOCATION]'s urgent and long - term potential problems are there .	2
You need to tell us you understand .	8
I know I don't have to do it but I want to .	6
Yeah , I'm aware of that . And they have all of them .	1, 2, 4
For me , the fun went out of it after [PERSON] died . It was never any good , really , after that .	6
The fire went out !	5
Good ?	7
You just do what I tell you from now on , [PERSON] .	1, 2
I just had the weirdest dream .	7
That is bullshit .	1, 3
He's not coming back .	4, 6
You won something , did you ?	2, 7
Some days I wake up --	4, 6
If I had a Luger ...	1
Chill or die , asshole .	1
Mr. [PERSON] , that sounds like a threat .	4
It was a pleasure .	5
I'm [PERSON] , sir .	4, 7
What would you do if it was your child ?	6, 7
[PERSON] ?	2, 4, 7
You've convinced me that you're a philanderer of the very first order .	8
[PERSON] , I'm in paradise .	5
Enough !	1
Yes , but he's in his office ... [PERSON] , can you believe this ? They just faxed me the chewgood numbers .	5
You're not gonna believe this .	7
Up yours !	1, 3
Yeah , okay , judge [PERSON] . ( Laughs ) What does judge [PERSON] have to do with it ?	2
You were right .	8, 4, 7
That cunt is no good .	3
I did not want to miss that .	6
They'll kill you .	4
All of a sudden , there's a lot of noise .	7
What was what ?	7
And now , what are we going to do ?	2
Yeah , yeah , yeah ...	1, 2, 3
Yeah ? The last time you assured me , I lost good men in the [LOCATION] .	1, 3, 6
Please guide us	2
You shot Mr. [PERSON] !	7
We've come to wish you gladness .	5
She's a very agreeable child , you'll see .	2
I loved you for it , just as my father did .	5
Christ . I don't know what you've been up to , but [PERSON] is pissing fire .	1, 4
Of course I'm talking about Delta , you twerp !	1
You can do it , buddy .	2, 5
Get us some frickin' pretzels or something .	1
Do what he says :	1, 4
Do you wish me to translate [PERSON]'s letter or not ?	1
Who took the Scotch from my closet ?	1
Probably turned into some potluck , poster - making , sing - along .	3, 7
You realize your contacting the saucer violated our instructions .	1
Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .	1, 6
And guess what ? We're coming to see you tomorrow .	8, 5
Your daughter's getting prettier every day , [PERSON] .	5
I'm sorry , gentlemen , but the order is final .	1
I'm not coming .	3
It was blocking him from coming out .	6
I intend to .	2
Thank you for using ATT .	8
There's a man down there on his head .	4
Hey , these are keen !	7
I'm not playing at being provost marshal . And I never heard of luck that didn't run out .	1, 6
What have I done now ?	4
We've been ambushed by the very forces That you wish to trade with .	1, 3
When I left her she was alive !	4
It does feel better to get it out .	5
[PERSON] must not be a prisoner , Chief executive .	8
Have you thought for a moment about her ?	1, 3
All right , but let me know what you're doing .	2
This is an unscheduled surprise .	7
Well , that's easy .	5
And then they'll kill us !	4
They breed like rabbits , don't do any work and expect Welfare to put them on [LOCATION] .	1, 3
You're breaking my fucking arm ! - Hurry !	1, 2, 4
Sure . For five bucks .	2
The reason you never take your wallet out at a ball game or anyplace else is that someone's gonna steal it from you .	4
I think [PERSON] will win .	8, 2
I haven't had a job in four months .	6
[PERSON] , did you know that your dad two - steps ? Really ?	7
Are you any different ?	2
We don't like [PERSON] .	1
You are just one too many !	1
Mr. [PERSON]'s changed with the times .	7
It's your decision , but if you make it you'll be no good to yourself or anybody else .	1
How did we ever stand each other in that plane for three years during the war ?	7
Yeah , I mind .	1
Did you do it ?	7
Everybody else laughs at it , but not you .	7
We're trying to help ya !	8
You're sure of that , are you ?	7
It's a lot of time , especially when it stands still with loneliness .	6
[PERSON] turns against me , And I should lighten up ?	1
Has decided to demolish ...	6
Oh my , where are my manners ?	8
I want to tell you something .	8
I unfortunately have to say that [PERSON]'s legal strategy has been very effective .	1, 4
I'm gonna take him back to the orphanage .	3
If you wan na survive , you got ta slip the jab .	8
When they looked back , they saw the body of Little Man lie down among his friends .	6
To have an ugly incident occur while we're on this train with no method of escape that is not in our self - interest , either .	1, 4
Is that what you wanted ?	7
I spend time with them , yeah .	2, 5
We're unbeatable .	5
I would call ... revenge .	1
No , listen .	1
Woman , go on about your business .	3
Don't listen to her !	4
Hey , lighten up !	8, 2, 5
Please don't say that .	1
The coach was robbed and [PERSON] killed .	4
Don't open that door , [PERSON] .	4
No sweat .	8
It is so nice to meet you .	5
But until then , Mr Boot , you'll get yourself the best newspaperman you ever had .	8
A very good man .	5
[PERSON] , make them pipe down .	1
That bridge would collapse under the first train .	4
She's flying straight to [LOCATION] to be with her father ?	7
That was very considerate of him .	8
One of the reasons you get to people is you pay 'em .	8
And then one day I went into the barn ... and there he was .	2, 3, 7
Do not ruin kamoja .	1, 3
You watch me .	8, 2
God , forgive me .	6
I tried one of them once , but she didn't show any enthusiasm at all .	6
We'll have to find new opportunities .	2
They're gonna need a fucking wrecking ball to take me out of here .	1
This horse is a running motherfucker . - No , shit . - Yeah .	7
I won't go schizo , will I ?	4
Good morning , Mr. President .	8, 2
Come on , man .	6, 7
For being the biggest dickhead I ever went out with .	3
The sword was her husband's .	8
Goddamn little bitch secretary .	3
Are you sure they're here ?	2
Now , your gallant Maj. [PERSON] is selling me a phony . So he deserves whatever he gets .	1, 3
All you need now is a divorce , and your dreams of [PERSON] can come true .	2
She is right .	8
She is the most immoral young lady I have ever seen .	3
I'm really glad to meet you . - Mr. [PERSON] .	8, 5
You got our package back , man .	5, 7
No way .	8
Oh , you just left her ?	6, 7
It's as if ordinary human beings , living ordinary lives , had suddenly vanished from the [LOCATION] , and the world was suddenly full of butterflies shaped like people .	7
No . Wait .	2
Nothing .	1, 6
Oh , boundless heaven and earth Help me !	4
Altitude ? - Altitude . You want some altitude ?	1
Here they come !	2
I mean , it wasn't a bad little table .	6
Now he'll be able to have everything he's always wanted and couldn't afford .	2
You're gonna make me swear on the Bible ?	4
What a nasty man .	3
Smoke , fire , oppressive heat , as Colombian and Jamaican drug fiends again transform [LOCATION] into a slaughterhouse .	3
Wait a minute , I'm ahead of you .	7
I didn't know ... that she was in trouble .	6
Then , you know you've got a shitty witness .	1, 3
We need an IV right now !	7
You know , you could pay me . That's one way to break the ice . Oh , yeah , I'm sorry .	1
But . .	6, 7
Two years ago , you asked my father my hand .	5
C'mon , rest awhile girl .	4, 6
I'll give you a cigar . All right .	5
Who the hell asked you anyways , huh ? - Shut up !	1
Now , there was a possible sighting two days ago in the [LOCATION] .	2
Then take my advice .	8
And in that , you will be essential , mon ami .	8, 2, 5
So you do not recognize me ?	6, 7
Snap out of it ! He took my [PERSON] !	1
I think I've finally found a sport I like .	5
Beautiful morning .	5
He likes to kick the shit out of white trash like you , boy .	3
Ooh ! Oh ! In the name of the holy father ,	5
You were terribly in love with her .	8, 5, 6
Whoops .	4
I don't claim to be some kind of brilliant psychologist .	1
Hey , that's got a nice ring to it , kid .	5
What's all this for ?	7
Forget it , that's enough .	1, 6
Darling , he'll never be able to support you .	4
Don't look at me with those soft - boiled eggs .	1
Of course I'm sweating , you moron .	3
He's one of the twins and not what you call completely there .  	4
How do you take it ? Ah , just like that .	2
What intelligent devils !	8
Are you kidding ?	1, 7
I don't think she's intelligent either .	3
And as long as you've got this wedding ring on , you've got me .	8
So welcome to Elysian Fields .	5
Not you . Not Agent [PERSON] . Me .	6
But you make one slip , just one and we'll see how long you survive in my cage .	1, 2
[PERSON] , why don't you take your coat off and stay awhile ?	2
I'm glad to hear that .	5
Did you tell him what a great success it was ?	5
The Presidential Commission has empowered me to take it in my care .	8
He stepped in front of a bullet for me once caught it in his left hand and shoved it up the punk's ass .	3, 7
Don't you want to say anything to these people ?	1, 2
I never thought I'd see the day . Will you move over June , I can't see my knockout of a granddaughter ?	6
I slaved for you for over ten years without even a raise or a promotion .	1, 6
There are you , free to come and go as you please , and you choose to stay here .	7
I view with alarm the influence over you of this Bolshevik lady .	4
Out there , you got me a little wrong .	7
You got something to say about our plan ?	1
Just put on your coat .	1
Waiting for an answer .	2
I really need your help , Mr [PERSON] .	8, 4, 5
Go away .	1
He's come for the king . - You snake !	3
You've got a gun .	7
It looks very nice on you .	5
Well , we're there for the oil . Let's not pretend .	1, 3
You got my respect and silence , [PERSON] , okay ?	8, 1, 4
You got ta be a real putz to wear a white coat around here .	3
Grown - up men playing with monkeys .	3
The monster ?	4, 7
Go ahead , man to man .	1, 2
What a shame .	6
You're an asshole .	3
How did it go , [PERSON] ?	2, 5
I love [PERSON] .	8, 5
Happy ? !	1, 3, 6
You don't know ?	1, 2
Uh ... Yes ? No offense , but I think	1, 2
It's a small part , but the producer said the next picture I'll have a bigger part .	2
But I believe what the prosecutor said .	8
Glad you liked it , Grandfather .	5
What I say is , why go on living with them if they can't stand them ?	7
I will have no dealings with the Grand Duchess nor her representative .	1
We thought they might be weapons directed against us .	4
You may believe what you like .	1
Please don't cry anymore .	6
Subject is violently antisocial given to delusions of godhood . And he's hopelessly addicted to narcotics .	6
You better have something for me .	2
You want to know something interesting ?	8
Some of you think you can outsmart me .	8, 1
Did you remember to get my dress ?	2
[PERSON] hits the ceiling and throws me out .	6
Like hell it isn't .	1
Then I'll take her when you're dead !	1
I think I do .	8, 5
What the hell are we doing here ?	1
He got a little sick .	6
That was good .	5
You didn't know he's back ?	7
♪ The colors of the rainbow ♪	5
You're afraid of what may happen if the war comes ?	4
Mr. [PERSON] ... put the ball away and sit down !	1
And yet with all that ... they still want to try it again ?	4
Whatever I was , that was a long time ago .	6
How come you adopted me ?	2
You disapprove , sir ?	6, 7
I've always thought a lashing with a whip would benefit you immensely .	3
Wasn't that wonderful ?	5
I can't stand this spic shit .	1, 3
What if he kills [PERSON] ?	2, 4
You got to kill him , [PERSON] , now !	1
As part of this amnesty it will not be necessary for officers to do manual labour .	5
I'm sorry for what happened .	8, 4, 6
You've made no protests yourself ?	7
In hospital he'd hide cigars and brandy all over the place .	3
It would have been deliciously wicked .	5
It was a pleasure to have the general here .	5
I didn't say that .	1
Which future has God , if there is a God , chosen for man's destiny ?	4
You're out of your mind . - The prosecutor will explain everything when you see him .	1
Condition Zebra alert .  	4, 7
[PERSON] , I thought you'd be amused .	2, 7
Now it's all one big mess .	6
Mr. [PERSON] , the man is honest . I can trust you .	2, 5
Get in the car .	1
Take this and start a new life for yourself . Somewhere off this bus , okay ?	8, 5, 6
I want you to stay on the civil case .	8
You don't get it , do you ?	1, 3
Much obliged !	8
Cause we just got a package , and I don't see his address here in the ...	4, 7
I just can't believe [PERSON]'s dead .	6, 7
What a place to be stuck .	4, 7
Very funny . Oi , oh , officer .	5
UFOs are as real as the planes flying over your head .	8
I love champagne .	5
So do you draw all the dads and their kids ?	2
Screw the captain .	1
It was an accident .	4
Let's go to bed .	2
So , a rose is not a rose , and an umbrella has nothing to do with rain .	7
Good to see you again , friend .	5
But I'll meet you at the [LOCATION] movie theatre .	2
They made me mad .	1
Now is as good a time as any to learn .	2, 4, 5
I saw her just once more after that wedding night .	6
[PERSON] , look out for the Red Car !	4
And if you don't understand plain English ... maybe there's something else you will understand .	3
You don't bring enough men with you .	4
Well , sweetie , it's tomorrow .	2
Y' all ready to go camping ?	2
How much simpler it would be , for so many of us , if [PERSON] had not found it necessary to look for a new face .	1
What do you say we all dance ?	2, 5
How did [PERSON] and the newspapers get the [PERSON] story before you ?	7
You came up here to kill me , didn't you ?	4
You know he's got the missiles . I know he's got the missiles .	1
Our prayers were answered .	5
Tried to save a girl , kind of queered his mind too .	1
The Navy can't do without me here , the island might sink !	1, 4
She must've struck something .	5
They have lost the ability to communicate and reason .	6
I know that old man .	8
I saw an ad for a young lady that looked like she could have been or at least once a week .	6
So what do you want to do ?	2
I was dreadful .	6
Don't go away !	4
Thank you all for makin' it unanimous .	8
You like our wide open spaces .	5
This wasn't supposed to happen .	2, 4
We're onto something .	8, 2, 5, 7
Well , Dad , here's a hint .	1
Goddamn , is that bitch on the rag or what ?	1
What the fuck man ?	1
You got time for a drink ?	2
Come on inside .	2, 5
Can't pay his bills .	3
While you are studying it , I will eat .	2
The service in this hotel is terrible !	3
Don't give me that . I know enough about weights and measures to know holes aren't allowed , no corrective holes .	1
I just think you're not gonna be able to go back to what you were .	6
A strange ship was sighted running out of the storm .	4
The people of my state need permanent relief from crooked men !	3
At my age , you got ta think about retiring .	6
Only holy people may enter this sacred place . Stay where you are	6
Can't you walk faster ?	1
Why are you crying , Mistress [PERSON] ?	6
Turk , don't make fun of me .	1
No more out of Mr. fucking [PERSON] .	1
Hey , you can't talk to me like that .	1
I always knew there was something strange about their crowd . What are you talking about ?	4
I get seasick . I absolutely hate boats .	3
Yeah , yeah , I'm aware of the regulations .	8, 4
I think I'm gonna faint .	4
My unreliable helmsman failed to warn me about that .	1, 6
I'm afraid he's been stalling .	4
Now get out there and cook !	1
Why can't they jam that ?	2
I was as close to him as I am to you .	8
Well , now I want to be loved .	8, 4
Looking back ,	6
Oh , he's the one who instigated this calamity !	1, 7
What is your work ?	2
[PERSON] hates caffeine .	1
They're burying ' us alive !	4
Oh , I've been hearing about you for a couple of years now .	2
I'm almost done .	1
Do you remember the night you proposed ?	8, 5
Hey , what the hell are you going to Frenchy movies for , anyway ?	1, 3, 7
You think I like playing sick little games with you ?	3
Yeah , I knew it ! He said it's only a guess ! I still say it's p.M.S.	7
Look what just came in .	7
I get this he runs a good operation  shit . 	1, 2, 7
Do people think I'm a carbon copy or a second - rate pretender who only got a shot because of my skin tone ?  	1, 4
There never has been a [PERSON] at your hospital .	1, 2
Kelly's dead ?	4, 6, 7
We're going around in circles .	1
But [PERSON] never speaks with me , it will be possible to avoid it .	8, 1, 6
I'll see you inside the party .	2
Think that lady in the red dress'll go home with me ?	2
While you two pricks are congratulating yourselves , you better realize maybe you put [PERSON]'s neck in it .	1, 4
Clowns carry horns , little rubber ones .	1
My back !	6
We're together on that , aren't we ?	8
It make me sick .	3
Oh , hell !	1, 3, 4, 7
I'm glad you told me about this .	8
Okay , well , it doesn't really matter now .	8, 6
Don't start that again .	1
Why don't you chop it off , [PERSON] ?	2
But there's no dirt in here . - I know .	7
I'm gonna play games on your fucking head .	5
What are you doing ?	7
How do you mean that ? And now you will laugh .	6, 7
♪ What a wonderful world ♪	8, 5
[LOCATION] needs new gigolos .	2, 5
Is it supposed to work right away ?	7
Well , I. . . my dad was a high - powered accountant .	4
That's how friends roll .	5
You can't take the car !	1
Haven't I told you you're gonna get your melon opened ?	4, 5
Yes , but if we can't , we lose [LOCATION] .	8
So the basic problem is that I'm still around ?	1
Make it up to you .	8, 1
Their flowers are dead .	6
Ornery as a mule , just like [PERSON] . - l heard that !	1, 7
They must have been tracking her or waiting for her to show up .	3, 4
I told you I'd get those pearls tonight , didn't I ?	1
I wonder what he's got against the marines ?	7
I'm gonna name her mommy .	8, 5
Dad , I met this really nice girl today .	5
Charlie , have you thought how horrible it must have been ?	6
The doc just looked at us and shook his head .	6
We have a winner !	5
Mr. [PERSON] , could I keep the book till you come out ?	8
Would you stop harrassing her ?	1
But come sit for a minute .	2
Looks a lot like your house , doesn't it ?	7
There she was , the world's number one symbol of desirability , on display all over the world's number one showroom , with the world's number one customers wanting to buy , and nobody wrapped her up and took her home .	4, 7
Anybody connected with drugs deserves to die .	3
Mark : Once upon a time , there was a little boy named isaac	8, 2, 5
You'll punish me .	3
If [PERSON] was drugged , do you believe what he's saying ?	2, 4, 6, 7
Is he well ?	2
There must be an error .	4
I know you are , but this just got times harder for me to get out of .	4, 6
Except when you're throwin' up in the back of [PERSON]'s Chevelle .	3
Do not leave fingerprints !	1, 4
I've been stuck here for 20 , years .	6
Nothing's ... ever right .	6
♪ Happy blessings to you God blessings to you ♪	5
[PERSON] .	8, 5, 7
Junior , he loves cats .	5
Your back prevented you from practicing six hours a day .	6
We want you to rob drug transport .	1, 2
What are you spying on ?	8, 2, 4, 7
I knew you'd come . I was ... I was waiting !	1, 2, 5
Will she be back soon ?	2
I was running out of things to say .	6
That's why I love them .	8, 5
l 'm in love with a cop from the . 	8, 5
Wait for me !	5, 7
It's [PERSON] ! [PERSON] from [LOCATION] .	2, 5, 7
Easy , brother .	7
You mind your own business .	1
Well then let's have fun , baby .	2
Come on , cut that shit out .	3
I'm sure you feel the same about me , so let's stay out of each other's way .	3
The reason Congress enacted Section in the first place was because of a lawsuit filed by [PERSON] , the boiler - room securities operation founded by [PERSON] , better known as The Wolf of Wall Street .	1, 2
This is my show . I'm calling the shots .	1
Let's go to some other place .	2
You can't order me to do that .	1
I thought that's when my life really began .	2
Why aren't you helping [PERSON] with my surprise birthday party ?	7
He was sensational .	5
You can't see him because you're not dead yet .	1
Are you in tonight ?	2
Will you help us , please ?	8
It will be refused , the Lady Tadminster it can open the party in the first day , and you .	1
But that's what's so marvelous .	2
Look in my mouth .	8
Young lady .	1
You gonna come in soon ?	2
I was frantic .	4
Abandoned ... Like someone left for dead ...	6
We were all praying for a miracle .	6
Don't fight , [PERSON] .	1
It was our last evening together .	6
I want you to get a hold of yourself .	1
I've been robbed .	4
It's just fear and priggishness to believe in limits .	8
It's a miracle they lasted as long as they did .	7
I'm doing very well on my own .	1
I'm not interested in anything you have to say .	1
I know exactly where I am .	3
It might help .	2, 5
You made Case feel like shit tonight 'cause he was scared .	3
I'm going to have to leave the country if I ever want a breath of air .	6
Col. [PERSON] has reported the theft of a gold ring . A gold ring .	1
You think I got potential ?	2, 7
Cos I think that people die sometimes when they don't wan na live no more .	6
Oh , is that what you told the general ?	7
Now he was going to pry it open .	7
Great principles don't get lost once they come to light .	5
How do you keep something secret ?	4
Except never take drugs and go to AA meetings for the rest of your life .	1, 6
What a dump .	3
Mr. [PERSON] , if I can do anything for you ...	8
You don't have to protect me .	8
He used to use his hands .	6
All right , so we got ourselves a real live rat , right ?	3
Madam President , people will die .	4
[PERSON] , will you ever get out from under Rocky's shadow ?	6
He thinks he knows me .	1
Most people think they're beautiful dresses on beautiful women .	3
This is yours , sir .	8
He's less a gigolo than anyone in our immediate company .	8
I can hear it ring from the boat . Let it ring a Iong time .	2, 5
You told me that when you overwork you get nervous and lose weight .	6
The questions will float to the surface .	2
Sink that longboat !	4
We are happy !	5
Like a new song .	2, 5
Here is one of the greatest attractions you'll ever see in your born days !	5
We have means of controlling it .	8
And you think I don't ?	1, 3
It's good .	5
I'm gonna cut you a little slack .	8
And time was running out fast .	4
It's a damn nightmare .	4
The preparations for my departure ...	8, 6
A boy that I watched grow up was in that car that you threw the hornets into .	3
After this , I doubt we shall be allowed to live at all .	4
There's nothing more commercial than a long - shot comeback of a down - on - his - luck underdog .	1, 3
Poor boy who made it , ex-cop .	6
Well , I hope you've managed to get the money , Mr. [PERSON] .	2
These are the ministers and advisers where you can trust .	8
Fuckin' machine took my quarter .	1
I hear the gossip at work about your marriage ...	8
I'm looking for JR.	2
Drop that gun and let me walk out .	4
Self - defense .	4
You're going to do all right without me .	8
Looks like he's in great shape , don't he ?	7
I've been trained for it .	8
Just let me take her back with me .	8
Cops !	7
What you looking for ?	2
I had no idea you were so beautiful .	5
Suppress it .	3
Your breath stinks .	3
The whole point is just to enjoy yourself .	5
Then he divorced my mother to be with another woman . And he took his money with him .	1
Ah . You believed in it and you fought for it .	7
We've just won the White House .	5
Professor ?	7
Before I heard about the bombing .	1, 4, 6
You boys hungry ?	2
Um , look , can we just forget last night ?	4
Have a drink with the unwashed .	3
We're gonna come out dead !	4
I would wear the same gown I wore when you were my favourite beau .	5
You going out tonight , [PERSON] ?	2
You mean to say I have this all to myself ?	7
Who the hell are you working for ?	1
She pulls back on the trigger and at that moment I wake up screaming .	4
Then there's the third murder , and we can't find any connection between this one and the first two .	1, 6
I'm sorry , the coffee's gone .	6
Because soon you'll be history . That's enough ! In the name of God ,	1
Since when is the disppearance of a human being considered trash , in your estimation , Ms Bantam ?	3
The way I thought it might be .	8
You can't charge me for directions .	1
It's a question of principle .	1
You ain't gonna take no car .	1
I'll get right back to you .	2
She seemed too restless , too tense , too withdrawn , and [PERSON] , when he wasn't looking at [PERSON] , he was watching [LOCATION] look at Maria .	6
I've looked all over for shoes like that .	2, 5, 7
I'll argue with him about it later .	1
We've created a problem .	4
But hair just keeps on sprouting .	1, 3
I must be going senile .	6
For one thing , it'd get you off the streets .	2
feet and rising , sir .	4
Oh , I'm sure they do .	2
He certainly can .	8
Figure out which one you are and call back .	1
Oh , she did !	5, 7
Read what the critics say ... wonderful !	5
Oh , no ?	4, 7
We are witnessing the making of a legend , [PERSON] , the kind of thing that front covers are made of .	8, 2, 5
Get ready .	2
Let's be honest .	8
lt's beautiful .	8, 5
Case is here !	5, 7
Isn't that a dog up there ?	7
The case against him it will be filed comme ça !	2
Her father murdered her mother .	3, 6, 7
We'll have help up to you real soon .	8
They ended up deciding that , you know , I could go ahead and do the oral argument .	4, 5, 6
A few years ago , you was a truck driver .	7
You have changed .	7
Have you been drinking ?	3
So be it . I will be the first corpse .	6
However , just at the moment , I have drinking to do .	2
I'm sorry , I didn't mean to , you know ...	6
It can look like [PERSON]'s knickers for all I care , just as long as I get off this stinking boat !	3
Go get them ! No !	1
Show him who's boss !	8, 2
Where's my mom ?	4
Come on , Mr. [PERSON] . Really .	1
I knew you were gonna say that .	3
The best died there .	6
♪ A media - opoly ♪	5
Then you'll finally be rid of me .	2
It wouldn't have helped our case .	6
If you soltáis ... I will kill you .	1
You could be so much more .	8
Good game tonight , guys .	5
You're getting the deluxe treatment .	5
Good - bye , [PERSON] .	6
The elevator will get you up in three minutes .	2
The public's not calm .	4
I'm not lying .	1, 6
You're the serious one .	1
No time to argue .	1
I don't wan na have a stinkin' fight again .	1
We got a new man coming in .	2
My boy [PERSON] !	5
Make me look good .	8
I'm sorry , I didn't think .	6
Oh , Mammy , this house won't seem the same without [PERSON] .	6
They came to help .	8
Autumn , get out of here ! Don't fight anymore !	1, 4
You know the table is good .	5
Uh , here's , uh , here's this .	6, 7
Very nice , [PERSON] .	5
Your parents have been calling all day long .	1
Who was killed ?	2, 4, 6
Most guys couldn't even handle you .	3
I know you have .	8
Uh , it's an interesting case .	7
Well , boy , let's see if we can do something to refresh that rusty , old memory of yours .	2, 4
An engineer ?	7
These words are useless .	3
I'll still be alive , when you're all dead !	1
Looks nice .	5
Get ice - cold soda !	2
The island's ours ?	7
I was gonna have to stab up that lanky prick for trying to take my package anyway .	1, 3
Please don't hurt us .	4
Any news yet ?	2
And then he'll run our lives and take our money .	1, 4
I hope [PERSON] wasn't bothering you .	8, 2
You know , ten Colombians and Scorpios armed to fuck all .	1, 4
Nobody can call me the things he did .	1
You will order your officers to work .	1
I'm sentimental about old people .	6
The man you love more than anyone is inside the church waiting for you .	5
No , he's different ! Please , Father , for me !	4, 6
Listen , I'll pay his fare . - Fine .	2
Look !	5, 7
I said hold your goddamn fire !	1
I was thinking that everyone that played a part in the damage to my child should be held responsible .	1
This is why I have never been able to love anyone else before you .	8, 5, 6
Wasn't it hard to ... To live with yourself After completely wimping out	6
If it would have helped , I'd have yelled it in the streets .	1
I just didn't believe it .	7
You go out , call him up , tell him to surround this place with police .	8
Now , then I find myself in [LOCATION] with no money .	6
I'm going to testify about [PERSON]'s conduct of the Polhemus investigation .	2
They're so nice to have .	5
I might have expected your thanks for what I've done this day ... but very well , let it be so .	1
Now , that's something .	5
Do you think my wife is beautiful ?	8, 2
[PERSON] and I really did care about you .	8
You wan na stay out of prison , right ?	1
I'm a judge of human behaviour .	1, 2
Okay , we're all going into the vault now .	2
There are demons in the court so I must get involved in affairs of state	2
A place to belong .	8, 2, 5
Open the door , asshole !	1
It looks different here .	7
Since -- what ?	1
You must love someone else .	6
That'll be a good start .	5
Hey , put it together for [LOCATION] !	2
No , I'm glad to meet your daughter .	5
Pretty sweet .	2, 5
Hey , fella .	5
Finally .	1, 2, 5
Let me see .	2
Well we're looking at major indictments , sir .	4
You and me getting ready to go to the opera house in [LOCATION] .	2
Did you write me that letter or not ?	1
I'm still wearing a bow tie so I can look just like you .	8
And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .	1
I'm ashamed of you , [PERSON] .	3
I know a good bar here .	5
You're right . But it wasn't me , sir .	7
My uncle is dead , I swear .	7
The absence of a plan is ridiculous .	1
I wouldn't trust anybody .	4
What are you good for ?	3
I'll ... bet the size of the pot .	8
We must have missed him .	6
Oh , you're really a much better dancer .	5
This is no time for jokes .	1
He seemed like a really nice guy .	5
Tell [PERSON] I'm coming home .	2
You want to sit around drinking and feeling sorry for yourself .	3
Not right away ! That wouldn't be fair .	4
My heart is yours , [LOCATION] , but I can never be .	6
Take care of my son here .	8
With all the contributions of the Sea Hawks ... we can not possibly match [PERSON]'s vast resources .	4
He can't do it in the club so he makes me call [PERSON] outside , and he jams him .	7
Bring him .	1, 3
In other words , you don't know ?	7
I'm supposed to have some interesting dreams .	8, 2
You and [PERSON] just weren't right for each other .	6
I just showed courage . - How many fingers you got left ?	2
Just take your meat and get out .	1
He's told you all he knows .	8, 2
I knew it !	5
I can take care of myself !	1
It's high time I told [PERSON] a thing or two .	2
According to some estimates we can not track . trillion dollars in transactions .	3
And when I'm dead on the altar of my country , I hope your conscience irks you .	3
Can't anyone love me without it being life or death to them ?	6
[PERSON] , that's a winner .	5
I suppose when a fellow bucks up against a big organisation like that , one man by himself can't get very far .	4
Well , I don't know . [PERSON] told me to bring it out this weekend so he can have a first look at it .	3
You go when I tell you to go .	1
I never heard anything more true .	8
[PERSON] fucking christ . - $ ? - Yes , sir .	1, 7
You heard what she said .	1
I don't like to take mortgages from widows .	3
Pure acid !	2, 3, 7
I think Mr [PERSON] is disturbed because he can't take you to the party and dance all over your feet .	3
