text	label	labelarr	first_label
Where'd they go ?	2, 7	['2', ' 7']	2
In your case , I wanted to test your loyalty to your companions .	8	['8']	8
Things like this create a bad feeling .	6	['6']	6
Well , I love a drink .	5	['5']	5
Dorcas , it brings me stamps , please .	1, 3	['1', ' 3']	1
I'm sorry about your father .	6	['6']	6
I hate these things .	1, 3	['1', ' 3']	1
Hey .	8, 2, 5	['8', ' 2', ' 5']	8
Uh , off message throughout .	1, 7	['1', ' 7']	1
You wan na concentrate now . Back straight , stomach in nice and tight , ok ?	2	['2']	2
Is there anybody here ?	2, 7	['2', ' 7']	2
Wonderful !	5	['5']	5
Well , that wasn't very nice .	7	['7']	7
That's a weapon in your world ?	7	['7']	7
You forgot your shoes .	7	['7']	7
You can not come to the hospital , [LOCATION] .	6	['6']	6
There's a certain amount of hurry up involved here . My life is in danger . Three ten .	4	['4']	4
If [PERSON] sees a phone company subpoena , now , she'll bust a gut .	4	['4']	4
I know .	8, 5	['8', ' 5']	8
Morning . - Hey , babe !	8, 5	['8', ' 5']	8
Couldn't agree with you more , Mr. [PERSON] .	8	['8']	8
What a comeback , [PERSON] ventura !	7	['7']	7
But she can't say that , which means all [PERSON] stole was a meaningless stack of papers .	2	['2']	2
No . - Really not ?	2, 4, 6, 7	['2', ' 4', ' 6', ' 7']	2
Death everywhere and you and me in the middle .	8, 6	['8', ' 6']	8
I'd never have taken the job if I hadn't wanted to keep us all together .	8	['8']	8
You taught me a lesson , man .	8	['8']	8
You proud to have that animal for kin ?	1, 3	['1', ' 3']	1
I'm pleased to be wrong .	5	['5']	5
I must find a place to get out of this downpour !	1	['1']	1
Just get the head .	2, 3	['2', ' 3']	2
Yes , I'm afraid I was misquoted .	6, 7	['6', ' 7']	6
What about dynamite ?	7	['7']	7
Let me talk to her . Let me just talk to her .	2, 4	['2', ' 4']	2
That wheel is enough to drive anybody crazy .	1	['1']	1
I. . . didn't think I'd ever see you again .	7	['7']	7
I wanted to hurt a pimp . That's what I wanted to do .	1, 3, 6	['1', ' 3', ' 6']	1
Too bad about those eggs , [PERSON] .	8, 4	['8', ' 4']	8
There's nothing more commercial than a long - shot comeback of a down - on - his - luck underdog .	1, 3	['1', ' 3']	1
I regret the things that I done .	3, 6	['3', ' 6']	3
My life now only has room for truth .	8, 2	['8', ' 2']	8
I didn't recognize you standing up .	7	['7']	7
She had my finger , you know ...	6	['6']	6
I'm not gonna sit here and be accused of things without any evidence !	1	['1']	1
Will you take me away from here ?	2	['2']	2
Are you dumb ?	1	['1']	1
Really , I've never been happier .	5	['5']	5
Do all directors come to ask young women to sit with their producers ? Um , not all .	7	['7']	7
Told you not to call me that .	1	['1']	1
That's right , babies .	2	['2']	2
I don't believe it .	7	['7']	7
Uh , people will get hurt .	4, 6	['4', ' 6']	4
Turn back the clock ?	1	['1']	1
Let's talk about something else .	3	['3']	3
Yes . We will be there .	8	['8']	8
And I'll get even better after the wedding .	2	['2']	2
No pension plan , no insurance .	1, 6	['1', ' 6']	1
Yes sir , the thrill of the open road .	2, 5	['2', ' 5']	2
I never had the chance to apologize to her .	6	['6']	6
Or we have a problem with the judges .	4	['4']	4
Father [PERSON] told me that you had to keep your hands to yourself .	6, 7	['6', ' 7']	6
I like him so much .	8, 5, 7	['8', ' 5', ' 7']	8
In that case , why don't you go to that last table ... sit down , shut up , and don't move ?	1	['1']	1
We'll just go and have a great time anyway , huh ?	5	['5']	5
I'm paralysed with happiness !	5	['5']	5
I hadn't spoken to him in and a half years .	2	['2']	2
I don't want this !	7	['7']	7
It's a matter of life and death !	1, 4	['1', ' 4']	1
There must be somewhere in [LOCATION] where one can find sanctuary to think .	1, 3	['1', ' 3']	1
I'm surprised you didn't buy more than one dress yesterday .	7	['7']	7
♪ They knew it wasn't beef ♪	5	['5']	5
Bye .	6	['6']	6
[PERSON]'s loaded to her fingertips with love for you .	5	['5']	5
Duck !	7	['7']	7
Who knows what it might do .	4	['4']	4
It may be the only way to unite us in this incredibly divided world of ours .	2, 5	['2', ' 5']	2
Uh , here's , uh , here's this .	6, 7	['6', ' 7']	6
I'm from sacramento .	5	['5']	5
[PERSON] thinks he's such a nice dog .	5	['5']	5
She's alright . She's better than before .	5	['5']	5
Um , should I wait for you ? No , no .	7	['7']	7
How do you know what I want ?	6, 7	['6', ' 7']	6
Enjoy with me The pleasures here above	5	['5']	5
Look at us . You feel cursed because you were born with it .	3	['3']	3
I don't like no one .	3	['3']	3
Anyway the orders promoting him to Detective , First Grade , have already been cut .	6	['6']	6
I ain't got any money .	6	['6']	6
They'll learn quickly .	8, 2, 5	['8', ' 2', ' 5']	8
For God's sake , say something .	4	['4']	4
Well , I'll tell you one thing .	8, 2	['8', ' 2']	8
You know what to do .	8	['8']	8
We'll be out of this tunnel in a minute .	2	['2']	2
Besides , I have to go to the goddamn senior honours dinner tonight .	1	['1']	1
Look who's here .	3, 7	['3', ' 7']	3
Ten million's even better .	5	['5']	5
Now , you - you don't understand , [PERSON] .	1	['1']	1
You homo !	3	['3']	3
Her medicine !	7	['7']	7
She would be pained to hear you say that .	6	['6']	6
[PERSON] ! What the -- ?	1, 7	['1', ' 7']	1
But I owe [PERSON] something .	8	['8']	8
We've created a problem .	4	['4']	4
Doesn't look like there's any other damage .	5	['5']	5
I want the whole morning edition a blast to push him off the floor .	1	['1']	1
Forgive me , Father , for I have sinned .	6	['6']	6
How much time has the world got ?	4	['4']	4
Hey , it's another delightful day here in vacation land .	5	['5']	5
But there's something you may not know about us .	4	['4']	4
Of course I'll help you .	8, 5	['8', ' 5']	8
We speak now tonight ... And these things are never spoken of again .	8, 5	['8', ' 5']	8
So , I heard you we're going to propose to [PERSON] in some theme park .	7	['7']	7
With the transit trouble , I didn't expect to see you on time .	7	['7']	7
Absolutely .	8, 5	['8', ' 5']	8
You have literature , art treasures , My collections , and even music if you so desire .	2	['2']	2
Father , maybe we could ... Go in the other room and speak privately ?	4	['4']	4
He's wrong for us .	3, 4, 6, 7	['3', ' 4', ' 6', ' 7']	3
Oh yeah ? You wan na tell me why ?	1	['1']	1
Apollo won't know what hit him .	2	['2']	2
They won't care about one girl when thousands die every day .	1	['1']	1
Ha ha !	7	['7']	7
A traitor !	1, 3	['1', ' 3']	1
You are defeated but you have no shame .	3	['3']	3
The general talked about killing the president .	3, 4, 7	['3', ' 4', ' 7']	3
Hey , don't shoot !	4	['4']	4
Violin , soccer , track , friends , uh ... memories with my brother and sister playing .	5	['5']	5
She had a bit of an accident back there .	4	['4']	4
Grandfather , I think it's a good day to die .	6	['6']	6
I can't say it on the phone , but I need you to help me .	8	['8']	8
I'm gonna take you to a nice , quiet place .	8	['8']	8
Do something with yourself for pity's sakes .	1, 3, 7	['1', ' 3', ' 7']	1
I know you were deeply touched by [PERSON]'s gesture ,	5	['5']	5
I knew someone would get killed , but nobody listened .	1, 4, 6	['1', ' 4', ' 6']	1
More chanting ! Father !	2, 5	['2', ' 5']	2
And , uh , I love to experience pleasure .	2, 5	['2', ' 5']	2
I can't tell you how glad I am to see you .	5	['5']	5
But even so , it is quite awful when nobody in loves , is not ?	6	['6']	6
Everything's fine .	5	['5']	5
If it were our plane , it'd be crashing .	1	['1']	1
Doctor , how long has this stuff been going on ?	4	['4']	4
All I want to do is make things as difficult as possible .	1	['1']	1
It's time for us all to stand up and be strong .	2	['2']	2
When she left me , I lost all pride .	6	['6']	6
Get off of that train .	1	['1']	1
How dare you , sir !	1	['1']	1
You better come back .	8, 2, 4, 6	['8', ' 2', ' 4', ' 6']	8
How can I help you ?	8, 5	['8', ' 5']	8
And I might add that he has some rather strong ideas On the subject of sea monsters .	8, 2	['8', ' 2']	8
Not a fucking dent !	1	['1']	1
Isn't that extraordinary ?	5	['5']	5
That's wonderful .	5	['5']	5
This is ridiculous .	1, 3	['1', ' 3']	1
Looks like a fucking choirboy .	1, 3	['1', ' 3']	1
She got what she deserves .	3	['3']	3
I'll not go !	1	['1']	1
I wanted to buy you something lovely and exotic .	5	['5']	5
No , but he's not feeling well .	6	['6']	6
In fact , I'm not doing anything tomorrow .	2	['2']	2
Now , you may kill me , but if you don't come to your senses and throw it down , they're gonna kill you .	4	['4']	4
It is not a pivotal project in your career .	6	['6']	6
May I ask what you're planning ?	4	['4']	4
Just give me five minutes .	2	['2']	2
Think I'm a fool ?	1	['1']	1
I'm gonna cut you a little slack .	8	['8']	8
I'll swear that into my own grave .	3	['3']	3
And then , I see your face .	5	['5']	5
Cool , cool , cool .	5	['5']	5
You mustn't speak to Little Big Man like that .	1	['1']	1
I must have been crazy .	7	['7']	7
How can I take time when I know what's going on ?	6	['6']	6
But I would love to hang out with you again .	2, 5	['2', ' 5']	2
Alright son , start passing ' that chicken' fore it loses its juice !	8, 2, 5	['8', ' 2', ' 5']	8
I'll tell you later .	2	['2']	2
Personally , I think it makes a very lovely transmutation .	5	['5']	5
That must be good .	5	['5']	5
People can be goddamn cruel .	3	['3']	3
Bullshit .	1, 7	['1', ' 7']	1
All right , boys and girls , come on out .	2, 5	['2', ' 5']	2
Liar !	3	['3']	3
You are one ugly mother ... Motherfucker !	3	['3']	3
I don't think you should drive .	4	['4']	4
You have changed .	7	['7']	7
Hit him , [PERSON] .	8, 1, 5	['8', ' 1', ' 5']	8
Nemo has won him over completely .	8, 5	['8', ' 5']	8
It's an insult .	3	['3']	3
I've got Scotch , I've got vodka , there's a nice Chablis ...	2	['2']	2
Maybe if I do you , then I wouldn't care about losing millions of dollars .	2, 6	['2', ' 6']	2
It's been fun meeting you .	5	['5']	5
Ninotchka , let me confess something .	8	['8']	8
What are you calling me [PERSON] for ?	1	['1']	1
If we quit , some Federal judge take away your money .	4	['4']	4
Now , don't tell me Shooter's your oldest and best friend .	3, 7	['3', ' 7']	3
Who would do something like this ?	1, 2, 7	['1', ' 2', ' 7']	1
I just can't believe [PERSON]'s dead .	6, 7	['6', ' 7']	6
Typical !	1	['1']	1
Two against one ?	1, 4	['1', ' 4']	1
Lovely lads and so natural .	8, 2, 5	['8', ' 2', ' 5']	8
If we are to be defeated , then we prefer to be defeated ... as human beings , not as barbarians .	1	['1']	1
You needn't worry .	8	['8']	8
We haven't enough fuel to hold the keel down .	4	['4']	4
Where the hell where you all night ?	1	['1']	1
But how can there be a question ?	7	['7']	7
So what ?	1, 7	['1', ' 7']	1
How come there is no fire in the room ?	4, 7	['4', ' 7']	4
We'll make the deal .	8	['8']	8
If you don't find [PERSON]'s killer , we are both history .	4	['4']	4
If it would have helped , I'd have yelled it in the streets .	1	['1']	1
You're nothing but a mad scientist !	1, 3	['1', ' 3']	1
It's three years since my last confession .	4	['4']	4
We got ta let him out !	1, 4	['1', ' 4']	1
Ever since Case took over the firm .	1, 3	['1', ' 3']	1
Satan's spirit flew right out of my TV set And into my soul .	1, 4, 6	['1', ' 4', ' 6']	1
You have not even taken off his shoes .	3	['3']	3
But there is a problem .	1, 6	['1', ' 6']	1
[PERSON] , I've got something really big for you .	2	['2']	2
Good - bye , [PERSON] .	6	['6']	6
He runs the best parish in the archdiocese , and he's a good man .	8	['8']	8
Happy to have you with us .	5	['5']	5
The only ones who see a UFO on TV programs are the rednecks .	1, 3	['1', ' 3']	1
He wants to die !	4	['4']	4
Stay back !	1, 4	['1', ' 4']	1
Good evening .	5	['5']	5
You're pretty enough to do other things .	5	['5']	5
All right , but let me know what you're doing .	2	['2']	2
When I wake up I tell them what I dreamt .	2	['2']	2
You can tell the [LOCATION] that's just the beginning !	1	['1']	1
He might win a few fights , but a Rocky Balboa he'll never be .	1, 3	['1', ' 3']	1
You think top gun up there will be able to tell if somebody's following us ?	1, 4, 7	['1', ' 4', ' 7']	1
I set up a lunch for you at The [PERSON] .	2	['2']	2
What parade ?	7	['7']	7
I must have this ring .	1, 2	['1', ' 2']	1
I think it's a setup . This man ...	8, 2	['8', ' 2']	8
I'm very sorry about that , Miss.[LOCATION] . .	6	['6']	6
Completely out of our hands . - I don't accept that . - It's out of your hands .	6	['6']	6
Yeah , he's a first - class asshole , that's for sure .	3	['3']	3
What makes you so cheap ?	3	['3']	3
What do you want the carpenter for ?	7	['7']	7
Peoples , my stomach's been grumbling , but help has arrived .	2	['2']	2
Seems like it takes a crisis to bring us together lately .	6, 7	['6', ' 7']	6
Love you , too .	4, 6	['4', ' 6']	4
And I love this movie ,	5	['5']	5
Even collects stray boys and cats .	8	['8']	8
Pablo !	1	['1']	1
Let's dance !	5	['5']	5
Lousy bitch .	1, 3	['1', ' 3']	1
Oh , and I need a can of Maxwell House .	2	['2']	2
She's not going to , so what difference does it make ?	1, 3	['1', ' 3']	1
Dad , did you know your bones grow three times as fast at night ?	8, 5	['8', ' 5']	8
My , what a pretty place !	5	['5']	5
I think it's brilliant .	8, 5	['8', ' 5']	8
Don't answer it .	4	['4']	4
They're doing the catering and making rather a horrid mess of it .	3	['3']	3
You see , [PERSON] , no reason to get angry .	8, 1, 2	['8', ' 1', ' 2']	8
Show me how to punish Perseus for this blasphemy !	3	['3']	3
No time to be shy , ladies .	2	['2']	2
Please !	4	['4']	4
There was a group that helped criminals get guns so they could shoot citizens .	3	['3']	3
I don't believe you . - You can't accuse me , sir .	1, 4	['1', ' 4']	1
Leave us the hell alone !	1	['1']	1
I couldn't be certain your apartment was safe .	4	['4']	4
I've never been happier in my life .	5	['5']	5
That's strange , my brother can't drive like that .	7	['7']	7
Try the basement .	2	['2']	2
I don't like to .	6	['6']	6
There's nothing we can do .	6	['6']	6
I said you're smart , but I'm not a fan , OK ?	1	['1']	1
The Lord don't hold with anybody that steals around planting time and he sure don't hold with anybody that steals and then lies and says he didn't .	3	['3']	3
When they looked back , they saw the body of Little Man lie down among his friends .	6	['6']	6
They making it tough on you ?	1, 2, 4	['1', ' 2', ' 4']	1
You want to go ?	2	['2']	2
Also , I don't like nobody touching me .	3	['3']	3
My blood group is very unusual . Look !	2	['2']	2
I'm taking the next plane home .	2	['2']	2
You just go .	8, 1, 6	['8', ' 1', ' 6']	8
Oh , my goodness .	7	['7']	7
You want what you want when you want it .	3	['3']	3
So , I can not imagine , my dear [PERSON] , why you should wish to involve yourself .	7	['7']	7
This doesn't make sense .	7	['7']	7
You look so pretty .	5	['5']	5
When were you going to give the money to the community ?	1	['1']	1
All I care about is power and money .	2	['2']	2
Yeah , yeah , that's a really good idea , because if anybody does come here , it's just me and [PERSON] , and , you know , the little guy .	2	['2']	2
[PERSON] , nice to meet you .	5, 7	['5', ' 7']	5
When I find [PERSON] ...	4	['4']	4
Yeah , I'd like to burn it out of my mind .	6	['6']	6
I don't have any secrets .	8	['8']	8
Whoops .	4	['4']	4
Your hair looks nice today .	5	['5']	5
[PERSON] , I don't mind you being stupid , but this is crazy .	3	['3']	3
And nice earrings for a streetwalker .	3, 7	['3', ' 7']	3
Yes , I do . - No , you can't !	1, 3	['1', ' 3']	1
They won't hurt you .	8	['8']	8
I was the world's nicest guy , and they ruined my life for no reason .	6	['6']	6
Every day it was worse .	4	['4']	4
After that , I don't care if you've found the Holy Grail .	1	['1']	1
When I got back to the hotel , I couldn't sleep .	6	['6']	6
And He was sent to save us .	8, 2	['8', ' 2']	8
Yeah , you might say that .	5, 7	['5', ' 7']	5
Is she crazy or what ?	1, 3, 7	['1', ' 3', ' 7']	1
You must have had a happy childhood .	5	['5']	5
Would you like me to go back and get [PERSON] out ?	7	['7']	7
Ah ... I see it pays to advertise on television .	7	['7']	7
I'll give it to you , [PERSON] .	8	['8']	8
Here [PERSON] is .	5	['5']	5
What do they want ?	2	['2']	2
[PERSON] , are you leaving the company or something ?	7	['7']	7
The best in town !	5	['5']	5
But I want to know why .	7	['7']	7
[PERSON] in office can cause damage .	6	['6']	6
Don't shoot ! Don't shoot !	4	['4']	4
The helicopter has been hit !	4	['4']	4
OK .	8, 1, 3, 6	['8', ' 1', ' 3', ' 6']	8
All right , you take care .	8, 5	['8', ' 5']	8
When have you had a date ?	1, 2, 7	['1', ' 2', ' 7']	1
You might hold this for me .	8	['8']	8
We'd roll it up and have snowball fights with it , you know ?	8, 2, 5	['8', ' 2', ' 5']	8
We're gonna get married .	2	['2']	2
Well , it figured . It was like that from the minute I laid eyes on her .	8, 5	['8', ' 5']	8
Goddamn , is that bitch on the rag or what ?	1	['1']	1
And don't mess with nobody's girlfriend .	8, 1	['8', ' 1']	8
And let me remind you , we lost two key PA's in one day .	1	['1']	1
They took [PERSON]'s body ? He can't even bury her ?	7	['7']	7
And these people in the union are smarter than what they used to be .	1, 3	['1', ' 3']	1
Well , it's our way of trying to understand .	8	['8']	8
Ooh ! Oh ! In the name of the holy father ,	5	['5']	5
Just find him .	3	['3']	3
While you two pricks are congratulating yourselves , you better realize maybe you put [PERSON]'s neck in it .	1, 4	['1', ' 4']	1
Get the fuck back !	1, 3, 4	['1', ' 3', ' 4']	1
Are you still mad about [LOCATION] ?	7	['7']	7
I suppose that she forgot or he did not think that it might die .	6	['6']	6
You're young and strangely sweet .	5	['5']	5
If you have a lawyer , it's a good time to call him .	8	['8']	8
Something's missing .	4	['4']	4
They ain't bad for waffles .	5	['5']	5
Here's what you're going to do . You're going to go back to [LOCATION] .	8	['8']	8
I have asked you here to meet the woman selected to represent the most discriminating publication in the world , Quality .	3	['3']	3
The Miss [PERSON] ? I don't believe it . My brother , [PERSON] , told me all about you .	7	['7']	7
There sure is gonna be some interesting people at that party .	2	['2']	2
I would like a water turtle , and this gentleman is interested in a dog .	8, 2	['8', ' 2']	8
I'm glad you said that .	5	['5']	5
They're in chaos .	4	['4']	4
Now , you stay put and listen to me .	1	['1']	1
If you wan na survive , you got ta slip the jab .	8	['8']	8
She's going to die if you don't help me .	4	['4']	4
Are you saying she was kidnapped ?	7	['7']	7
There's one on the back , but it's not the right one .	6	['6']	6
What do you mean you didn't see ?	1, 3	['1', ' 3']	1
But I can't volunteer anything .	4, 6, 7	['4', ' 6', ' 7']	4
You want to come inside ?	8	['8']	8
This is [PERSON] , Chief of Homicide Bureau Office of the District Attorney , County of [LOCATION] .	2	['2']	2
They said I was crazy , so they sent me to a mental hospital .	6	['6']	6
It's ... Not that big a deal .	8, 6	['8', ' 6']	8
Kuwaiti Star , we're moving into position to lower a diver onto your deck .	8	['8']	8
What'd he say ?	2	['2']	2
I thought it read like a cheap , dime - store novel .	3	['3']	3
I've got every man on it , but without FBI or locals , we're carrying a handicap .	4	['4']	4
This is good .	5	['5']	5
I think she's pretty .	5	['5']	5
I spent most of my life in institutions .	6	['6']	6
I'll make a special journey just to talk about myself .	2	['2']	2
But inevitably , there comes a time for waking up , even for us .	2	['2']	2
Why me ?	2, 4, 6, 7	['2', ' 4', ' 6', ' 7']	2
You'll find I'm pretty well - connected here .	8	['8']	8
I married [PERSON] because I was in love with him .	8, 5	['8', ' 5']	8
The Food Chain will purchase an apartment for you of your choice .	2	['2']	2
Sir !	8	['8']	8
You were winning ?	2, 7	['2', ' 7']	2
He's a prick .	1, 3	['1', ' 3']	1
He ain't gonna get my hide .	1	['1']	1
Well , will you talk to him about it , sometime ?	8	['8']	8
Well , guess what , mother , I did it to get away from you .	3	['3']	3
As am I . The black community deserves so much better than [PERSON]'s failed policies .	8, 1, 4	['8', ' 1', ' 4']	8
It takes away the pain .	6	['6']	6
I won't have this conversation carried on by the children .	1	['1']	1
My Xobile will do just fine , gentlemen .	8	['8']	8
I'll see you later , okay ?	5	['5']	5
No , Mr. [PERSON] , please don't call ...	4	['4']	4
I'll need help bathing and changing .	8	['8']	8
I don't know how I got home that night . The most difficult part was trying to ... act normal when I paid off the babysitter .	4, 7	['4', ' 7']	4
If not , get the fuck off my car !	1	['1']	1
That's part of the picture .	8	['8']	8
What are you gonna do there ?	7	['7']	7
Compliments of Capt. [PERSON] .	5	['5']	5
We already searched your apartment thoroughly .	1	['1']	1
And I stormed out .	1	['1']	1
Thank you for making me a Human Being .	8	['8']	8
Gentlemen , to Admiral [PERSON] .	2	['2']	2
We'll reinforce them later .	8	['8']	8
I'll try , but she's in danger , [PERSON] .	4	['4']	4
Ha ha ha ! This is it , [LOCATION] ! The event you've all been waiting for .	1	['1']	1
For your information , I was at [LOCATION] .	1	['1']	1
Besides , whoever marries her will rule the entire kingdom .	8	['8']	8
We did it with the best intentions .	8	['8']	8
That's the fairest drink of whiskey you'll ever throw lip over , boy .	5	['5']	5
Sir [PERSON] , I presume ?	2, 5	['2', ' 5']	2
You're killing me .	6	['6']	6
And when that bill passed , I was so proud .	8, 2, 5	['8', ' 2', ' 5']	8
They notified me .	1, 7	['1', ' 7']	1
How did you find me ?	6, 7	['6', ' 7']	6
Now ! - Let me go !	1, 4	['1', ' 4']	1
I got it !	5	['5']	5
I told you I'd get those pearls tonight , didn't I ?	1	['1']	1
There . Have no fear , my son .	8	['8']	8
Whoa , look at that fish .	2	['2']	2
Does that sign say BQE ?	5	['5']	5
But now I know why I have always lost women to guys like you .	6	['6']	6
Hey , who turned out the lights ?	7	['7']	7
I think it was fun and sexy .	5	['5']	5
Don't be nostalgic .	1	['1']	1
You pull one thing , you're out .	1	['1']	1
The problem is , they already have a settlement .	4	['4']	4
This has been a long week , Dr. [PERSON] .	6	['6']	6
I won't go schizo , will I ?	4	['4']	4
We got the right ship .	8, 2, 5	['8', ' 2', ' 5']	8
I want to be a good dad .	5	['5']	5
You think that by saying ,  I'm sorry ,  all the past can be corrected .	6	['6']	6
That was a nice tribute to the guys .	5	['5']	5
There's nothing else I can do .	6	['6']	6
Please save us .	4	['4']	4
They've been infected with the bacteria .	3	['3']	3
You mean in the morning ?	7	['7']	7
It'll all be over by Thursday .	2	['2']	2
Yes , Rock .	5	['5']	5
It is time to fight .	1, 2	['1', ' 2']	1
That spark and fire I used to see in her eyes is gone .	6	['6']	6
Who you looking at ?	1	['1']	1
Glad you told me .	5	['5']	5
How did eggs get into the conversation ?	7	['7']	7
Erm ... I was just coming to that .	3	['3']	3
The solutions to [LOCATION]'s urgent and long - term potential problems are there .	2	['2']	2
You know , I'm not responsible for the complications of international law .	1	['1']	1
Do you celebrate tonight ?	2	['2']	2
Why don't you tell the truth for once ?	3	['3']	3
And now if ... When we get a cab we can complete the plan and live out our lives with a modicum of dignity .	8, 2, 5	['8', ' 2', ' 5']	8
Enter !	1	['1']	1
Open the door , asshole !	1	['1']	1
I mean , I realize you don't have to answer me , but don't forget I helped you into this world , okay ?	8, 4	['8', ' 4']	8
Something went wrong .	6	['6']	6
That's what friends are for .	8	['8']	8
A lady wouldn't work for this outfit .	1	['1']	1
He's been in uniform nine months but he's a good boy .	8	['8']	8
Oh , yes !	2, 5, 7	['2', ' 5', ' 7']	2
I got a friend bringing some dough .	8	['8']	8
These can be disposed of only by incapacitating the brain .	8, 4	['8', ' 4']	8
He's such a sweet thing .	8, 5	['8', ' 5']	8
Get the whole state moving !	2	['2']	2
He got kicked upstairs .	7	['7']	7
Anybody can type .	1	['1']	1
If that's true ... this should be very exciting .	2	['2']	2
Well , like I said , right now , I've got a bigger problem .	6	['6']	6
I decided to change all : our life , our home . I'll start here in [LOCATION] , in your so cold and dreary palace , ... With new furniture and paintings ,	2	['2']	2
They caught me on video and now they're threatening to press charges .	4	['4']	4
Well , I can tell you some stories .	2	['2']	2
The beers are in the refrigerator . Thank you .	2, 5	['2', ' 5']	2
Company's coming .	2	['2']	2
If I give you a raft of it now over the phone , can you print it up and spread a billion copies of it ?	8	['8']	8
Terribly disappointed . It's the last thing I owned .	6	['6']	6
And if he doesn't get it , he goes into bankruptcy and throws 900 , men out of work .	4	['4']	4
You put asses into seats .	1	['1']	1
Hey , [PERSON] . - What ? - You see the stars on the sidewalk ?	2	['2']	2
Cool , thank you .	7	['7']	7
It is he .	4	['4']	4
I'm going home . I - I'm not well .	4, 6	['4', ' 6']	4
Since he found out we're behind it , he's been running us ragged .	4	['4']	4
Your brother taught you to kiss ?	7	['7']	7
Damn [PERSON] , this is your last wish ?	7	['7']	7
Let it be anybody but her .	4	['4']	4
There's no reason for me to be here .	6	['6']	6
How did that happen ?	2, 7	['2', ' 7']	2
She wears the pants alright , but somehow she always strips her gears .	7	['7']	7
Thank you . - You're welcome .	5	['5']	5
Seven passengers and two crewmen were killed .	6	['6']	6
I never see anything happen .	6	['6']	6
Oh , sir , you forgot your map . And our million dollars .	1, 2, 7	['1', ' 2', ' 7']	1
That's out of our jurisdiction , isn't it ?	3	['3']	3
They must've wiped this place clean .	7	['7']	7
You must have a strong stomach to want to see that sort of thing .	7	['7']	7
Not so bad , but there's dirty weather ahead .	4	['4']	4
I'm just so scared .	4, 6	['4', ' 6']	4
Did the admiral want to see me about my beard ?	2	['2']	2
No , it's just ... I read in this thing that's what I'm supposed to do .	4, 7	['4', ' 7']	4
How about update tomorrow ?	2	['2']	2
We must be coming to the station .	2	['2']	2
Great day for it . You look glorious .	8, 2, 5	['8', ' 2', ' 5']	8
Okay , look , the last thing we knew , she was getting on that helicopter .	1, 7	['1', ' 7']	1
I said part of me  . 	1	['1']	1
Shoddy work will not do .	3	['3']	3
We're your family now , [PERSON] .	8	['8']	8
No , he has other things to do than spend his money on stupid things	3	['3']	3
How are we supposed to raise that kind of money ?	1, 2	['1', ' 2']	1
Did you not once direct [PERSON] and [PERSON] ?	2, 7	['2', ' 7']	2
I don't want to complain , but there's an institution called dinner .	1	['1']	1
His uncle helped to design the original lunar module that put the first men on the moon .	8	['8']	8
Well , I never said that .	1	['1']	1
I just feel like if I don't do what you want you're gonna leave me .	4	['4']	4
My grandma's really sick ,	4, 6	['4', ' 6']	4
We all have ideas of right and wrong . - - But we have to pitch in for the good of the family .	8, 2, 4	['8', ' 2', ' 4']	8
He ain't gonna make it .	4, 6	['4', ' 6']	4
I don't see any reason why this witness should not be qualified to give evidence .	8	['8']	8
I love the smell of commerce in the morning !	5	['5']	5
You like fishing ?	2	['2']	2
But you're safe .	5	['5']	5
And we take care of our own here .	8	['8']	8
They tried .	6	['6']	6
[PERSON] does not get on that helicopter with the Royals . Instead she goes over to [PERSON]'s house and tries to kill him ?	2, 7	['2', ' 7']	2
Mint juleps always make me sing .	5	['5']	5
We'll see you out there .	2	['2']	2
What kind of a girl are you , anyway ?	7	['7']	7
Ladies , please , can you please quiet down ?	1	['1']	1
Well , anyways , onward and upward .	8	['8']	8
Now I want that fucking Texador .	1, 5	['1', ' 5']	1
I just can't keep doing this .	3, 4, 6	['3', ' 4', ' 6']	3
Why do you want to make yourself a slave to this dull business , when you could be on a lovely yacht , with a lovely man , visiting the Greek islands , seeing all the world ?	7	['7']	7
That was stupid and cruel .	6, 7	['6', ' 7']	6
That's why I do things ... to feel good .	5	['5']	5
And you will call me in a couple of days .	2	['2']	2
Mind keeping that door closed , please ?	1	['1']	1
Go away .	1	['1']	1
Did you do this ?	7	['7']	7
And how about some pepper and salt and vinegar , eh ?	2	['2']	2
Isn't that wonderful ?	5	['5']	5
You do me an injustice .	1	['1']	1
I'll help you .	8	['8']	8
A cook ?	7	['7']	7
I want one ! Cuts along on a jolly clip too , doesn't she ?	2, 7	['2', ' 7']	2
We're getting a lot of heat from parents ' groups .	4, 7	['4', ' 7']	4
You won't get the official telegram for a day or two .	2	['2']	2
I can not believe I am forced to defend myself once again for the actions of a criminal .	1, 4, 7	['1', ' 4', ' 7']	1
I expect to be in the forward areas , if not actually in combat .	2	['2']	2
We lose a little time , and all of a sudden it's every girl for herself .	3, 6	['3', ' 6']	3
You'll know ...	2	['2']	2
It's the saga of a man with very little charm and even less courage .	3	['3']	3
Funny , he never told me his name .	7	['7']	7
I hadn't heard . I'm sorry .	6, 7	['6', ' 7']	6
Ever since I put on gloves I've wanted to meet you .	2	['2']	2
Is this our new car ?	7	['7']	7
Come on . Stop complaining .	1	['1']	1
No . This is [PERSON] .	7	['7']	7
And I'll make you so much money you can swim in it .	2	['2']	2
Every player on that team thinks I'm the greatest .	5	['5']	5
We're not gonna hurt you .	8	['8']	8
